series,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-04,2020-07-05,2020-07-06,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-11,2020-07-12,2020-07-13,2020-07-14,2020-07-15,2020-07-16,2020-07-17,2020-07-18,2020-07-19,2020-07-20,2020-07-21,2020-07-22,2020-07-23,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-07-31,2020-08-01,2020-08-02,2020-08-03,2020-08-04,2020-08-05,2020-08-06,2020-08-07,2020-08-08,2020-08-09,2020-08-10,2020-08-11,2020-08-12,2020-08-13,2020-08-14,2020-08-15,2020-08-16,2020-08-17,2020-08-18,2020-08-19,2020-08-20,2020-08-21,2020-08-22,2020-08-23,2020-08-24,2020-08-25,2020-08-26,2020-08-27,2020-08-28,2020-08-29,2020-08-30,2020-08-31
S,127040.67581510132,127032.33307082139,127026.03395410105,127019.54989006351,127011.79132042032,127002.00652608709,126989.47641344524,126973.38482846698,126952.75280188805,126926.39875488702,126892.91448903795,126850.65810861703,126797.76969213756,126732.21631164655,126651.8702159814,126554.61778266277,126438.48855434367,126301.78629549735,126143.20108183833,125961.88492858074,125757.48219564787,125530.11626082595,125280.34183012041,125009.07579423396,124717.51909507117,124407.07927456089,124079.29992354072,123735.80020721433,123378.22543722391,123008.20828648271,122627.33951796487,122237.1468099301,121839.08023215068,121434.50303756974,121024.68660381777,120610.80854424705,120193.95318496812,119775.11376196433,119355.19582714047,118935.02146436478,118515.33400822434,118096.80303205177,117680.0294306031,117265.55046918677,116853.84470736218,116445.33673350049,116040.401668162,115639.36941073388,115242.52861617679,114850.13039792787,114462.3917597041,114079.49876370505,113701.60944597411,113328.85649179397,112961.3496852437,112599.17814764968,112242.4123797895,111891.10612249066,111545.29804980646,111205.01330832671,110870.26491545326,110541.05502868188,110217.37609711953,109899.21190565027,109586.53852136532,109279.32515110276,108977.53491820909,108681.12556594366,108390.05009429995,108104.25733641622,107823.69248019157,107548.29754021115,107278.01178461396,107012.77212110658,106752.51344593315,106497.16895925479,106246.67045006632,111951.61170953777,117636.52170678526,123300.89310659569,128944.63953652156,134567.46003722923,140168.85752734003,145748.1568103568,151304.5209697272,156836.9656114411,162344.3708334461,167825.49106964757,173278.9631121436,178703.3126914377,184096.96001670967,189458.22466640742,194785.33018749324,200076.40871918443,205329.5059100816,210542.58634979534,215713.539689479,220840.18758089098,225920.291520982,230951.5616485088,235931.6665007591,240858.2437021722,245728.9115226663,250541.28121221086,255292.9699901293,259981.61454338612,264604.8848683159,269160.49827544676,273646.23336768517,278059.94379840686,282399.57161797624,286663.16002468154,290848.8653486063,294954.96811391984,298979.8830456693,302922.16791049327,306780.53110578045,310553.83793771814,314241.1155544904,317841.55652578187,321354.52108301764,324779.5380558681,322758.62808952323,320134.1530214475,317506.7019641459,314877.31737190444,312248.50600533735,309623.5001455002,307005.82207856094,304399.0284255767,301806.5621492812,299231.6695478161,296677.3567199367,294146.37010103907,291641.1916841024,289164.04314940027,286716.8953134154,284301.4806447889,281919.30742166337,279571.6746213584,277259.68696013896,274984.2697103339,272746.1830582146,270546.03585578245,268384.29867956793,266261.3161500972,264177.3184933758,262132.43234476878,260126.6908087304,258160.04279675306,256232.36167186426,254343.45323182864,252493.06306548638,250680.88331779215,248906.55889940908,247169.69317638312,245469.85317464164,243806.57433295297,242179.3648366491,240587.70956292807,239031.07366697182,237508.90583648914,236020.641240651,234565.7041977594,233143.51058439654,231753.47000725573,230394.9877573693,229067.46656502876,227770.3081723435,226502.91473910867,225264.69009645248,224055.0408616058
E,0.0,8.342744279922904,12.973312144285101,16.862713752958456,21.248740645555586,26.783786849674865,33.95714212158205,43.257298675523046,55.237865519344055,70.54433941651337,89.91973738227696,114.1921703267485,144.2421527408672,180.94710268370284,225.10377781211713,277.3354555683221,337.99759277375847,407.1003330653287,484.26548011128494,568.7285373466183,659.3855628101601,754.8743850700454,853.6739387615722,954.2051868957042,1054.9208486793534,1154.3764994537607,1251.2805505831811,1344.5241567929286,1433.1940954247639,1516.5724270810058,1594.1267101826486,1665.494076180886,1730.461838724125,1788.9466655602428,1840.9737662001658,1886.6570725308593,1926.1810173036188,1959.784236846697,1987.7453243012144,2010.370622216663,2027.9839539137772,2040.9181393035879,2049.508112891537,2054.085451729565,2054.9741232082397,2052.487272428285,2046.9248832811227,2038.572164053019,2027.698525799506,2014.5570388885162,1999.3842693345814,1982.400411466715,1963.8096469043048,1943.8006717035973,1922.5473439131526,1900.209412724526,1876.9332980398042,1852.8528957306835,1828.0903892687534,1802.75705289474,1776.9540351892551,1750.773114922783,1724.2974235005695,1697.6021302697145,1670.755088500719,1643.8174410631348,1616.84418574418,1589.8847008607759,1562.9832323323221,1536.1793437495767,1509.508331224308,1483.0016049598735,1456.6870395650803,1430.5892951594433,1404.7301113009917,1379.128575719146,1353.8013697637946,1328.7629923946279,1328.7635527232542,1349.3025984232236,1386.3588048677586,1436.9296992415927,1498.8094253375268,1570.4114133083208,1650.6281273313198,1738.7210162062054,1834.2347470150175,1936.9307174656,2046.7356875315202,2163.7021267861755,2287.9775322120227,2419.7805321269248,2559.3820606707854,2707.090272900487,2863.238183478262,3028.173263123934,3202.2484268705475,3385.8140061394947,3579.210420875659,3782.7613652287914,3996.7673959877875,4221.499871432184,4457.1952327067,4704.049652675883,4962.214100277344,5231.789883020115,5512.824737541369,5805.3095389572245,6109.17569498242,6424.293281319262,6750.469961541075,7087.4507185826205,7434.9184069963285,7792.495116338587,8159.744317376413,8536.173745132193,8921.238956873598,9314.347489616204,9714.863530975721,10122.113009544177,10535.38900645461,10953.957388368233,11377.062563557221,11726.125118921545,12008.35115243886,12236.065514192514,12417.663777921125,12559.136882174043,12664.987572678465,12738.783711127056,12783.493245197107,12801.687197622767,12795.662585977625,12767.516687679747,12719.191767080454,12652.50194836649,12569.149394678065,12470.734184368943,12358.760570620656,12234.64125680149,12099.70066666064,11955.177783133597,11802.228878626156,11641.930305333106,11475.28142048102,11303.207665855598,11126.563789405887,10946.137180131705,10762.65128014373,10576.769036092326,10389.09635376266,10200.185523045753,10010.538584778868,9820.610615517322,9630.812910796933,9441.516051663511,9253.052843072288,9065.721116146518,8879.78638922107,8695.484385097894,8513.02340403455,8332.586553710318,8154.333838806406,7978.404113936724,7804.916904512233,7633.974100750599,7465.661530486921,7300.050416730075,7137.198726069325,6977.152414090282,6819.94657392841,6665.606493989388
I,8.0,6.08,5.344365017986197,5.186890920139127,5.404537850925109,5.95034900330575,6.845219244621918,8.147464704621768,9.943772501777685,12.348039276186615,15.502810316280927,19.580861800714526,24.78532556603907,31.346948703877274,39.51719734661278,49.55628843246231,61.71604359787513,76.21867600582891,93.2339474163642,112.8580758533595,135.09788233723881,159.86280611514874,186.96588008149075,216.13308745451442,247.01922582790817,279.2277459310258,312.33199557414395,345.89569979545354,379.4911196319241,412.713969801138,445.1947267071964,476.60637383523397,506.6689070966223,535.1510771271548,561.8699070157281,586.6885207271802,609.5127737710466,630.2871121607117,648.9900117609606,665.6292765723069,680.2374066806372,692.8671873015098,703.5876006220241,712.4801219261207,719.6354300598778,725.1505385917561,729.1263368635767,731.6655183351148,732.8708661096687,732.8438613280529,731.683578414096,729.4858312665078,726.3425358709649,722.3412570192231,717.5649095349826,712.0915873679371,705.9944969443857,699.3419741254785,692.1975669354885,684.6201688278758,676.6641896262508,668.379753398485,659.8129143957959,651.005883823994,641.9972616262164,632.8222686636917,623.5129757032835,614.0985264780261,604.6053527993888,595.0573802863485,585.4762237538946,575.8813716881436,566.2903595409884,556.7189318167017,547.1811931071687,537.6897483709804,528.2558328527082,518.8894321093156,519.1658883003074,519.381140482255,521.3300491289923,526.0610302037037,534.1298049026085,545.7776532853233,561.0547935767221,579.9042610516371,602.2176578498587,627.871112163595,656.7475037159097,688.7493097134457,723.8051655346278,761.8723107466916,802.9364206715238,847.0098425362862,894.1289141170548,944.3508043784183,997.7501518138722,1054.4156660200429,1114.4467859773058,1177.950443188835,1245.037950985074,1315.8220269706735,1390.4139495060172,1468.920848233137,1551.4431308181677,1638.0720517658585,1728.887433297614,1823.9555521343584,1923.3272090936882,2027.0360003862447,2135.096810212292,2247.5045436655478,2364.233117091502,2485.2347200426007,2610.4393590035343,2739.754688350555,2873.0661288100996,3010.2372682552577,3151.110534279976,3295.5081228576973,3443.2331627307244,3594.071091157613,3747.7912133933005,3904.1484158695703,4056.1367119851534,4198.927370024431,4329.830461543153,4447.4801950158935,4551.332981735929,4641.356194915589,4717.833876807293,4781.244545940227,4832.183683028749,4871.314051990781,4899.333469009402,4916.953591968562,4924.885740058999,4923.831258454744,4914.474874392431,4897.480068196486,4873.48584071754,4843.104480612024,4806.920072520345,4765.487572575486,4719.332330749123,4668.949972734297,4614.806575085552,4557.33908096367,4496.955913000858,4434.037746304849,4368.938409535419,4301.98588595177,4233.483389711572,4163.710495706999,4092.9243039580947,4021.3606221029577,3949.235151850895,3876.744667407808,3804.0681758449905,3731.368051164465,3658.791135418018,3586.469801667382,3514.5229748358684,3443.0571076055066,3372.1671094683907,3301.937227857443,3232.4418809719637,3163.746442489069,3095.9079788253557,3028.975939995391,2962.9928054159136,2897.9946862372617
A,0.0,0.0,0.944983837998384,2.376673406865852,4.191648469563535,6.430830423289445,9.207400574183291,12.68543489682326,17.0777779097898,22.651467722431445,29.73597643045776,38.73175888935382,50.11705200163334,64.45069919605386,82.36857543328622,104.57136952934161,131.8023414726286,164.81528349703134,204.33498511828162,251.01440591888465,305.39379246276735,367.8667377874414,438.6567978559751,517.8062951014691,605.177001314074,700.4609566955661,803.1989096519312,912.8036802233861,1028.585976585657,1149.7806377263078,1275.571787975125,1405.1158769548852,1537.5619941310224,1672.0691743768848,1807.8206521147677,1944.0351878749834,2079.9756968477664,2214.9554683398633,2348.3422904567883,2479.5607960647826,2608.09333217984,2733.4796314511764,2855.31553578097,2973.2509914746565,3086.9875047655573,3196.275217470334,3300.909735723336,3400.7288206318303,3495.6090284421794,3585.4623693796884,3670.2330385774285,3749.8942592294525,3824.4452670451983,3893.9084559869616,3958.3266978878296,4017.7608426335964,4072.287400928404,4121.996408051484,4166.989464275436,4207.377945601264,4243.281377039097,4274.825959712849,4302.143242495944,4325.368928613031,4344.641807602472,4360.10280317075,4371.894127737669,4380.1585348334675,4385.038660936195,4386.676448806398,4385.212644867788,4380.786363682754,4373.53471306942,4363.5924738941085,4351.091829043758,4336.162136532674,4318.929742124433,4299.5178272509565,4278.046288386128,4257.433674544397,4239.972025900836,4227.406205007801,4221.071189390268,4221.998699824084,4230.999477260509,4248.726382271689,4275.722505206777,4312.457637176209,4359.355751130237,4416.815565192834,4485.225791999098,4564.976302683025,4656.46613759409,4760.109064216572,4876.337204102753,5005.603114561252,5148.380608666483,5305.164521706159,5476.4695776467,5662.828470911723,5864.789253030547,6082.91209758179,6317.765507992063,6569.922029273202,6839.953525164995,7128.426085130799,7435.894630171478,7762.897291583579,8109.949641834889,8477.538861036515,8866.11792555134,9276.099906713165,9707.852467182982,10161.692640005127,10637.881970932158,11136.622098157866,11658.05083542386,12202.238814815906,12769.186734769351,13358.823247222404,13971.00350587094,14605.508385461817,15262.044370363716,15940.244099587475,16630.854205221043,17325.8076898176,18018.756273360177,18704.55657487083,19378.949543077204,20038.356515410473,20679.74610800886,21300.54437222303,21898.571537462492,22471.995207469525,23019.293840749862,23539.22675802993,24030.80839331323,24493.285407505507,24926.1158361803,25328.949780461247,25701.61135453966,26044.08172570672,26356.483154336307,26639.063981528143,26892.184533305037,27116.303919984897,27311.967712396363,27479.796475957388,27620.475141133848,27734.74318556435,27823.38559984388,27887.224605978576,27927.11209504929,27943.922748731104,27938.547808018604,27911.889451770774,27864.85574746031,27798.356136725884,27713.297418914553,27610.58019669927,27491.095749001564,27355.723297786073,27205.327636771875,27040.75709168241,26862.84178329417,26672.39216621298,26470.197817979955,26257.02645476574,26033.62315153454,25800.709746135864,25558.984408300992,25309.121355976422
IH,3.0,3.0251236045923333,2.9709777565307216,2.892728620022791,2.815871794040051,2.755275266558172,2.722467347037545,2.7286789975192534,2.7863699100330965,2.910242571656556,3.118110196273346,3.431736910537591,3.8776586458439164,4.48792833378287,5.300678238633352,6.3603511684231755,7.717430230364479,9.427509304899472,11.54960635796563,14.143728824215406,17.2678346005804,20.974457619564976,25.30734571134153,30.298467954369137,35.96569044696336,42.31131509429685,49.3215555715498,56.96691455356972,65.20334307170347,73.97401226580931,83.21150769426004,92.84026028077432,102.77904813408225,112.94343267221072,123.24802498684691,133.60851015106422,143.94338569043995,154.17539440289102,164.23265070195953,174.0494738233179,183.56695106500317,192.7332603835541,201.50378484325793,209.84105228961158,217.71453279741897,225.10032444675838,231.98075523110984,238.3439257368203,244.18321390736284,249.49675990639545,254.2869459504876,258.5598830800168,262.3249142241227,265.59414061494977,268.38197662040756,270.7047363824034,272.58025424904565,274.0275398493998,275.06646775001167,275.71750092488367,276.0014467368188,275.93924374151743,275.5517773621181,274.8597223190442,273.8834096186066,272.64271588688985,271.15697286847666,269.44489498023773,267.52452290843553,265.41318135427935,263.12744916192287,260.6831401981847,258.0952934906464,255.37817126688407,252.54526366989197,249.60929905142655,246.58225886475944,243.47539629036095,234.76642835211334,226.77516300284674,219.44162615746285,212.7494486248326,206.70620652406345,201.3308401192702,196.64594462663112,192.67335154776396,189.4318798428907,186.9364730517293,185.19818233984924,184.22463019007114,184.02071320257687,184.5893889301334,185.93245115386634,188.05123816751555,190.94724514229546,194.6226286267036,199.08060168910987,204.32572427807307,210.36409657091767,217.2034644616539,224.85324662977814,233.3244923193336,242.62977836196222,252.7830532994954,263.7994358198469,275.69497417726603,288.4863728490809,302.19069238555744,316.82502822116095,332.4061741087207,348.95027578253706,366.4724804209829,384.9865874337553,404.5047060171456,425.03692478079415,446.5909985353413,469.17205703227575,492.78234006143,517.4209628402403,543.0837150796572,569.76289649656,597.4471908772671,626.1215800991699,655.767298806836,686.361829734409,717.7334221230842,749.6202371173556,781.7238303461314,813.7406965622904,845.3804128285801,876.3755875011868,906.486806493686,935.5045404012496,963.2492242884341,989.5702597026869,1014.344403235971,1037.473829406954,1058.8840460751505,1078.5217724465638,1096.3528472332134,1112.36020795154,1126.5419656574347,1138.9095888784252,1149.4862037952441,1158.3050134059333,1165.4078355840104,1170.843758066944,1174.6679071424596,1176.9403259289916,1177.7249575442986,1177.0887280434097,1175.1007237339297,1171.831457311434,1167.3522171788086,1161.7344943057699,1155.0494810367604,1147.3676363574639,1138.7583122740605,1129.2894361376689,1119.0272439524867,1108.0360599337864,1096.378117825555,1084.113419742127,1071.299628559152,1057.991990142695,1044.2432819677854,1030.1037849364022,1015.6212754572824,1000.8410350941488,985.8058753233902,970.556175165758,955.1299296684183
IN,1.6,3.040534482484904,3.9534967295024357,4.628340731871959,5.204430947122185,5.766633970835693,6.381966727447189,7.114945809523767,8.03532092819339,9.223227547165026,10.77359368117225,12.800395312012498,15.440804132887976,18.858946857408156,23.248741772929684,28.835073343255324,35.87245609645531,44.64040245605608,55.43500960738615,68.55681628097389,84.29565133450025,102.9138217617429,124.62937933058973,149.6012500515518,177.9177170672197,209.58922421578347,244.54586458626528,282.6393681683282,323.64898743048,367.2904280607159,413.2268731527915,461.0811702576965,510.4483528799873,560.9078150763521,612.0346211209004,663.409591527671,714.6279495247079,765.3064319028488,815.0888629468541,863.6502607049142,910.6995936597776,955.981336243565,999.2759871295838,1040.3997182364715,1079.2033179397338,1115.5705817021667,1149.4162893356724,1180.6838920713913,1209.3430158191004,1235.3868703717467,1258.8296385028664,1279.7039043311852,1298.0581672280734,1313.9544760261904,1327.466208360789,1338.6760115802508,1347.6739146965324,1354.5556151799858,1359.4209398940468,1362.3724759679806,1363.514364778208,1362.9512503168178,1360.7873719467532,1357.125790766227,1352.0677384325131,1345.7120772423775,1338.1548604602592,1329.4889822642683,1319.8039071927549,1309.185469578296,1297.715734117099,1285.4729094125867,1272.5313070307689,1258.9613392953272,1244.8295497197753,1230.1986706136165,1215.127703002948,1199.6720145695554,1183.8834518340984,1169.7237624164832,1157.018362310778,1145.9690396863532,1136.9671544959303,1130.4762056706022,1126.961753092814,1126.8529998227425,1130.5249790454625,1138.293666335917,1150.4187709021278,1167.110693732192,1188.539361441502,1214.8434918238459,1246.1394251459742,1282.529041575987,1324.106536743835,1370.9639857378852,1423.1957206884122,1480.9015997231568,1544.1892704341735,1613.1755394102322,1687.9869579012825,1768.7597269730095,1855.6390166036374,1948.7777839399016,2048.3351674378428,2154.4745264015723,2267.3611896761704,2387.1599728948468,2514.032520528594,2648.1345267624106,2789.6128876148086,2938.602835413344,3095.2251054461303,3259.5831830733778,3431.7606775992103,3611.818866624096,3799.7944513335824,3995.69755920004,4199.5100259063165,4411.183983017946,4630.640772148074,4857.7702002210335,5092.43014411027,5334.446506576418,5583.613519232954,5838.344724474504,6096.246034154479,6354.6239835032375,6610.780396166926,6862.177294355731,7106.523124885863,7341.811532845495,7566.3318322938485,7778.662930569796,7977.657922343698,8162.423772929989,8332.298784368824,8486.829471293262,8625.747814420369,8748.949452310571,8856.473120871044,8948.481495528153,9025.243496238896,9087.118057725784,9134.539332368371,9168.003272331869,9188.055525377169,9195.280572074462,9190.29202881572,9173.724039859666,9146.223681897574,9108.444305840518,9061.039742413192,9004.659300512523,8939.943490026828,8867.52040382292,8788.002696823953,8701.98510346095,8610.042438234976,8512.728027628924,8410.572525117374,8304.08306450342,8193.742710231032,8080.01016665287,7963.319711453636,7844.081321519115,7722.680962486514,7599.4810160015995,7474.820821335136,7349.017310470943,7222.365718068992,7095.1403498302
D,0.01,0.09888783848600352,0.18852007127440357,0.2765480015970742,0.3622574663838828,0.44568971879252445,0.5273265397519589,0.6079912856942561,0.6888400783648032,0.7713982112065639,0.8576266017613972,0.9500139602640325,1.0516938523408066,1.1665860841460163,1.2995601671026997,1.4566154441500048,1.6450680666076924,1.8737299638889053,2.1530602720286387,2.4952667868698946,2.9143352813087917,3.4259687789685964,4.047426846041736,4.79726526540813,5.694987040708568,6.760624535204328,8.014278315948415,9.475640471122537,11.163529104417094,13.095457180318778,15.287253865133746,17.752750883835155,20.50354090411382,23.54881004754298,26.895242581350406,30.546992760933662,34.505716651154785,38.77065545728156,43.33876130934825,48.20485641925625,53.36181692518325,58.80077342439462,64.51132106434602,70.48173302483465,76.69917221271866,83.14989695516957,89.81945738269305,96.69288001697439,103.75483880864589,110.98981150157618,118.38222073402315,125.91655972760516,133.577502769664,141.35000097180017,149.2193639964037,157.1713285932001,165.19211488818516,173.26847142623947,181.38770999385625,189.53773124661575,197.70704214327426,205.88476614975616,214.06064712630481,222.2250477532032,230.3689432878042,238.4839113805291,246.56211861190883,254.59630434813775,262.57976245009826,270.5063213112083,278.37032264330014,286.16659937741315,293.8904529980666,301.5376305853314,309.1043017988053,316.5870360013035,323.98277968753274,331.28883435402764,334.4691687572084,337.5357445187679,340.49793644318225,343.3643359389499,346.14332059624314,348.84336696633096,351.4731990027845,354.0418358033433,356.5585816340914,359.0329865789142,361.4747959178204,363.89389928381127,366.30028587659876,368.7040088564685,371.11516001597425,373.54385457847195,376.0002252484335,378.49442426061796,381.0366320191417,383.63707089799556,386.3060228343195,389.0538494472421,391.8910135346296,394.8281009234135,397.87584176841835,401.0451305060797,404.34704377205395,407.7928556859486,411.39404999354247,415.16232863852974,419.10961641363076,423.2480614162578,427.5900311078768,432.1481038494328,436.93505585797135,441.96384360175875,447.24758172230656,452.7995166409809,458.6329960743566,464.7614347450607,471.1982766323958,477.956954158421,485.0508447493836,492.49322524857365,500.2972246841664,508.4757759139941,517.0415666782861,526.0069905913097,535.3821978174581,545.1739183187844,555.3849837049197,566.0142611266886,577.056824160399,588.5042536481568,600.3450031474749,612.5647892921982,625.1469831956362,638.0729888177558,651.3226002833763,664.8743338972639,678.7057329298626,692.7936446850232,707.1144702436058,721.6443878121913,736.3595509235168,751.2362629149944,766.2511292037918,781.3811889126525,796.6040273994793,811.8978712180517,827.2416669950276,842.6151456547725,857.9988733620927,873.3742904860816,888.7237398178605,904.0304852024027,919.2787216710094,934.4535780872869,949.541113246431,964.5283062959176,979.4030422758696,994.1540935098684,1008.7710975121721,1023.2445320154671,1037.5656876646274,1051.7266388666294,1065.7202132348514,1079.5399600175112,1093.1801178549463,1106.635582168774,1119.901872447596,1132.9750996587309,1145.8519339833367,1158.5295730430885
R,0.0,0.36545407443675915,0.8762054426924393,1.5120296043447983,2.267007507398529,3.146723781762825,4.16787910143748,5.3591722646134885,6.763066365741631,8.43834546912301,10.46347145512621,12.940769284644816,16.001436024131877,19.811291595782244,24.577068349226252,30.552878952582,38.046328519947636,47.42358531092583,59.112644379670066,73.60405550964995,91.44856062688137,113.25137714244235,139.6632163938792,171.3684681443199,209.0712496538996,253.48017461476752,305.29273727755753,365.1801478821724,433.7733266284365,511.6505965032812,599.3274375592653,697.2484967778767,805.7819010806509,925.2158026711587,1055.7569972637593,1197.5313952815536,1350.5860903444423,1514.8927540266855,1690.3520864837103,1876.799064935286,2074.0087524527553,2281.702454941752,2499.5540421664873,2727.1962772332818,2964.227026755583,3210.215250006353,3464.7066891218074,3727.2292035222886,3997.2977100380663,4274.418705797465,4558.094363883726,4847.8262022947765,5143.118335084863,5443.480320984622,5748.4296295440545,6057.49374816971,6370.21195556545,6686.136788247377,7004.835227177262,7325.889631311231,7648.898444135151,7973.4766981772245,8299.25634115429,8625.886405905821,8953.033044667653,9280.37944659117,9607.625655766438,9934.488305392733,10260.700282182153,10586.010333598959,10910.1826291414,11232.996285571184,11554.24486479235,11873.735851976904,12191.290120527747,12506.741389557343,12819.935678738791,13130.730764649716,13438.995642073001,13744.230093282758,14046.6800979909,14346.661799444064,14644.580122844909,14940.932917955917,15236.306798923732,15531.36876145228,15826.856191611618,16123.566869287339,16422.34988408088,16724.097927480772,17029.741132895957,17340.2424543526,17656.59446923672,17979.817434877474,18310.958405178033,18651.09120966318,19001.317104975824,19362.765922601524,19736.597552991432,20124.003623210294,20526.209241594428,20944.474698105078,21380.097022927635,21834.41131844926,22308.791791223346,22804.652421130275,23323.447214907857,23866.670000767146,24435.8537301035,25032.569261481796,25658.423611186943,26315.05766370154,27004.143344468197,27727.380266139793,28486.491868109515,29283.221077313963,30119.32552597507,30996.57236894627,31916.732749518924,32881.575967806224,33892.86341005551,34952.34230037581,36061.739338365136,37222.75428697291,38437.053574659665,39705.91144096835,41030.109536845164,42409.91899436714,43845.11627160955,45335.01770875545,46878.52360825432,48474.16626750675,50120.15862184808,51814.441531766686,53554.728597912086,55338.547911347254,57163.28046857138,59026.19517771245,60924.480501442646,62855.27285304976,64815.681902973214,66802.8129753122,68813.78672435795,70845.75628444103,72895.92208501505,74961.54451859578,77039.95464298912,79128.56309183978,81224.8673593477,83326.45761632295,85431.02120578698,87536.34595723101,89640.32244952768,91740.94534345497,93836.31389590996,95924.63175922896,98004.20616064331,100073.4465488322,102130.86278681806,104175.06296311531,106204.750886107,108218.72332009893,110215.86701539336,112195.1555790336,114155.64622759377,116096.47645851513,118016.8606720103,119916.086771455,121793.5127664467,123648.56339931302,125480.7268127804,127289.55127374567
G,8.0,11.617825089930985,14.349432550334283,17.16124228255268,20.52574045908852,24.7689095232256,30.20258390833295,37.18068822482222,46.12775179393953,57.556165426492726,72.07659336268144,90.40104250879749,113.3360664872513,141.76324305083125,176.60526996935005,218.77871811922253,269.1380749196265,328.4189116935224,397.18927617039895,475.8168963461361,564.4559952856299,663.0530703001294,771.367573527126,889.0018959691861,1015.4352500283554,1150.0572561539145,1292.198537283178,1441.1569435836586,1596.2189868385192,1756.6766596066745,1921.8401286621715,2091.0469174203354,2263.6682041615663,2439.112815222131,2616.829418601903,2796.307343112944,2977.076371512967,3158.7057877282,3340.802899822806,3523.0112117153176,3705.00837689371,3886.504035361191,4067.237609536596,4246.976114703197,4425.512023850338,4602.6612145345525,4778.261015993166,4952.168367592888,5124.258094316486,5294.421301001546,5462.5638841414175,5628.605157996332,5792.476590349105,5954.120642321811,6113.48970612707,6270.545134365437,6425.25635442515,6577.600061634792,6727.559485018815,6875.123719776524,7020.287120920935,7163.048752855534,7303.41189001969,7441.383564086838,7576.974153545751,7710.19701182907,7841.0681304712125,7969.605834077534,8095.830504167244,8219.76432921334,8341.43107844418,8460.855897193442,8578.065121789197,8693.086112159373,8805.947100501133,8916.677054516818,9025.305553860053,9131.862678563599,9247.106345803422,9371.25656113182,9504.350779898872,9646.519512904353,9797.97831913259,9959.019997061656,10130.007474955868,10311.36763457364,10503.586120639004,10707.203071998018,10922.809642782331,11151.04514890463,11392.594665524168,11648.18690624511,11918.592228656671,12204.620629251292,12507.119611115495,12826.971828508853,13165.0924326993,13522.426062843759,13899.943444188515,14298.63757342388,14719.519487687487,15163.61362945157,15631.9528342626,16125.572981862802,16645.507363388304,17192.78082784661,17768.403779660726,18373.366105487436,19008.631112587573,19675.129562639562,20373.753884030975,21105.35264242454,21870.72534396082,22670.61763810402,23505.716978203538,24376.648787725044,25283.973169217108,26228.18218184003,27209.697702087982,28228.86987153973,29285.976125380155,30381.2207862857,31514.73520023828,32652.83693638194,33792.229208124845,34932.45995591146,36072.4421247944,37210.77403840573,38345.928259868015,39476.362463003694,40600.583609485766,41717.183944447024,42824.859875312315,43922.42041233648,45008.7892410393,46083.002931359195,47144.206840138024,48191.649683588694,49224.67739797344,50242.72668270673,51245.318478370384,52232.05154128079,53202.59621720505,54156.68847790828,55094.124258214586,56014.75411367931,56918.47820695977,57805.2416227205,58675.03000523861,59527.86550900887,60363.803050063834,61182.92684406396,61985.347216226735,62771.19766767238,63540.632182637855,64293.82276115365,65030.95716211667,65752.23684217277,66457.87507640096,67148.09524743588,67823.12929035032,68483.21628132506,69128.60115884512,69759.53356686709,70376.2668100933,70979.05691215892,71568.16176818244,72143.84038374574,72706.35219295521,73255.95644878804,73792.91167944911,74317.47520495184
