,date,cases,diff
40,2021-03-13,11346580.448415238,26892.887533320114
41,2021-03-14,11374584.730105825,28004.28169058636
42,2021-03-15,11403734.819426794,29150.089320968837
43,2021-03-16,11434063.057381073,30328.237954279408
44,2021-03-17,11465607.780374732,31544.722993658856
45,2021-03-18,11498402.156957345,32794.376582613215
46,2021-03-19,11532549.644512096,34147.48755475134
47,2021-03-20,11568142.155895762,35592.511383665726
48,2021-03-21,11605281.901455652,37139.74555988982
49,2021-03-22,11644096.801999515,38814.900543862954
50,2021-03-23,11684787.262856985,40690.46085746959
51,2021-03-24,11727463.087065313,42675.8242083285
52,2021-03-25,11772594.193728233,45131.106662919745
53,2021-03-26,11820532.859134197,47938.66540596448
54,2021-03-27,11871651.671917146,51118.81278294884
55,2021-03-28,11926313.506032787,54661.83411564119
56,2021-03-29,11984889.326580573,58575.82054778561
57,2021-03-30,12047779.497258825,62890.170678252354
58,2021-03-31,12115413.397547925,67633.90028909966
59,2021-04-01,12188281.59450952,72868.19696159475
60,2021-04-02,12266761.83519419,78480.24068466946
61,2021-04-03,12351305.077350156,84543.24215596728
62,2021-04-04,12442435.82951199,91130.75216183439
63,2021-04-05,12540735.494701909,98299.66518991813
64,2021-04-06,12646848.226915814,106112.73221390508
65,2021-04-07,12761480.219948636,114631.99303282239
66,2021-04-08,12885395.426199242,123915.2062506061
67,2021-04-09,13019408.87291822,134013.44671897776
68,2021-04-10,13164373.776068289,144964.9031500686
69,2021-04-11,13321123.769182583,156749.99311429448
70,2021-04-12,13490501.908896998,169378.13971441425
71,2021-04-13,13673084.438846184,182582.52994918637
72,2021-04-14,13869318.968571622,196234.52972543798
73,2021-04-15,14079504.226735715,210185.2581640929
74,2021-04-16,14303873.847987648,224369.62125193328
75,2021-04-17,14542567.69572868,238693.84774103202
76,2021-04-18,14795557.828261469,252990.13253278844
77,2021-04-19,15062645.722765842,267087.8945043739
78,2021-04-20,15343534.350313565,280888.6275477223
79,2021-04-21,15637749.165523898,294214.8152103331
80,2021-04-22,15944714.462814225,306965.297290327
81,2021-04-23,16263771.373146685,319056.91033245996
82,2021-04-24,16594182.729033682,330411.35588699766
83,2021-04-25,16935143.609046634,340960.8800129518
84,2021-04-26,17285794.7862093,350651.1771626659
85,2021-04-27,17645232.337488852,359437.5512795523
86,2021-04-28,18012509.972407106,367277.63491825387
87,2021-04-29,18386670.718366522,374160.74595941603
88,2021-04-30,18766691.071826257,380020.35345973447
89,2021-05-01,19151367.04756406,384675.9757378027
90,2021-05-02,19539556.367657553,388189.3200934939
91,2021-05-03,19930166.740847133,390610.3731895797
92,2021-05-04,20322156.197271965,391989.45642483234
93,2021-05-05,20714254.92973719,392098.7324652262
94,2021-05-06,21105253.183643393,390998.2539062016
95,2021-05-07,21494013.932408992,388760.748765599
96,2021-05-08,21879431.927831903,385417.9954229109
97,2021-05-09,22260099.721014254,380667.7931823507
98,2021-05-10,22634922.759162743,374823.03814848885
99,2021-05-11,23003030.74076104,368107.981598299
100,2021-05-12,23363728.303624958,360697.56286391616
101,2021-05-13,23716473.54334286,352745.23971790075
102,2021-05-14,24060857.924696527,344384.38135366887
103,2021-05-15,24396590.23289731,335732.308200784
104,2021-05-16,24723482.03589208,326891.80299476907
105,2021-05-17,25041434.042476956,317952.0065848753
106,2021-05-18,25350404.65765976,308970.6151828058
107,2021-05-19,25650328.253519446,299923.59585968405
108,2021-05-20,25941226.743719324,290898.4901998788
109,2021-05-21,26223187.580981497,281960.83726217225
110,2021-05-22,26496348.555652354,273160.9746708572
111,2021-05-23,26760886.407427277,264537.8517749235
112,2021-05-24,27017007.79809193,256121.390664652
113,2021-05-25,27264941.90972308,247934.1116311513
114,2021-05-26,27504934.272181436,239992.36245835572
115,2021-05-27,27737241.586303335,232307.31412189826
116,2021-05-28,27962127.388181712,224885.8018783778
117,2021-05-29,28179858.43941008,217731.0512283668
118,2021-05-30,28390701.749165554,210843.30975547433
119,2021-05-31,28594922.146547034,204220.39738148078
120,2021-06-01,28792780.330371667,197858.18382463232
121,2021-06-02,28984531.330812532,191751.00044086576
122,2021-06-03,29170423.323747445,185891.99293491244
123,2021-06-04,29350696.744818233,180273.42107078806
124,2021-06-05,29525583.656050693,174886.9112324603
125,2021-06-06,29695307.323437642,169723.66738694906
126,2021-06-07,29860081.969088454,164774.6456508115
127,2021-06-08,30020112.666355383,160030.69726692885
128,2021-06-09,30175595.350727264,155482.6843718812
129,2021-06-10,30326716.923224986,151121.57249772176
