,date,deaths,diff
0,2021-02-01,154392.01,0
1,2021-02-02,154392.01,0.0
2,2021-02-03,154409.5855250502,17.57552505019703
3,2021-02-04,154434.87915066912,25.29362561891321
4,2021-02-05,154463.80765077242,28.928500103298575
5,2021-02-06,154494.8382787793,31.030628006876213
6,2021-02-07,154527.57325606223,32.73497728293296
7,2021-02-08,154562.0900434855,34.51678742328659
8,2021-02-09,154598.63723814822,36.547194662707625
9,2021-02-10,154637.4996467597,38.8624086114869
10,2021-02-11,154678.94327522698,41.44362846727017
11,2021-02-12,154723.19728063067,44.254005403694464
12,2021-02-13,154770.4523247403,47.25504410962458
13,2021-02-14,154820.86562567094,50.4133009306388
14,2021-02-15,154874.56824245947,53.702616788534215
15,2021-02-16,154931.6726242845,57.10438182501821
16,2021-02-17,154992.27962193644,60.60699765195022
17,2021-02-18,155056.48468558356,64.20506364712492
18,2021-02-19,155124.38319782668,67.8985122431186
19,2021-02-20,155196.07497826198,71.69178043529973
20,2021-02-21,155271.66802359483,75.5930453328474
21,2021-02-22,155351.28155240754,79.61352881271159
22,2021-02-23,155435.04842238835,83.76686998081277
23,2021-02-24,155523.11698679268,88.06856440432603
24,2021-02-25,155615.65245787695,92.53547108426574
25,2021-02-26,155712.83784745476,97.18538957781857
26,2021-02-27,155814.87455700786,102.03670955309644
27,2021-02-28,155921.98269024768,107.1081332398171
28,2021-03-01,156034.40115846094,112.4184682132618
29,2021-03-02,156152.38764290616,117.98648444522405
30,2021-03-03,156276.2184692788,123.83082637263578
31,2021-03-04,156406.18843772882,129.96996845002286
32,2021-03-05,156542.61063930823,136.42220157940756
33,2021-03-06,156685.81627723388,143.20563792565372
34,2021-03-07,156836.15449996892,150.33822273503756
35,2021-03-08,156993.99224349516,157.83774352623732
36,2021-03-09,157159.7140725983,165.7218291031313
37,2021-03-10,157333.72200553867,174.00793294038158
38,2021-03-11,157516.43530296758,182.71329742891248
39,2021-03-12,157708.29020008448,191.85489711689297
40,2021-03-13,157909.7395604867,201.44936040221364
41,2021-03-14,158121.25243062078,211.51287013408728
42,2021-03-15,158343.31347493047,222.06104430969572
43,2021-03-16,158577.16887793393,233.85540300345747
44,2021-03-17,158822.8594455467,245.69056761276443
45,2021-03-18,159074.9284094261,252.06896387939923
46,2021-03-19,159339.41949614382,264.4910867177241
47,2021-03-20,159620.56585471888,281.14635857506073
48,2021-03-21,159925.74554642086,305.17969170198194
49,2021-03-22,160233.5017184066,307.7561719857331
50,2021-03-23,160527.78761902387,294.2859006172803
51,2021-03-24,160836.32810199677,308.5404829728941
52,2021-03-25,161157.82697566057,321.49887366380426
53,2021-03-26,161490.695040453,332.8680647924193
54,2021-03-27,161834.7588640127,344.0638235596998
55,2021-03-28,162191.0007984437,356.2419344310183
56,2021-03-29,162565.13032820914,374.12952976542874
57,2021-03-30,162953.74958775175,388.61925954261096
58,2021-03-31,163360.86433799245,407.1147502406966
59,2021-04-01,163789.9470263803,429.0826883878617
60,2021-04-02,164244.41361982873,454.4665934484219
61,2021-04-03,164727.87750409168,483.46388426295016
62,2021-04-04,165244.12249505467,516.244990962994
63,2021-04-05,165797.1488396124,553.0263445577293
64,2021-04-06,166391.24553351296,594.0966939005593
65,2021-04-07,167031.05986680492,639.8143332919572
66,2021-04-08,167721.66001017383,690.6001433689089
67,2021-04-09,168468.58800620047,746.9279960266431
68,2021-04-10,169277.90088981466,809.3128836141841
69,2021-04-11,170156.19758867347,878.296698858816
70,2021-04-12,171110.6253545824,954.427765908913
71,2021-04-13,172148.82265070695,1038.1972961245629
72,2021-04-14,173278.8566375175,1130.0339868105657
73,2021-04-15,174508.76177190873,1229.9051343912142
74,2021-04-16,175846.22859796023,1337.4668260515027
75,2021-04-17,177298.37268013466,1452.1440821744327
76,2021-04-18,178871.63680582715,1573.2641256924835
77,2021-04-19,180571.72552788586,1700.0887220587174
78,2021-04-20,182403.4371644536,1831.7116365677211
79,2021-04-21,184370.48721231316,1967.0500478595786
80,2021-04-22,186475.4915118333,2105.0042995201366
81,2021-04-23,188719.9472475114,2244.455735678086
82,2021-04-24,191104.26424694248,2384.3169994310883
83,2021-04-25,193627.8273331079,2523.5630861654354
84,2021-04-26,196289.07118459424,2661.2438514863316
85,2021-04-27,199085.5625662614,2796.491381667147
86,2021-04-28,202014.08829271246,2928.525726451073
87,2021-04-29,205070.7415430018,3056.653250289324
88,2021-04-30,208250.99250673744,3180.250963735656
89,2021-05-01,211549.77202705384,3298.7795203163987
90,2021-05-02,214961.48637153092,3411.7143444770772
91,2021-05-03,218479.8737148418,3518.3873433108674
92,2021-05-04,222098.0736562188,3618.19994137701
93,2021-05-05,225808.7574233416,3710.6837671227986
94,2021-05-06,229604.26419644197,3795.50677310038
95,2021-05-07,233476.58013862756,3872.3159421855817
96,2021-05-08,237417.41253526186,3940.8323966343014
97,2021-05-09,241418.24228242534,4000.829747163487
98,2021-05-10,245470.43746446294,4052.195182037598
99,2021-05-11,249565.34039236658,4094.902927903633
100,2021-05-12,253694.36141884662,4129.021026480041
101,2021-05-13,257849.07635691768,4154.714938071062
102,2021-05-14,262021.29506460804,4172.218707690365
103,2021-05-15,266203.1535290135,4181.8584644054645
104,2021-05-16,270387.1875649198,4184.034035906312
105,2021-05-17,274566.3868848467,4179.199319926905
106,2021-05-18,278734.2324041564,4167.845519309689
107,2021-05-19,282884.7194289146,4150.487024758186
108,2021-05-20,287012.36462569213,4127.645196777536
109,2021-05-21,291112.18385660974,4099.819230917608
110,2021-05-22,295179.6763152459,4067.492458636174
111,2021-05-23,299210.80953621416,4031.133220968244
112,2021-05-24,303202.0029630148,3991.193426800659
113,2021-05-25,307150.10929084505,3948.1063278302317
114,2021-05-26,311052.39354852797,3902.2842576829134
115,2021-05-27,314906.5102335676,3854.116685039655
116,2021-05-28,318710.4789594468,3803.9687258791528
117,2021-05-29,322462.65911302675,3752.180153579975
118,2021-05-30,326161.72400359955,3699.0648905728012
119,2021-05-31,329806.6349411948,3644.9109375952394
120,2021-06-01,333396.61562517675,3589.980683981965
121,2021-06-02,336931.12716341345,3534.511538236693
122,2021-06-03,340409.84398214775,3478.716818734305
123,2021-06-04,343832.630829913,3422.7868477652664
124,2021-06-05,347199.5210269194,3366.8901970064035
125,2021-06-06,350510.69606507814,3311.175038158719
126,2021-06-07,353766.4666234889,3255.7705584107316
127,2021-06-08,356967.25502976374,3200.7884062748635
128,2021-06-09,360113.57916874695,3146.324138983211
129,2021-06-10,363206.0378166145,3092.4586478675483
