,series,2021-02-01,2021-02-02,2021-02-03,2021-02-04,2021-02-05,2021-02-06,2021-02-07,2021-02-08,2021-02-09,2021-02-10,2021-02-11,2021-02-12,2021-02-13,2021-02-14,2021-02-15,2021-02-16,2021-02-17,2021-02-18,2021-02-19,2021-02-20,2021-02-21,2021-02-22,2021-02-23,2021-02-24,2021-02-25,2021-02-26,2021-02-27,2021-02-28,2021-03-01,2021-03-02,2021-03-03,2021-03-04,2021-03-05,2021-03-06,2021-03-07,2021-03-08,2021-03-09,2021-03-10,2021-03-11,2021-03-12,2021-03-13,2021-03-14,2021-03-15,2021-03-16,2021-03-17,2021-03-18,2021-03-19,2021-03-20,2021-03-21,2021-03-22,2021-03-23,2021-03-24,2021-03-25,2021-03-26,2021-03-27,2021-03-28,2021-03-29,2021-03-30,2021-03-31,2021-04-01,2021-04-02,2021-04-03,2021-04-04,2021-04-05,2021-04-06,2021-04-07,2021-04-08,2021-04-09,2021-04-10,2021-04-11,2021-04-12,2021-04-13,2021-04-14,2021-04-15,2021-04-16,2021-04-17,2021-04-18,2021-04-19,2021-04-20,2021-04-21,2021-04-22,2021-04-23,2021-04-24,2021-04-25,2021-04-26,2021-04-27,2021-04-28,2021-04-29,2021-04-30,2021-05-01,2021-05-02,2021-05-03,2021-05-04,2021-05-05,2021-05-06,2021-05-07,2021-05-08,2021-05-09,2021-05-10,2021-05-11,2021-05-12,2021-05-13,2021-05-14,2021-05-15,2021-05-16,2021-05-17,2021-05-18,2021-05-19,2021-05-20,2021-05-21,2021-05-22,2021-05-23,2021-05-24,2021-05-25,2021-05-26,2021-05-27,2021-05-28,2021-05-29,2021-05-30,2021-05-31,2021-06-01,2021-06-02,2021-06-03,2021-06-04,2021-06-05,2021-06-06,2021-06-07,2021-06-08,2021-06-09,2021-06-10,2021-06-11,2021-06-12,2021-06-13,2021-06-14,2021-06-15,2021-06-16,2021-06-17,2021-06-18,2021-06-19,2021-06-20,2021-06-21,2021-06-22,2021-06-23,2021-06-24,2021-06-25,2021-06-26,2021-06-27,2021-06-28,2021-06-29,2021-06-30,2021-07-01
8,an,4994.0,4994.0,4994.0535091442625,4994.140935162782,4994.251077929587,4994.377605230466,4994.517013452432,4994.667446559618,4994.8280118355515,4994.998383385191,4995.178572410392,4995.3687941691005,4995.5693909926,4995.780787804112,4996.003466474605,4996.237951086945,4996.484799504999,4996.7445985730465,4997.01796138934,4997.3055257463675,4997.6079532066915,4997.925928501178,4998.260159063014,4998.611374583932,4998.980326521586,4999.367787511398,4999.774550650454,5000.201428629253,5000.6492526919865,5001.118871409062,5001.61114924757,5002.126964926889,5002.6672095480435,5003.232784486762,5003.824599041678,5004.44356783091,5005.090607932154,5005.766635763747,5006.472563706692,5007.209296470504,5007.977727208891,5008.778733394708,5009.613172467303,5010.481877269239,5011.385651293423,5012.325263765805,5013.32277113599,5014.396751087964,5015.564373524445,5016.842879604419,5018.250678506196,5019.8082156456985,5021.538722298097,5023.468924170958,5025.629763416817,5028.0571724948495,5030.792926969984,5033.885595841093,5037.391600689663,5041.376387463425,5045.915705880526,5051.096980252792,5057.020741164387,5063.802069364831,5071.571981340197,5080.478660879441,5090.688414059221,5102.386199125057,5115.775561758417,5131.0777953801535,5148.530151295594,5168.382950134278,5190.895497918974,5216.33078763385,5244.949066184029,5277.000457966941,5312.3253985128495,5350.7827933639,5392.204591842271,5436.378367775653,5483.044023701325,5531.8980165668945,5582.6016527557995,5634.791419541156,5688.0900198885265,5742.117181468167,5796.499590513951,5850.879521560286,5904.92191638781,5958.319815098672,6010.798160160063,6062.116081568853,6112.0678303359155,6160.482561829369,6207.223184476568,6252.184487474688,6295.29074788927,6336.492996753502,6375.766098816164,6413.1057740404285,6448.525662782321,6482.054512133493,6513.733539047471,6543.614007025498,6571.755037451339,6598.221664047163,6623.083129141321,6646.411413173912,6668.279983758272,6688.762747300468,6707.9331843064665,6725.863648760727,6742.624812062826,6758.285232724223,6772.91103416066,6786.565674310477,6799.309792343094,6811.201119302928,6822.294441093992,6832.641603702792,6842.2915519505395,6851.290394342182,6859.681487730585,6867.505536537805,6874.800702175062,6881.602719085654,6887.945014509182,6893.858829641129,6899.373340349268,6904.515776017761,6909.3115354309275,6913.784298890529,6917.956135991512,6921.847608668892,6925.477869279322,6928.864753601309,6932.024868732282,6934.973675933979,6937.725568533132,6940.293945025636,6942.691277561971,6944.929176011744,6947.018447817928,6948.969153858132,6950.790660532296,6952.491688294832,6954.080356845042,6955.564227183553,6956.950340734927,6958.2452557280785,6959.455081017031
8,ap,887836.0,887836.0,887848.4846216929,887868.1964618813,887892.4705442853,887919.9873282518,887950.1265198875,887982.6325209702,888017.4414938833,888054.5922074214,888094.1802886606,888136.3349460571,888181.2073156842,888228.9648145159,888279.788597157,888333.8726177051,888391.4235257253,888452.6610011987,888517.8183271775,888587.1430985716,888660.8980165491,888739.3617440009,888822.8298105863,888911.6155623287,889006.051153822,889106.48858244,889213.3007644421,889326.8826528806,889447.6523970091,889576.0525425323,889712.5512716033,889857.6436809439,890011.8530958889,890175.73241749,890349.8654990866,890534.86854794,890731.391546628,890940.1196879066,891161.7748156626,891397.1168633945,891646.9452803667,891912.1004341993,892193.4649771587,892491.9651618242,892808.5720901261,893144.302877992,893500.2217160037,893877.4408045944,894277.1211404139,894700.4731285905,895148.7569937606,895623.282960964,896125.4111758472,896656.5513321672,897218.1619733622,897811.7494340638,898455.0027401284,899162.6568536855,899948.3860118069,900826.0473776546,901810.5552304093,902918.5599263405,904169.0398818351,905583.8748224252,907188.4448331419,909012.2859237792,911089.8247386756,913461.2100202028,916173.2547119859,919280.498917628,922793.249568756,926735.83399977,931140.0622594905,936041.9394674706,941479.8067375041,947493.0867668809,954121.2623323484,961402.9243455186,969374.8251690872,978070.9223686896,987521.424384474,997751.8642110096,1008782.2348908859,1020626.2234231292,1033290.5784347651,1046774.6422517071,1061070.0704884818,1076160.7527803415,1092022.9377718377,1108625.554961255,1125930.7164120842,1143894.373430568,1162467.0975703513,1181594.951982695,1201220.4181455334,1221283.3441280574,1241721.8833862713,1262473.3971712862,1283475.2984861406,1304665.8207055922,1325984.699102376,1347373.7583140105,1368777.4030359841,1390143.0128219612,1411421.2447614502,1432566.2499971727,1453535.8115849588,1474291.4121608918,1494798.2403499812,1515025.1449186772,1534944.5454285557,1554532.307671884,1573767.5915333892,1592632.678187103,1611112.7827523968,1629195.8577382131,1646872.3918286816,1664135.207827809,1680979.2629000773,1697401.453625986,1713400.4278409116,1728976.404742721,1744131.0043365092,1758867.0869299918,1773188.603095784,1787100.4542716169,1800608.3639709144,1813718.7594183784,1826438.6633029592,1838775.595248664,1850737.4825374319,1862332.579573531,1873569.3955518384,1884456.6297796543,1895003.114100471,1905217.76187592,1915109.5229968696,1924687.3444145145,1933960.1357059216,1942936.7392145684,1951625.9043339929,1960036.265531015,1968176.3237333756,1976054.4307346703,1983678.776296736,1991057.377655875,1998198.0711643456,2005108.5058222243,2011796.1384770009,2018268.2304890968,2024531.8456808245
8,ar,16828.0,16828.0,16828.073000451168,16828.188155595704,16828.326399711637,16828.476029388235,16828.629938759594,16828.78388754528,16828.935415750402,16829.083163765306,16829.226446800058,16829.364988931953,16829.498757319743,16829.627859256554,16829.7524786148,16829.872836954546,16829.98917004399,16830.101713982916,16830.210697283586,16830.316336623495,16830.418834838987,16830.51838026593,16830.615146870794,16830.70929482732,16830.800971326593,16830.890311491406,16830.977439317765,16831.062468598528,16831.14550380425,16831.226640908502,16831.305968152366,16831.383566747296,16831.45951151798,16831.53387148833,16831.606710414348,16831.678087267912,16831.748056675486,16831.81666931571,16831.883972279462,16831.950009395878,16832.014821527482,16832.07844683728,16832.1409210305,16832.202277573368,16832.262547891107,16832.321761547155,16832.379946405326,16832.443301037187,16832.516555135928,16832.603661997953,16832.708460386846,16832.83524528267,16832.989270036698,16833.17723999569,16833.40787083061,16833.692590660383,16834.04647475471,16834.489521840707,16835.04841655435,16835.758978391266,16836.669580754922,16837.81885174965,16839.261794360234,16841.069094793336,16843.329281324764,16846.15233449887,16849.67436232574,16854.06328591312,16859.525575004332,16866.314069577056,16874.73686087965,16885.16708523593,16898.053296756458,16913.929819872217,16933.426136896607,16957.27395717734,16986.310194085603,17021.473740777707,17063.793828252932,17114.368036755684,17174.328851599974,17244.799036454147,17326.83788953231,17421.382301489528,17529.187977991824,17650.776795430964,17786.39580916557,17935.992018407123,18099.204962047977,18275.37704681021,18463.579620627926,18662.65147403008,18871.245772048507,19087.881332837107,19310.99453501189,19538.98878495028,19770.27925281882,20003.33137113315,20236.692301022704,20469.015163747088,20699.076291092664,20925.78607025654,21148.194160822426,21365.48996359066,21576.9992453071,21782.177790805526,21980.6028833469,22171.96332044389,22356.04856832205,22532.737552394552,22701.98747999624,22863.822999164488,23018.3259157245,23165.625621259704,23305.890326697787,23439.3191495605,23566.13506636393,23686.57871397214,23800.90300359208,23909.368497275944,24012.239488078307,24109.780720336137,24202.254684971213,24289.919425470536,24373.026792627592,24451.82108969571,24526.53805389274,24597.404124875902,24664.635955628622,24728.440125983878,24789.013023621075,24846.540861727924,24901.19980655952,24953.156191825343,25002.56680017922,25049.579195080794,25094.332088952837,25136.955735894448,25177.572339250477,25216.296466105552,25253.235462294513,25288.48986282359,25322.153793704012,25354.315362134465,25385.05703275241,25414.45598832654,25442.58447380063,25469.510123040083,25495.29626798869,25520.002230229056,25543.683595165323
8,as,217141.0,217141.0,217145.4617625705,217152.9904700269,217162.63905340977,217173.76459694933,217185.9308184681,217198.84180907602,217212.29699990692,217226.1605522358,217240.3405518322,217254.7748691984,217269.42155236469,217284.25230163333,217299.2480397058,217314.39590616868,217329.68721993032,217345.11609919745,217360.67852790677,217376.37172510035,217392.1937197061,217408.14306445452,217424.2186439325,217440.4195462356,217456.74497751184,217473.19420536875,217489.76652165133,217506.46121817952,217523.27757112012,217540.21483108273,217557.27221698806,217574.44891240253,217591.74406347045,217609.15677786677,217626.68612439392,217644.33113297427,217662.09079488012,217679.96406309985,217697.94985277843,217716.04704169364,217734.25447074708,217752.57094445836,217770.9952314572,217789.52606497266,217808.1621433193,217826.9021303838,217845.7446561129,217864.6883170064,217883.73167661735,217902.87326606148,217922.11158453772,217942.63125713333,217965.37004156245,217991.1134382192,218020.57913139366,218054.48987188094,218093.63667827874,218138.935927368,218191.48463520574,218252.6184735237,218323.9771587916,218407.58201745048,218505.93090895136,218622.1163606361,218759.97378345893,218924.26802265216,219120.9282626151,219353.8110170739,219627.52628681454,219947.899725513,220321.83591433265,220757.27685608828,221263.2006655252,221849.62820905974,222527.61656073094,223309.22353994683,224207.4304847775,225236.01259975557,226409.34876108894,227742.1661640557,229249.21988856426,230944.91321709807,232842.87089679443,234955.48373652337,237293.4480509728,239865.32661705892,242677.1583448808,245732.141547155,249030.41075881614,252568.92018159488,256341.4389501459,260338.65554959304,264548.38174940675,268955.84098986245,273544.022589767,278294.08147040807,283185.7631167675,288197.8348872137,293308.5071415078,298495.83059331955,303738.05946464965,309013.97315274173,314303.1520183709,319586.20544216275,324844.9524074807,330062.5565362321,335223.61874351016,340314.23152652866,345321.9994138877,350236.03032938624,355046.90262714995,359746.61238520115,364328.5052506831,368787.19675309217,373118.4845764466,377319.2558349581,381387.39195089,385321.6733037367,389121.68541783385,392787.7280881846,396320.7285157615,399722.1592353481,402993.96137085406,406138.47354329185,409158.36658269115,412056.58405397093,414836.28849475103,417500.8131767018,420053.6191378157,422498.2571876143,424838.3345576931,427077.48585335584,429219.34795590135,431267.5385272041,433225.6377766892,435097.1731640153,436885.60672740935,438594.3247465041,440226.62946881505,441785.7326499177,443274.75067837595,444696.70107708656,446054.500192615,447350.9619030617,448588.7971928665,449770.6144596235,450898.9204333918,451976.121603145,453004.52605791186,453986.3456618682,454923.6984931968
8,br,259563.0,259563.0,259631.6804687377,259740.0207945601,259870.55378210425,260012.6932491652,260159.99345724328,260308.5223940293,260455.88662013452,260600.64151630012,260741.93164157105,260879.26965465173,261012.3993467657,261141.21013456894,261265.68328129288,261385.8578306435,261501.80888124183,261613.6336441473,261721.4424449416,261825.35288936232,261925.48606688052,262021.96407578702,262114.90841065857,262204.43891601,262290.67311383906,262373.7257794486,262453.7086830038,262530.7304422662,262604.89645023755,262676.30885346443,262745.06656469434,262811.2652988448,262874.99762476626,262936.3530276387,262995.41797843354,263052.2760079523,263107.0077836903,263159.69118827843,263210.4013986091,263259.210964996,263306.18988989096,263351.4057058044,263394.92355216714,263436.80625093443,263477.11438078515,263515.9063498041,263559.09150323016,263610.55525072943,263672.91024609236,263748.13054270827,263838.0309809413,263944.61578221404,264070.3384778089,264218.3155904482,264392.530587977,264598.0582327943,264841.3350305529,265130.4998049907,265475.8294676045,265890.29849546315,266390.2960871293,266996.54199049674,267735.2499697197,268639.5957759051,269751.55252256,271107.48282617674,272741.37594227603,274697.0744058273,277025.3105974141,279782.07836992264,283027.184156617,286822.5151954043,291229.85818479693,296308.26254697604,302111.05803750467,308682.72825724323,316055.9048669736,324248.77050894627,333263.1346917866,343083.3794403102,353676.37396491494,364992.34980870533,376966.6298881631,389522.0315046815,402571.72205582843,416022.29664129077,429776.8634826649,443737.9578217879,457810.1491668554,471902.2530873458,485929.10184443713,499812.86466564407,513483.9368909554,526881.4373323403,539953.3656844619,552656.4778818354,564955.9382927725,576824.8049405185,588243.3987799131,599198.6014685008,609683.1188705076,619694.7403258067,629235.6169219753,638311.5758878108,646931.4829200411,655106.6598080329,662850.3611156371,670177.3108539003,677103.2979474186,683644.8277633428,689818.825936315,695642.3900902987,701132.5847431638,706306.2746064005,711179.9915960833,715769.8310989208,720091.3733459614,724159.6261025202,727988.9852603887,731593.2102983169,734985.4119455235,738178.0497314645,741182.9374275056,744011.2546794594,746673.5633929803,749179.8276668671,751539.4362735895,753761.2268637213,755853.5112236133,757824.1010459749,759680.333783455,761429.0982481934,763076.8596978459,764629.6842128561,766093.262222605,767472.9310811963,768773.6966285198,770000.2537001759,771157.005571976,772248.0823420339,773277.3582667679,774248.468077156,775164.8223089323,776029.6216855972,776845.8705965306,777616.3897145642,778343.8277982969,779030.6727245495,779679.2617957898,780291.7913663121,780870.3258295462
8,ch,20925.0,20925.0,20929.68999663928,20937.73887574405,20948.321004558267,20960.935430089674,20975.29061428336,20991.23087559448,21008.689428654383,21027.65840937258,21048.169754912324,21070.283022236912,21094.07764023621,21119.647991306312,21147.100293817595,21176.550624828516,21208.123657653145,21241.95183931894,21278.174829137548,21316.939081114542,21358.397492267897,21402.70906413336,21450.03854095643,21500.555998612825,21554.436365291098,21611.858859786906,21673.0063367855,21738.064531322765,21807.2211970846,21880.665135565258,21958.585115498798,22041.16868448269,22128.600877358418,22221.062828693575,22318.73029958691,22421.772131931826,22530.348646143837,22644.610001090306,22764.69453745129,22890.727127881997,23022.817559035077,23161.058971638267,23305.52638533062,23456.275334777358,23613.340642677013,23776.73535363909,23946.44985057294,24122.451172244684,24304.682547115284,24493.063154577037,24687.48812038845,24887.82874860868,25093.93298779936,25305.626124839146,25522.711695519127,25744.972597278364,25972.17238609836,26206.144235963715,26448.35817317933,26700.04047360216,26962.257573882518,27235.974705542467,27522.0965916366,27821.49544277542,28135.029963453555,28463.557981785947,28807.944531612568,29169.066659629832,29547.815838195518,29945.09859022371,30361.835742397943,30798.960592484178,31257.41618841647,31738.151858645317,32242.119096151117,32770.266876250964,33323.5364763862,33902.85586125362,34509.13369659837,35143.253058000555,35806.06490576248,36497.81343401181,37214.6145828885,37953.32288512213,38711.2426929568,39485.95047204685,40275.18767520241,41076.798509525965,41888.69617937976,42708.84703918109,43535.2658125172,44366.01742090333,45199.22250911082,46033.06476182229,46865.798771335765,47695.75765972458,48521.359958259694,49341.11545104088,50153.629830090584,50957.60810596619,51751.85678454692,52535.28486588461,53306.90375085889,54065.826159986056,54811.26417904115,55542.52655030741,56259.01532787057,56960.22201165344,57645.72326879126,58315.17634323207,58968.31424570068,59604.94080685872,60224.925666995056,60828.19926617425,61414.74788967082,61984.60881488376,62537.865597866105,63074.64353019332,63595.10529016838,64099.44680633576,64587.89334594557,65060.695836349376,65518.1274232909,65960.48026663411,66388.0625712053,66801.19584806319,67200.21239960466,67585.45302041231,67957.26490460668,68315.99974963465,68662.01204586483,68995.65754102793,69317.29186840393,69627.269327681,69925.94180756662,70213.6578394938,70490.76177211011,70757.5930566464,71014.48563371683,71261.76741258988,71499.75983447618,71728.7775118963,71949.12793670838,72161.11124988757,72365.02006664961,72561.13935099544,72749.74633422025,72931.11047237515,73105.49343809178,73273.14914257936,73434.32378397771
8,ct,305367.0,305367.0,305440.8819507086,305563.41117743443,305718.73734077945,305896.92540783546,306091.7700697794,306299.4169388683,306517.4920646783,306744.5521864271,306979.73753814533,307222.552630779,307472.7279052557,307730.1324837841,307994.7191958337,308266.489976739,308545.4741143245,308831.71458818647,309125.259498291,309426.1566879446,309734.4503672305,310050.17898619565,310373.37388705823,310704.05844139203,311042.2474895788,311387.94696981827,311741.1536678653,312101.8550460498,312470.02912712365,312845.64441892266,313228.6598721686,313619.0248675027,314016.6792300077,314421.55327065464,314833.56785467704,315252.63449708733,315678.6554855303,316111.5240305429,316551.1244430873,316997.3323389954,317450.0148697319,317909.0309786487,318374.2316816902,318845.46037130995,319356.2246378808,319932.098754931,320593.8722057517,321360.1043536613,322249.1427067393,323280.7222661794,324477.2778880099,325865.0921207668,327475.3815128722,329345.40266732546,331519.6388042398,334051.1089727837,337002.8244314182,340449.39836574486,344449.2077961752,349007.405792538,354146.36038008454,359895.7855164991,366287.0549699617,373349.63629945647,381108.6453863129,389583.0554831325,398784.3598865224,408715.6138585906,419370.8350987065,430734.7573450079,442782.9274931712,455482.12394891545,468791.0593934935,482661.3186452943,497038.473895516,511863.3159990835,527073.141505581,542603.0399353015,558387.1333777504,574359.7296957229,590456.3604410776,606614.6842024474,622775.2449082582,638882.0822173534,654883.1973514811,670730.8825170676,686381.9254955975,701797.7031913063,716944.179089903,731791.8198955724,746315.446265548,760494.0317275715,774310.4626997573,787751.2711646839,800806.3500851105,813468.6601694034,825733.9351613524,837600.3914842815,849068.4468408505,860140.4512732336,870820.4332296052,881113.8623611075,891027.4300828492,900568.84836365,909746.6667509319,918570.1072769898,927048.9166183212,935193.2346784745,943013.4786254793,950520.24132667,957724.2030771424,964636.0555046748,971266.436546466,977625.8754251866,983724.7465983584,989573.2317116195,995181.2886494036,1000558.6268431104,1005714.6880647172,1010658.6320012056,1015399.3259708608,1019945.3382054856,1024304.9341821818,1028486.0755441741,1032496.4212019488,1036343.3302536536,1040033.8664072723,1043574.803626686,1046972.6327594569,1050233.5689363226,1053363.559561096,1056368.2927352618,1059253.2059842441,1062023.495172347,1064684.123511015,1067239.8305805027,1069695.1412985472,1072054.374781392,1074321.6530526928,1076500.9095646366,1078595.8975031865,1080610.1978558442,1082547.227225874,1084410.245381617,1086202.3625335114,1087926.5463347672,1089585.6286044149,1091182.3117737663,1092719.1750592072,1094198.6803657662,1095623.1779271485
8,dl,635096.0,635096.0,635136.0937000951,635197.8488853413,635272.3549358858,635355.3560272481,635444.880351885,635540.0800048534,635640.6619623782,635746.6086198981,635858.0404186515,635975.1482505708,636098.1601334374,636227.3247038956,636362.9029444573,636505.1639199514,636654.3824429215,636810.8376425443,636974.8119311464,637146.5901184125,637326.4585497489,637514.7042078507,637711.6137477446,637917.4724514013,638132.563096325,638357.1647371672,638591.5514023164,638835.9907095083,639090.7424062092,639356.0568421053,639632.1733825258,639919.3187731039,640217.705467413,640527.5299306983,640848.9709341241,641182.1878551387,641527.3190005975,641884.4799701284,642253.7620778539,642635.2308509592,643028.9246236932,643434.8532451866,643852.9969189491,644283.3051910661,644725.6961029462,645180.0555229854,645657.9832475828,646169.2967378385,646723.2811356336,647329.5586888833,647998.7283805129,648742.8874857221,649576.1125511166,650514.9518940321,651578.964498507,652791.3288599728,654179.5374132232,655776.1854622378,657619.8561804019,659756.0937526119,662238.4438725045,665129.5237549884,668502.062346849,672439.8262505898,677038.3201469925,682405.126084614,688659.7295572378,695932.6786948442,704363.942902703,714100.3834450649,725292.3208249563,738089.2762490794,752635.0647040004,768985.8666619458,787052.8708987697,806737.8818579746,827914.1722714233,850424.1365756766,874083.5669164857,898688.6165717527,924023.6426331288,949868.9425986623,976007.7960363856,1002232.466672432,1028348.9953646591,1054180.7450296471,1079570.7529645977,1104383.009057621,1128502.8150300279,1151836.3954087957,1174309.9306939892,1195868.1720422094,1216472.7788959495,1236100.499675495,1254741.293405003,1272396.4687036332,1289076.8970396887,1304801.3401251975,1319594.9170543985,1333487.72523762,1346513.6201615676,1358709.1522326863,1370112.6541047215,1380763.4686218794,1390701.305510151,1399965.7139380893,1408595.6577994702,1416629.1808384506,1424103.1493757528,1431053.0612694866,1437512.9107540378,1443515.099868329,1449090.3882549275,1454267.8741451912,1459075.000317411,1463537.5797093343,1467679.836175897,1471524.4566050966,1475092.65124147,1478404.2196216981,1481477.6200063184,1484330.0406020503,1486977.471217836,1489434.7742914138,1491715.754468763,1493833.226122433,1495799.078362341,1497624.3372293394,1499319.2248723689,1500893.2155983998,1502355.0887542563,1503712.978453864,1504974.4202061626,1506146.394530151,1507235.3676662112,1508247.3295086045,1509187.8288942615,1510062.006388787,1510874.6247129282,1511630.0969524418,1512332.512691881,1512985.66220895,1513593.0588610615,1514157.9597899732,1514683.3850641442,1515172.1353719297,1515626.8083721085,1516049.8138016276,1516443.3874339794,1516809.6039753081,1517150.388979299
8,dn_dd,3398.0,3398.0,3398.545061307996,3399.4790982262843,3400.6907052009733,3402.0999926601366,3403.649419874143,3405.2973651820644,3407.013590908653,3408.7760300679656,3410.568500773836,3412.379074922553,3414.1989101645595,3416.021411074108,3417.841624968581,3419.6558054695524,3421.461096306639,3423.2553015460057,3425.036718100293,3426.804013238893,3428.5561346978443,3430.29224446842,3432.011669830848,3433.7138669818696,3435.3983938850292,3437.0648898942604,3438.713060366576,3440.3426649609446,3441.953508669484,3443.545434880842,3445.1183199606244,3446.6720689687804,3448.2066122328883,3449.7219025688696,3451.2179129941915,3452.6946348180013,3454.1520760218727,3455.5902598664024,3457.009223675008,3458.409017758195,3459.789704450525,3461.1513572391523,3462.49405996782,3463.817906103965,3465.122998059375,3466.6289491259254,3468.5134054966106,3470.921394269106,3473.9800113571996,3477.8136542134803,3482.5583167026225,3488.3748358050407,3495.4616345556046,3504.0677968995396,3514.5074047969542,3527.1760580438904,3542.5704273328624,3561.311568634927,3584.1725297405433,3611.798247402963,3644.584628825373,3683.055113032301,3727.799690433169,3779.4316010507855,3838.551961898593,3905.7181707659997,3981.414953113624,4066.028482137343,4159.8246657967375,4262.932772181237,4375.335273355229,4496.864303753684,4627.204596354166,4765.902284387815,4912.3786019359295,5065.947307436787,5225.834583614181,5391.200210841645,5561.158935970138,5734.801132808684,5911.212046094683,6089.489106831085,6268.756988860461,6448.180235822975,6626.973420065277,6804.408899760362,6979.822318775058,7152.616048308409,7322.260803319848,7488.295683792476,7650.326894378126,7808.025389131541,7961.1236736815035,8109.411977723073,8252.733988151056,8390.982309104129,8524.093790907806,8652.04484633543,8774.846850421758,8892.541699711763,9005.197588572168,9112.905044155304,9215.773247792296,9313.926658932223,9407.501948104262,9496.645237592422,9581.509642386949,9662.253099313662,9739.036468844184,9812.021891765358,9881.371381456447,9947.245631825359,10009.803020843754,10069.198789967228,10125.584380419748,10179.106908266558,10229.908761318029,10278.127302133029,10323.894662672066,10367.337617445972,10408.577523282924,10447.73031507154,10484.906548012646,10520.211478015804,10553.745172901155,10585.6026480091,10615.874020678719,10644.644678832005,10671.99545959764,10698.00283452926,10722.739098523427,10746.272560027259,10768.667730549903,10789.985511861454,10810.283379582514,10829.615562142848,10848.033214322757,10865.584584790971,10882.315177221844,10898.267904716276,10913.483237368775,10927.999342920204,10941.852220515231,10955.07582764742,10967.702200425778,10979.761567336302,10991.282456702194,11002.291798068709,11012.81501775413,11022.876128818412,11032.497815706547
8,ga,53409.0,53409.0,53419.23277939855,53435.4545665011,53455.465399254455,53478.137810264474,53502.90929608752,53529.51589379148,53557.85192504724,53587.8959983274,53619.6718756154,53653.22770270284,53688.624913927146,53725.93223012485,53765.22233220728,53806.569933638944,53850.050577271984,53895.739800169824,53943.71247841902,53994.04225322211,54046.80098710695,54102.058224574816,54159.880645342666,54220.33150599917,54283.47007028781,54349.35103087298,54418.02392713443,54489.53256468262,54563.91444310018,54641.20019899432,54721.41307183399,54804.56840026366,54890.67315663161,54979.72552734538,55071.7145463684,55166.619788698525,55264.41113002836,55365.048577987385,55468.482179421815,55574.65200710108,55683.4882280723,55794.91125464667,55908.83197772281,56025.152080866384,56143.7644323033,56264.55355077997,56387.396140124816,56512.161686340674,56638.713110187324,56766.907467496894,56896.596688913945,57027.62835037406,57159.846465431954,57293.092290518536,57427.205134338925,57562.02316290727,57700.56698059329,57845.161442278,57997.7605979389,58160.16857519634,58334.19021661475,58521.73667886324,58724.90380887909,58946.03535766022,59187.778879837715,59453.139197456534,59745.53224088258,60068.8406156928,60427.471140593254,60826.41368027485,61271.299738046444,61768.45840481789,62324.966356576806,62948.68766730068,63648.29831600993,64433.289514892575,65313.94350688197,66301.2754379495,67406.93546758287,68643.0665781679,70022.11565108997,71556.59826031889,73258.82112785231,75140.56998976637,77212.77432879688,79485.16357989336,81937.93494232508,84553.94685618248,87315.53012582577,90203.47942561118,93197.00866401003,96274.13265833343,99412.220628389,102588.59131717317,105781.07869941008,108968.52875986,112131.20681800695,115251.10744630484,118312.16769671375,121300.39025043572,124203.88686291705,127012.85453490852,129719.4975778288,132317.90849592138,134803.91967797256,137174.93653250794,139429.7611192678,141568.413685465,143591.9579227822,145502.33429680896,147302.20450971133,148994.80905988993,150583.83896175827,152073.32197473574,153467.5231455628,154770.85907046712,155987.8250104678,157122.93382155124,158180.66557057682,159165.42667886455,160081.51745240402,160933.10690708036,161724.2138683429,162458.6934087375,163140.2277770697,163772.32106473946,164358.29694446336,164901.29890176337,165404.2924587299,165870.06896180546,166301.25057032713,166700.29614033154,167069.50774890892,167411.03764863068,167726.89547977652,168018.95560082147,168288.96442549163,168538.54767822224,168769.2174995905,168982.37934974945,169179.33867150586,169361.3072858801,169529.4095021116,169684.68793145887,169828.1090000528,169960.5681607482,170082.89480757693,170195.85689921872,170300.16530002066,170396.47784863846,170485.40316545145
