,date,deaths,diff
0,2021-02-01,154392.0,0
1,2021-02-02,154392.0,0.0
2,2021-02-03,154428.93438828908,36.93438828908256
3,2021-02-04,154478.85103196342,49.916643674339866
4,2021-02-05,154532.14910291968,53.29807095625438
5,2021-02-06,154585.4351912849,53.28608836521744
6,2021-02-07,154637.89424852695,52.45905724205659
7,2021-02-08,154689.69717404162,51.80292551466846
8,2021-02-09,154741.32422773566,51.62705369404284
9,2021-02-10,154793.29513182753,51.97090409186785
10,2021-02-11,154846.07522402765,52.780092200118816
11,2021-02-12,154900.05425161173,53.97902758407872
12,2021-02-13,154955.5523935179,55.49814190616598
13,2021-02-14,155012.83431209094,57.28191857304773
14,2021-02-15,155072.1236818524,59.28936976144905
15,2021-02-16,155133.61565807142,61.49197621902567
16,2021-02-17,155197.48678943305,63.8711313616368
17,2021-02-18,155263.90262048875,66.41583105569589
18,2021-02-19,155333.0234273962,69.12080690744915
19,2021-02-20,155405.00851945928,71.98509206308518
20,2021-02-21,155480.0194620907,75.01094263143023
21,2021-02-22,155558.2224912448,78.20302915407228
22,2021-02-23,155639.7903151128,81.56782386801206
23,2021-02-24,155724.90344057174,85.1131254589418
24,2021-02-25,155813.7511184208,88.84767784905853
25,2021-02-26,155906.53197004815,92.78085162735078
26,2021-02-27,156003.45433599825,96.92236595010036
27,2021-02-28,156104.7363715871,101.28203558883979
28,2021-03-01,156210.60590443935,105.869532852259
29,2021-03-02,156321.30006230422,110.69415786486934
30,2021-03-03,156437.06467585475,115.7646135505347
31,2021-03-04,156558.1534597842,121.08878392944462
32,2021-03-05,156684.8269759692,126.67351618499379
33,2021-03-06,156817.35138447845,132.52440850925632
34,2021-03-07,156955.99699152203,138.64560704358155
35,2021-03-08,157101.03660781914,145.03961629711557
36,2021-03-09,157252.74373604995,151.70712823080248
37,2021-03-10,157411.3906117341,158.64687568414956
38,2021-03-11,157577.24612768472,165.85551595062134
39,2021-03-12,157750.5736777153,173.32755003057537
40,2021-03-13,157931.6289601095,181.055282394198
41,2021-03-14,158120.65778506792,189.0288249584264
42,2021-03-15,158317.8939325721,197.23614750418346
43,2021-03-16,158523.55710754596,205.663174973859
44,2021-03-17,158737.8510376874,214.29393014142988
45,2021-03-18,158960.96175585382,223.11071816642652
46,2021-03-19,159193.06382329806,232.10206744424067
47,2021-03-20,159434.4352649717,241.37144167363294
48,2021-03-21,159685.4798839395,251.04461896780413
49,2021-03-22,159946.78031242677,261.30042848727317
50,2021-03-23,160219.11483413653,272.3345217097667
51,2021-03-24,160503.43427817384,284.3194440373045
52,2021-03-25,160800.83807280744,297.40379463360296
53,2021-03-26,161112.55763383786,311.71956103041884
54,2021-03-27,161439.9514320664,327.3937982285279
55,2021-03-28,161784.5139121714,344.56248010499985
