,confirmed_death,confirmed_cases,date,state
338,0,1,2020-03-20,or
339,1,2,2020-03-20,pb
340,0,1,2020-03-20,py
341,0,7,2020-03-20,rj
342,0,16,2020-03-20,tg
343,0,3,2020-03-20,tn
344,0,19,2020-03-20,up
345,0,1,2020-03-20,ut
346,0,1,2020-03-20,wb
347,0,3,2020-03-20,ap
348,0,1,2020-03-20,ch
349,0,1,2020-03-20,ct
350,1,17,2020-03-20,dl
351,0,5,2020-03-20,gj
352,0,17,2020-03-20,hr
353,0,4,2020-03-20,jk
354,1,15,2020-03-20,ka
355,0,28,2020-03-20,kl
356,0,10,2020-03-20,la
357,1,52,2020-03-20,mh
358,0,2,2020-03-20,or
359,1,2,2020-03-20,pb
360,0,1,2020-03-20,py
361,0,17,2020-03-20,rj
362,0,17,2020-03-20,tg
363,0,3,2020-03-20,tn
364,0,23,2020-03-20,up
365,0,3,2020-03-20,ut
366,0,2,2020-03-20,wb
367,0,3,2020-03-21,ap
368,0,1,2020-03-21,ch
369,0,1,2020-03-21,ct
370,1,26,2020-03-21,dl
371,0,7,2020-03-21,gj
372,0,2,2020-03-21,hp
373,0,17,2020-03-21,hr
374,0,4,2020-03-21,jk
375,1,15,2020-03-21,ka
376,0,40,2020-03-21,kl
377,0,13,2020-03-21,la
378,1,52,2020-03-21,mh
379,0,4,2020-03-21,mp
380,0,2,2020-03-21,or
381,1,2,2020-03-21,pb
382,0,1,2020-03-21,py
383,0,17,2020-03-21,rj
384,0,19,2020-03-21,tg
385,0,3,2020-03-21,tn
386,0,24,2020-03-21,up
387,0,3,2020-03-21,ut
388,0,2,2020-03-21,wb
389,0,3,2020-03-21,ap
390,0,1,2020-03-21,ch
391,0,1,2020-03-21,ct
392,1,26,2020-03-21,dl
393,0,7,2020-03-21,gj
394,0,2,2020-03-21,hp
395,0,17,2020-03-21,hr
396,0,4,2020-03-21,jk
397,1,15,2020-03-21,ka
398,0,40,2020-03-21,kl
399,0,13,2020-03-21,la
400,1,63,2020-03-21,mh
401,0,4,2020-03-21,mp
402,0,2,2020-03-21,or
403,1,13,2020-03-21,pb
404,0,1,2020-03-21,py
405,0,17,2020-03-21,rj
406,0,21,2020-03-21,tg
