series,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-04,2020-07-05,2020-07-06,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-11,2020-07-12,2020-07-13,2020-07-14,2020-07-15,2020-07-16,2020-07-17,2020-07-18,2020-07-19,2020-07-20,2020-07-21,2020-07-22,2020-07-23,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-07-31,2020-08-01,2020-08-02,2020-08-03,2020-08-04,2020-08-05,2020-08-06,2020-08-07,2020-08-08,2020-08-09,2020-08-10,2020-08-11,2020-08-12,2020-08-13,2020-08-14,2020-08-15,2020-08-16,2020-08-17,2020-08-18,2020-08-19,2020-08-20,2020-08-21,2020-08-22,2020-08-23,2020-08-24,2020-08-25,2020-08-26,2020-08-27,2020-08-28,2020-08-29,2020-08-30,2020-08-31
S,53555.45735127658,53545.07611638854,53538.35932522011,53532.47770296578,53526.41285050861,53519.75142500678,53512.27805875579,53503.83617626838,53494.2796940709,53483.45568924745,53471.19766592592,53457.322503628195,53441.62876845256,53423.89564747483,53403.88231653352,53381.32774906778,53355.951049065734,53327.45242162785,53295.514904765114,53259.80698230911,53219.98618053727,53175.703718940706,53126.61023737026,53072.362557878245,53012.631362409586,52947.10958223123,52875.52120943307,52797.63016487479,52713.24880131829,52622.2455949949,52524.551590483694,52420.16521497878,52309.15516581023,52191.661191150335,52067.89271580261,51938.12539745366,51802.695819797205,51661.99462613831,51516.45846314709,51366.56113667839,51212.80438161965,51055.708620491416,50895.804037912225,50733.62223764476,50569.688682957305,50404.516055526474,50238.598607633176,50072.40752994838,49906.38731432739,49740.953058125386,49576.48863315785,49413.34562754646,49251.842961005525,49092.2670722254,48934.872579525094,48779.88332163075,48627.49369321766,48477.870198850425,48331.15315847428,48187.45850712928,48046.879640703104,47909.48926805722,47775.34123760406,47644.4723133024,47516.90388105726,47392.64357167837,47271.68679091818,47154.018150739685,48001.036685032945,48847.599200775156,49694.52704297412,50541.57119453126,51388.51457769296,52235.16140981032,53081.330910613244,53926.853373213045,54771.56754489878,55615.31875673771,56457.95750105198,57299.33829311388,58139.318726042555,58977.75866655634,59814.51956006146,60649.46382500127,61482.45432288139,62313.3538942426,63142.02495328736,63968.32913551193,64792.126993888574,65613.27774005833,66431.63902773066,67247.06677609404,68059.41503155182,68868.53586652836,69674.27931445239,70476.49334032524,71275.02384652584,72069.71471369543,72860.40787668506,73646.94343564048,74429.15980234214,75206.8938819147,75979.98128997137,76748.25660516444,77511.55365697575,78269.7058484018,79022.54651296874,79769.90930525627,80511.6286238193,81247.54006507572,81977.48090638351,82701.29061616553,83418.8113885619,84129.88869970565,84834.37188233418,85532.11471507535,86222.9760223925,86140.66848009879,85860.01630251817,85577.2716075623,85292.63105090133,85006.46465524529,84719.21139050685,84431.33132488807,84143.28315286647,83855.51324688035,83568.45005004345,83282.50103493792,82998.05097295514,82715.46093809824,82435.0677736094,82157.18388636282,81882.09729529366,81610.07188777847,81341.34785054189,81076.14224774893,80814.64972222911,80557.04329794018,80303.47526353766,80054.07811856561,79808.96556542558,79568.23353193242,79331.96121091479,79100.21210493932,78873.0350658055,78650.46531995205,78432.52547231763,78219.22648249753,78010.5686082271,77806.54231229733,77607.1291299695,77412.30249480638,77222.02852158126,77036.26674556914,76854.97081807425,76678.08915851124,76505.56556374217,76337.33977568561,76173.3480084655,76013.52343656243,75857.79664557705,75706.09604731933,75558.34826100583,75414.47846238388,75274.41070261312,75138.06819872445,75005.37359744837,74876.24921416296,74750.61724865793,74628.39997934992
E,0.0,10.381234888037403,15.02177907885803,17.89904551742143,20.38408887110487,22.968696598712096,25.848323529956765,29.120541311383334,32.852915246580345,37.10633702071616,41.94309293809804,47.42963664820615,53.63744449419849,60.64307657309074,68.5277921997795,77.37680122556654,87.27814098249726,98.32114022388305,110.59442904184212,124.18346568948112,139.16757432341774,155.61652105529808,173.58669841468253,193.1170382237629,214.22482604767288,236.90164101649705,261.10968561135655,286.77879304736666,313.80439799439887,342.04672471890893,371.3313842863324,401.45148293398,432.171235515729,463.2309630724818,494.3532458057113,525.2499149935246,555.6295096512721,585.204801379914,613.7000040951436,640.8573297448125,666.4426188545941,690.2498562119141,712.1044675487228,731.8653743064374,749.4258541326085,764.7133107369148,777.6880964828308,788.3415548710601,796.6934595178394,802.7890238162747,806.6956440205521,808.4995208278303,808.3022832032004,806.217715342687,802.3686649744542,796.8841898739137,789.896980312219,781.5410786170097,771.949903269759,761.2545739608033,749.5825255948203,737.0563931217341,723.7931449505539,709.9034402621003,695.4911844548222,680.6532569427472,665.4793863143811,650.0521492300003,634.4470711924257,622.419027313417,612.4312657534555,604.3247471473125,597.9403006578367,593.1292945105922,589.7578209072335,587.7076802276703,586.875858598085,587.1733611412249,588.5238307003967,590.862158600106,594.1331800530938,598.2904896303736,603.295384300867,609.115928602571,615.7261311036233,623.1052196233769,631.2370027556328,640.1093060816175,649.7134725903314,660.0439180041939,671.0977328327116,682.8743240044818,695.375089847499,708.6031230031505,722.5629365801838,737.2602094929895,752.7015474954744,768.8942569284844,785.8461286548555,803.5652300701547,822.0597034561551,841.3375692940612,861.4065334802692,882.2737976928381,903.9458724446458,926.4283926313544,949.7259356398481,973.8418423260457,998.7780413994954,1024.5348779648702,1051.1109471658006,1078.5029340523233,1106.7054609471895,1135.7109437156832,1165.5094584457206,1196.088620117092,1227.433474878226,1259.5264075535852,1288.2733036234927,1313.3633378546642,1335.3312269447044,1354.431377211801,1370.7983665078796,1384.518758825092,1395.6631790816848,1404.3004492514672,1410.5035562380751,1414.3518600959965,1415.9315500595646,1415.3352749045507,1412.6613844124904,1408.0129947765586,1401.4969868904168,1393.2229970275278,1383.3024348585993,1371.8475506798463,1358.9705660636998,1344.782877139879,1329.394336114427,1312.9126138635995,1295.4426442309164,1277.0861488778962,1257.9412401199463,1238.1020980714327,1217.6587175909722,1196.6967199262176,1175.2972235753987,1153.5367686804275,1131.487289214769,1109.2161273015838,1086.7860841691015,1064.2555024983944,1041.678375223833,1019.1044761911912,996.5795084478418,974.1452663212754,951.8398078260934,929.6976343174307,907.7498746740514,886.0244716423043,864.5463682992317,843.3376928971085,822.4179406311887,801.8041511269048,781.5110806722851,761.5513684265122,741.9356960172884,722.6729400992423,703.7703175844266,685.2335233755491
I,14.0,9.093301983946077,7.774918063506566,7.7538972236160495,8.25815169362313,9.032983652466797,10.001483114048806,11.148877252776733,12.483133696152285,14.021589344747728,15.786465392776888,17.803406519974374,20.101031155897214,22.71079332961873,25.666903928957147,29.00621034017027,32.76798350867537,36.99357748037452,41.725931775695564,47.00888995595524,52.88631184550593,59.40096369452448,66.59318100507711,74.49931321112486,83.14997778208746,92.56817282650456,102.76732035536357,113.74933470091915,125.50282924198419,138.00158636306185,151.20341752532764,165.04953035457476,179.46449705830378,194.35688433198544,209.62056205944828,225.13666087724755,240.77610219983947,256.40258372441497,271.8758730533933,287.0552447245183,301.8028926651798,315.987160153323,329.4854505698373,342.1867113979179,353.993417491921,364.82301414266504,374.6088129535507,383.30036179792444,390.8633327613848,397.278988373988,402.54329665559203,406.6657700738772,409.6681033072771,411.58268073111105,412.45101785097347,412.3221924743186,411.25131209528433,409.2980544688049,406.5253092029513,402.99793978137734,398.78167798010037,393.94215628833854,388.5440787145368,382.6505262214853,376.3223899077382,369.6179228269655,362.59239988858553,355.2978744844918,347.7830202143753,336.89103814559917,327.75169448395775,320.10184170041543,313.7443554894121,308.52436351814123,304.3159450425303,301.01436776081556,298.5312941134905,296.79161776914424,295.7312279650284,295.2953293518731,295.4371161028114,296.1166880991565,297.30014373287577,298.9588087618531,301.0685742654198,303.60932449056986,306.56444003329875,309.9203647925143,313.66622720261495,317.7935077788206,322.2957462001911,327.16828212025024,332.4080246979896,338.01324652164794,343.98339817960516,350.3189402351228,357.0211897981981,364.0921792693705,371.5345251658466,379.3513052372551,387.54594234299583,396.12209380083107,405.0835451315464,414.4341073209368,424.17751690111544,434.31733832067914,444.856868229528,455.7990414505515,467.14633854792726,478.90069503097453,491.0634123535207,503.63507098138035,516.6154459043291,530.0034250631177,543.7969312456601,557.9928480784369,572.5869507981687,587.5738425337222,602.9468968578117,617.96493015838,632.0974031630393,645.100852805086,656.8651792517226,667.3441079796123,676.5235902518,684.4073429413841,691.0101339719735,696.3545571041643,700.4693642638332,703.3884797927183,705.1503027237054,705.7971234810464,705.3745821580153,703.931141336146,701.5175668459383,698.186418533468,693.9915562918707,688.987667283188,683.2298198021796,676.7730482822087,669.6719728353287,661.9804556116928,653.7512952345801,645.0359596531237,635.8843569701099,626.3446431498115,616.4630649865562,606.2838363102769,595.8490451098701,585.1985890567371,574.3701367968293,563.3991123373434,552.3186998718932,541.1598664542203,529.9514000349616,518.7199605093847,507.4901415781342,496.2845413908334,485.1238401178333,474.0268827734986,463.0107657910827,452.0909260212494,441.28123099114765,430.59406941681414,420.0404411072877,409.63004553336606,399.37136845702,389.2717661290024,379.33754666232466,369.57404827837615
A,0.0,0.0,0.2076246977607481,0.49530398815208515,0.8228538275994575,1.179980140563643,1.5668570602418623,1.9875571178247546,2.4478540644568207,2.954518222818278,3.5151217862186517,4.1380174447055955,4.832373778888737,5.608225586166105,6.476522336152072,7.449165958323995,8.539031334397324,9.759963070552745,11.126741746785498,12.655012438217813,14.361168164446925,16.262181254520037,18.375376593737307,20.718142491243018,23.30757756916924,26.160075635627162,29.29085485920163,32.7134424663004,36.43913124593487,40.47642886081667,44.83052475516551,49.50280175931212,54.49041986837179,59.78599786210876,65.37741443722429,71.24774461738474,77.3753399084867,83.7340526624605,90.29359715331299,97.02003266353672,103.87634800443479,110.82312273490949,117.81923806918937,124.82261004062387,131.79091871579453,138.6823098162423,145.4560486302513,152.07311020066197,158.4966941016977,164.69265636789135,170.62985507887936,176.28040957343384,181.6198761692348,186.6273455630629,191.2854687860642,195.58041973036893,199.50180290834618,203.04251532802422,206.1985712459867,208.96889816925403,211.35511189174264,213.36127763240916,214.99366354548934,216.26049204314253,217.1716935428835,217.73866645348645,217.97404646311733,217.8914875053921,217.5054561606466,216.8310407044393,215.95749990328537,214.93787350148386,213.81876173763015,212.6407183531277,211.43883286527205,210.24336076422128,209.08033467522478,207.972127522906,206.93795776019948,205.994335930916,205.1554560110828,204.4335366147333,203.83911754569382,203.38131699026428,203.06805421161482,202.90624209124272,202.90195334526138,203.06056375896162,203.3868753454185,203.88522194574122,204.5595594478432,205.4135425033183,206.45058936353502,207.67393623186055,209.08668233480853,210.69182674713176,212.49229786117718,214.49097626634529,216.69071169780267,219.09433462258067,221.70466295404847,224.52450432092388,227.55665426314255,230.80389068288662,234.2689648438671,237.95458918466616,241.86342219177675,245.99805056419927,250.36096889338694,254.95455707933047,259.7810557050101,264.84253959669746,270.14088980604015,275.67776426087,281.4545673445979,287.47241867822777,293.73212139376307,300.234130202404,306.9785195747567,313.88347711562085,320.8660004116083,327.85888098350273,334.8041277123061,341.6500039628596,348.3496830362895,354.8606277260695,361.1442907162396,367.1659527443978,372.89461487224526,378.3029064955208,383.3669916129618,388.06646568330905,392.384240127451,396.3064138924379,399.822132720084,402.92343742234084,405.60510282307143,407.864469208125,409.7012681966016,411.11744494082456,412.1169785020786,412.70570214825625,412.891125189284,412.6822578155521,412.0894402410284,411.1241772825857,409.7989793355346,408.1272105367205,406.1229447442173,403.8008298092683,401.17596047361025,398.2637600949893,395.07987128631976,391.6400554498922,387.9601010972798,384.055740767798,379.9425762929967,375.6360121009804,371.15119621152445,366.5029685400654,361.70581610473056,356.7738347146731,351.72069670913544,346.5596243139528,341.3033681847554,335.9641907131073,330.5538536824731,325.0836098745398,319.5641982424067,314.00584228494154
IH,3.0,3.5562954813443954,3.0867447753572943,2.6614699288358303,2.452814299334646,2.427871496278495,2.5324146513782395,2.7286680937553145,2.9961556595603334,3.3261822397966845,3.7171551947180244,4.1716487725563045,4.694765819019302,5.293278481182345,5.975192207693684,6.749523225254476,7.626172903812176,8.615835007159628,9.729899644816179,10.980331979684866,12.379511078631229,13.940018453801843,15.674368879407316,17.594679106785264,19.712273745688137,22.037232106700344,24.577885223439772,27.340278367448697,30.327620674540334,33.539749355552175,36.97264056528752,40.61800152007269,44.462978169693095,48.49000919217307,52.67685023148208,56.99678254035322,61.41900836752911,65.90922272276043,70.43033890724945,74.9433347084882,79.40817847978113,83.78479012185585,88.03399146781109,92.11840351376942,96.00325374829384,99.65706469246288,103.05220375205366,106.16528371568384,108.97741194577864,111.47429392516977,113.64620297018493,115.48783242945137,116.99804955470864,118.1795715840983,119.03858463474,119.58432502129008,119.82864087458643,119.78554969062293,119.47080492647206,118.90148216874914,118.09559288164581,117.0717314038792,115.848758778123,114.44552520184867,112.88063139877362,111.17222801977653,109.33785127206895,107.39429231773121,105.35749754476726,107.06438181532863,106.15989951745034,104.25811363271319,102.1064136633797,100.03885703426275,98.19409461617968,96.61983045630993,95.3226715660574,94.29174310701796,93.50973300341073,92.95793666907201,92.61845600007464,92.47506313863818,92.51344985588148,92.72120465446866,93.08767842939696,93.6038130462122,94.26196613700344,95.05574607649424,95.97986212058792,97.02999062811475,98.20265654406302,99.4951286605272,100.90532700190376,102.43174072607046,104.07335506392036,105.82958597644031,107.70022136544625,109.68536782054402,111.78540201744445,114.00092600117443,116.33272569305521,118.7817320540976,121.34898442128159,124.03559560854416,126.84271843252074,129.77151338531337,132.8231172337468,135.99861237749616,139.29899684773298,142.72515487399392,146.27782799013107,149.95758669063497,153.76480268638272,157.69962184390462,161.76193792443678,165.95136726811188,170.26722459434615,174.70850011147797,179.27383814664208,183.9615175203591,188.65234027424657,193.203289401525,197.50554027289473,201.48828731361368,205.10951137780273,208.3464182501233,211.1884532040001,213.63281232604606,215.68173216309685,217.34089783269454,218.61850704770677,219.52470093053563,220.07119248975994,220.27099840936447,220.13822368844689,219.68787339731637,218.93567929354654,217.8979361433521,216.59134617346152,215.03287175380655,213.23959707869437,211.2285997635882,209.01683317094626,206.62102006357628,204.05755793282543,201.34243610079295,198.4911644702146,195.51871360164492,192.43946563808328,189.26717547201872,186.01494145695716,182.69518490184265,179.31963754891737,175.89933621986845,172.44462381801034,168.96515589234906,165.46991199952777,161.9672111390123,158.46473058292162,154.96952747244353,151.48806260593318,148.02622589799967,144.58936304286442,141.1823029680004,137.80938571473655,134.47449043054874,131.18106320273785,127.93214450484818,124.73039606536055,121.57812700285706
IN,2.8000000000000003,5.431782716445349,6.9241146370133,8.063114051407693,9.12948094515978,10.232633967863432,11.424478594898563,12.738419947971861,14.202901684089277,15.846252159072849,17.698565209193372,19.792570944068263,22.16416206278675,24.85279860308511,27.901860744101068,31.35896466543077,35.27623535807016,39.71052045767341,44.72352313948716,50.38182750408409,56.75678615125513,63.92423695262189,71.96401487242896,80.95922568218492,90.99525224478664,102.1584713194226,114.53466997849173,128.20716581506076,143.25465376751237,159.7488236468617,177.7518147891433,197.31359564037342,218.46937418735106,241.23715764698295,265.6155847448727,291.58214996549,319.0919259980039,348.0768689395411,378.44576234113197,410.08482333974126,442.8589597813591,476.61363431001695,511.17726245898837,546.3640488209008,581.9771496274227,617.8120419825199,653.6599792933201,689.3114182822046,724.5593141037051,759.202195087144,793.0469460025531,825.911247123721,857.6256345497869,888.0351643002426,917.0006779323237,944.3996804098223,970.1268514659643,994.0942197217958,1016.2310344587778,1036.4833734134436,1054.813526539301,1071.1991956741986,1085.6325487739232,1098.11916512638,1108.6769050217981,1117.3347339667225,1124.1315279002797,1129.1148821703096,1132.339943388701,1133.8682798111208,1133.1264010335935,1130.6012238211247,1126.6977826416528,1121.7573536027396,1116.0697352954724,1109.8821317579202,1103.405949142168,1096.8222253138886,1090.2861005517639,1083.930572526123,1077.8696896564325,1072.2012874413163,1067.009343633584,1062.3660104824903,1058.333370654805,1054.9649552554645,1052.3070562184255,1050.3998604884941,1049.2784294550117,1048.9735437900301,1049.5124310397032,1050.9193909203354,1053.2163312102687,1056.4232253528712,1060.5585013525927,1065.6393702212547,1071.6821010870262,1078.7022490898798,1086.7148413343996,1095.734525436213,1105.7756845672625,1116.852522364901,1128.9791206095729,1142.1694721862889,1156.4374915182523,1171.79700438992,1188.2617188555023,1205.8451787521747,1224.560701200441,1244.4212993729845,1265.4395917441534,1287.6276989913904,1310.9971297040745,1335.558656061096,1361.3221806628273,1388.2965957427468,1416.489636035572,1445.9077266390555,1476.555827272263,1508.4372744007787,1541.4069673209258,1575.2224147767697,1609.6070011920203,1644.2787094241257,1678.9632103393076,1713.3998460927123,1747.3443619121772,1780.5701308510713,1812.8686599182197,1844.0497322664137,1873.941343688694,1902.3895033848403,1929.2579300373782,1954.4276578021395,1977.7965605338134,1999.278800747026,2018.8042098358392,2036.317606734471,2051.7780629556155,2065.1581225562595,2076.4429859672596,2085.6296667644965,2092.7261303710793,2097.7504233912596,2100.729801822421,2101.6998658075613,2100.703707911337,2097.7910811593524,2093.0175923007646,2086.443924962406,2078.1350965786532,2068.1597522215748,2056.58949773341,2043.498273887882,2028.961772685141,2013.0568963216606,1995.861258873471,1977.4527302892186,1957.9090219077493,1937.3073123911497,1915.723912695492,1893.2339684843073,1869.9111982200493,1845.8276650422076,1821.0535804529188,1795.6571377774974,1769.7043733440096,1743.2590533287296,1716.3825842391689,1689.1339450497676
D,0.01,0.06040253470952691,0.12015130352145845,0.17201122374792407,0.21672616723676075,0.2579355198561736,0.2987258123099895,0.34127251809832493,0.3871164475337519,0.43745439407579695,0.4933370660063184,0.5557884139138095,0.625875637932051,0.7047516703141247,0.7936832211057864,0.8940714986539116,1.007469191531794,1.135595339693543,1.280348647360183,1.4438191822162034,1.6282980367922684,1.8362842824014962,2.070488370391227,2.3338310108893126,2.6294364856835566,2.960619339573804,3.3308634582937593,3.743792695980823,4.203132472441977,4.712662123677272,5.276158250691289,5.897329850489545,6.579746594305238,7.326762194467536,8.141435318258797,9.026450908985739,9.984045012426243,11.015936246115947,12.123266874769904,13.306556075228698,14.565667418192788,15.89979190887528,17.3074471729577,18.786492609815884,20.334159619978873,21.947095396404173,23.621418283807984,25.35278237597669,27.136448841785533,28.96736143783604,30.84022376076383,32.74957599070073,34.689869151551875,36.65553523609459,38.641051889002775,40.64100068694459,42.650118384478226,44.663340794770484,46.675839236764276,48.683049700791486,50.680695061466345,52.66480080121945,54.63170480308226,56.57806183153891,58.50084335031765,60.39733333102099,62.26512069152173,64.10208897279024,65.90640382150676,67.05662161909953,68.22547395825016,69.38445180663487,70.52266731704827,71.63739210627446,72.72954479111547,73.8015576794061,74.85638387764627,75.8970486229605,76.92645842876624,77.94733080762062,78.96217906878813,79.97332112283685,80.98289771619112,81.99289338826682,83.00515717862967,84.02142186753413,85.04332134500181,86.07240606714795,87.11015671089484,88.15799619260511,89.21730022621976,90.2894065875148,91.37562323489193,92.47723541906699,93.59551189646217,94.73171034497646,95.88708206638863,97.06287604694118,98.2603424365457,99.48073549738974,100.72531606435786,101.99535355246138,103.2921275402781,104.61692895312353,105.97106086521974,107.35583893641625,108.77259149598527,110.22265928360609,111.70739485582342,113.22816166497245,114.78633281677394,116.38328951248485,118.02041918161295,119.69911331173945,121.42076498291203,123.18676611533951,124.99850444070672,126.85736020929525,128.76470264720362,130.72188618026368,132.73024644370088,134.78981775469148,136.89907307302965,139.05529728904742,141.25500228845792,143.49424122199525,145.76881838945476,148.0744228616767,150.4067130983806,152.7613719763045,155.13414443823333,157.5208649237174,159.9174785858276,162.32005845188442,164.72481965605337,167.12813132079106,169.52652638317883,171.91670952837453,174.29556333613814,176.66015272919427,179.00772781328942,181.33572520718354,183.64176797082686,185.9236642488544,188.17940475306403,190.40715921133526,192.60527191152931,194.77225646753155,196.90678993109924,199.00770636793956,201.07399000983727,203.1047680870316,205.09930343672812,207.0569869749026,208.97733010965558,210.85995716550784,212.70459787935772,214.5110800204801,216.27932217903555,218.00932676015017,219.70117321376975,221.35501152421514,222.97105597768197,224.5495792208317,226.09090661910184,227.59541091939678,229.0635072183784,230.4956482346247,231.89231988042914,233.25403712693276
R,0.0,1.6682172835546512,3.7726935004481135,5.744806377619504,7.590384963909597,9.415824894055806,11.317009757949304,13.365838766391128,15.617580407302317,18.11932864789952,20.91594776364083,24.053778904955347,27.582929875290866,31.558779558288204,36.043080105263016,41.10486529539526,46.82126893185516,53.27829806938759,60.57157251547346,68.80702221782826,78.10152113925122,88.5834266426965,100.39298577058393,113.68256367233501,128.61664499189993,145.37155680102106,164.1348623573585,185.10437930871043,208.48678456147988,234.49578121280373,263.3498206209399,295.2693942389991,330.47393407259267,369.1783858260457,411.5895428769737,457.90224991994097,508.2956003418217,562.9292594630685,621.9400457044867,685.43889334186,753.5083044533881,826.2003753442739,903.5354560768534,985.5014729423539,1072.0539149832584,1163.1164589828968,1258.5821842475902,1358.3153100846887,1462.1533756770004,1569.909774142891,1681.3765496302017,1796.3273677111013,1914.5205743352922,2035.702266293882,2159.609305683925,2285.9722214491753,2414.517952018043,2544.972393805128,2677.062730461596,2810.5195269528845,2945.0785806244044,3080.48252829758,3216.482214106817,3352.837827287687,3489.3198225429915,3625.709638057495,3761.800227828443,3897.3964258561778,4032.3151600228957,4166.38553329579,4301.359731957524,4435.78344954238,4569.041922585092,4700.921278951237,4831.397669857331,4960.536138230674,5088.442289320294,5215.23933207858,5341.057288933574,5466.028027497217,5590.283067663654,5713.952704096781,5837.165745955311,5960.0495410223675,6082.7301262803585,6205.332430489926,6327.980494086634,6450.79769053314,6573.906942098548,6697.43092711583,6821.49227759396,6946.213766826577,7071.7184869108305,7198.130016137402,7325.572576162161,7454.17117878066,7584.051762025947,7715.3413152101975,7848.167992436936,7982.661214025334,8118.951755212258,8257.171821431994,8397.455109418199,8539.936853328294,8684.753855057666,8832.044497890576,8981.948742627303,9134.608105333784,9290.16561588171,9448.765756484665,9610.554379490306,9775.678603760467,9944.28668906108,10116.52788799223,10292.55227511566,10472.510553082377,10656.553835726101,10844.833408268349,11037.500464976343,11234.705824824317,11436.594620157131,11643.238567438018,11854.61917709998,12070.64336593427,12291.162526374888,12515.987683252599,12744.900191141332,12977.659084695437,13214.006248286218,13453.670254250255,13696.369408083516,13941.814316073865,14189.710150034194,14439.758700918737,14691.66026677188,14945.115395766994,15199.826492696398,15455.499291639135,15711.844195500626,15968.577482925213,16225.422383763576,16482.110025311194,16738.380252645275,16993.982327433616,17248.67551050082,17502.229534186376,17754.424971108536,18005.05350636326,18253.91812045084,18500.833190349458,18745.624516162257,18988.12928066918,19228.195948934375,19465.684114869644,19700.4643013496,19932.417720127516,20161.435997424986,20387.420870673166,20610.283861478114,20829.94592947468,21046.33711132944,21259.396148757853,21469.07010903884,21675.31400114415,21878.09039025254,22077.36901309188,22273.12639624648,22465.345479282812,22654.015244284717,22839.13035314842
G,14.0,23.343111399233663,29.38822345081896,34.68168347972047,40.140050691171425,46.1353336428168,52.86136326870518,60.45905750738132,69.05989148510763,78.80149582621432,89.83371681558693,102.32136288354187,116.44572454161208,132.40553342157082,150.41753126874704,170.7166419879157,193.55567198975533,219.20443668385204,247.94820186031416,280.0853320707208,315.92405366537037,355.7782691022779,399.9624025156775,448.7853140584927,502.54338998028896,561.5129921408118,625.9425276591548,696.0444677616081,771.987694962463,853.8905806535139,941.8151847135987,1035.7629226680212,1135.6719669197118,1241.4165441136206,1352.8081719265738,1469.598758440634,1591.485378331441,1718.116452624448,1849.098999316539,1984.006593138367,2122.3876726912367,2263.7738577066516,2407.687982027924,2553.6516022686374,2701.19180148735,2849.847166175095,2999.1728692790643,3148.7448391953803,3298.1630332542727,3447.0538638360754,3595.0718463068542,3741.900551357104,3887.252951243947,4030.871251146061,4172.526294576335,4312.01662668125,4449.16729225303,4583.828437183541,4715.873773522077,4845.198959732573,4971.719939516132,5095.371274897422,5216.104502305272,5333.886534176763,5448.698123197391,5560.532401638392,5669.393504322557,5775.295280483203,5878.260097110786,5981.635330434315,6084.681769946765,6187.623531036858,6290.655983682846,6393.955332268737,6497.68427903762,6601.995560189315,6707.034303163669,6812.939710000151,6919.846337608826,7027.885122244636,7137.1842301003435,7247.869781129452,7360.066474466364,7473.898133512053,7589.488182911463,7706.960066177893,7826.437610529131,7948.045344018531,8071.908768971065,8198.154594909802,8326.910933496223,8458.307457460705,8592.475525040227,8729.548271052863,8869.66066541276,9012.94953961872,9159.553581529693,9309.613298568587,9463.27094936945,9620.670443801093,9781.95721126112,9947.278037137343,10116.780867377862,10290.614581195623,10468.92873205696,10651.873257265033,10839.598156646322,11032.253141079073,11229.987251863866,11432.948452224613,11641.283192539127,11855.135951226843,12074.64875356164,12299.960671023779,12531.207304149635,12768.5202521741,13012.026573080197,13261.8482379661,13514.435197788662,13768.905423248945,14025.081924243821,14282.631680334254,14541.15961859885,14800.251677655759,15059.495032475208,15318.487947862715,15576.844825015927,15834.19893861091,16090.203994395402,16344.535025766612,16596.888873806576,16846.984372328487,17094.56230429074,17339.385171054415,17581.236804567336,17819.921847081005,18055.265120048844,18287.11090190887,18515.32213287114,18739.779563345994,18960.380861172027,19177.039691315873,19389.68478023174,19598.258975609668,19802.71831083011,20003.031082098205,20199.176944969186,20391.146035807284,20578.938122650667,20762.56178898746,20942.03365308251,21117.377624729314,21288.62420063192,21455.809799042832,21618.976133788234,21778.169627394935,21933.4408626871,22084.844071938,22232.4366624361,22376.278777148855,22516.432889035703,22652.963427467654,22785.936435149804,22915.419253909564,23041.48023770325,23164.188491203065,23283.613632351535,23399.825577308406,23512.894346262936,23622.889888640144
