series,2021-02-01,2021-02-02,2021-02-03,2021-02-04,2021-02-05,2021-02-06,2021-02-07,2021-02-08,2021-02-09,2021-02-10,2021-02-11,2021-02-12,2021-02-13,2021-02-14,2021-02-15,2021-02-16,2021-02-17,2021-02-18,2021-02-19,2021-02-20,2021-02-21,2021-02-22,2021-02-23,2021-02-24,2021-02-25,2021-02-26,2021-02-27,2021-02-28,2021-03-01,2021-03-02,2021-03-03,2021-03-04,2021-03-05,2021-03-06,2021-03-07,2021-03-08,2021-03-09,2021-03-10,2021-03-11,2021-03-12,2021-03-13,2021-03-14,2021-03-15,2021-03-16,2021-03-17,2021-03-18,2021-03-19,2021-03-20,2021-03-21,2021-03-22,2021-03-23,2021-03-24,2021-03-25,2021-03-26,2021-03-27,2021-03-28,2021-03-29,2021-03-30,2021-03-31,2021-04-01,2021-04-02,2021-04-03,2021-04-04,2021-04-05,2021-04-06,2021-04-07,2021-04-08,2021-04-09,2021-04-10,2021-04-11,2021-04-12,2021-04-13,2021-04-14,2021-04-15,2021-04-16,2021-04-17,2021-04-18,2021-04-19,2021-04-20,2021-04-21,2021-04-22,2021-04-23,2021-04-24,2021-04-25,2021-04-26,2021-04-27,2021-04-28,2021-04-29,2021-04-30,2021-05-01,2021-05-02,2021-05-03,2021-05-04,2021-05-05,2021-05-06,2021-05-07,2021-05-08,2021-05-09,2021-05-10,2021-05-11,2021-05-12,2021-05-13,2021-05-14,2021-05-15,2021-05-16,2021-05-17,2021-05-18,2021-05-19,2021-05-20,2021-05-21,2021-05-22,2021-05-23,2021-05-24,2021-05-25,2021-05-26,2021-05-27,2021-05-28,2021-05-29,2021-05-30,2021-05-31,2021-06-01,2021-06-02,2021-06-03,2021-06-04,2021-06-05,2021-06-06,2021-06-07,2021-06-08,2021-06-09,2021-06-10,2021-06-11,2021-06-12,2021-06-13,2021-06-14,2021-06-15,2021-06-16,2021-06-17,2021-06-18,2021-06-19,2021-06-20,2021-06-21,2021-06-22,2021-06-23,2021-06-24,2021-06-25,2021-06-26,2021-06-27,2021-06-28,2021-06-29,2021-06-30,2021-07-01,2021-07-02,2021-07-03,2021-07-04,2021-07-05,2021-07-06,2021-07-07,2021-07-08,2021-07-09,2021-07-10,2021-07-11,2021-07-12,2021-07-13,2021-07-14,2021-07-15,2021-07-16,2021-07-17,2021-07-18,2021-07-19,2021-07-20,2021-07-21,2021-07-22,2021-07-23,2021-07-24,2021-07-25,2021-07-26,2021-07-27,2021-07-28,2021-07-29,2021-07-30,2021-07-31,2021-08-01,2021-08-02,2021-08-03,2021-08-04,2021-08-05,2021-08-06,2021-08-07,2021-08-08,2021-08-09,2021-08-10,2021-08-11,2021-08-12,2021-08-13,2021-08-14,2021-08-15,2021-08-16,2021-08-17,2021-08-18,2021-08-19,2021-08-20,2021-08-21,2021-08-22,2021-08-23,2021-08-24,2021-08-25,2021-08-26,2021-08-27,2021-08-28,2021-08-29,2021-08-30,2021-08-31,2021-09-01,2021-09-02,2021-09-03,2021-09-04,2021-09-05,2021-09-06,2021-09-07,2021-09-08,2021-09-09,2021-09-10,2021-09-11,2021-09-12,2021-09-13,2021-09-14,2021-09-15,2021-09-16,2021-09-17,2021-09-18,2021-09-19,2021-09-20,2021-09-21,2021-09-22,2021-09-23,2021-09-24,2021-09-25,2021-09-26,2021-09-27,2021-09-28,2021-09-29,2021-09-30,2021-10-01,2021-10-02,2021-10-03,2021-10-04,2021-10-05,2021-10-06,2021-10-07,2021-10-08,2021-10-09,2021-10-10,2021-10-11,2021-10-12,2021-10-13,2021-10-14,2021-10-15,2021-10-16,2021-10-17,2021-10-18,2021-10-19,2021-10-20,2021-10-21,2021-10-22,2021-10-23,2021-10-24,2021-10-25,2021-10-26,2021-10-27,2021-10-28,2021-10-29,2021-10-30,2021-10-31,2021-11-01,2021-11-02,2021-11-03,2021-11-04,2021-11-05,2021-11-06,2021-11-07,2021-11-08,2021-11-09,2021-11-10,2021-11-11,2021-11-12,2021-11-13,2021-11-14,2021-11-15,2021-11-16,2021-11-17,2021-11-18,2021-11-19,2021-11-20,2021-11-21,2021-11-22,2021-11-23,2021-11-24,2021-11-25,2021-11-26,2021-11-27,2021-11-28,2021-11-29,2021-11-30,2021-12-01,2021-12-02,2021-12-03,2021-12-04,2021-12-05,2021-12-06
S,2170554.3898562696,2167734.707318882,2165228.7301979433,2162941.0617378526,2160806.609089278,2158780.8580809827,2156833.3346499247,2154943.1754325177,2153096.1109985407,2151282.403251817,2149495.4312258735,2147730.719411034,2145985.269069463,2144257.0974850906,2142544.9201700618,2140847.931491742,2139165.65313528,2137497.829365663,2135844.3546034675,2134205.223329302,2132580.495428557,2130970.2722208234,2129374.67988855,2127793.8580337386,2126227.951791633,2124677.106413982,2123141.4635687172,2121621.1588340285,2120116.32002476,2118627.0660997555,2117153.506475478,2115695.7406243715,2114253.857873289,2112827.937342886,2111418.0479866373,2110024.248700475,2108646.5884826314,2107285.1066292515,2105939.832955502,2104610.788034823,2103297.983451005,2102001.4220592054,2100721.098253023,2099456.998235476,2534289.3906999594,2968850.337195268,3403145.651324203,3837172.8981632027,4270919.740108209,4704363.130180495,5137468.794311442,5570190.624717738,6002469.736230233,6434233.0210513715,6865391.082678281,7295835.445379511,7725434.929685543,8154031.063404893,8581432.366723964,9007407.312849335,9404762.681168394,9390947.01301305,9375448.34720048,9357975.231999842,9338249.077095266,9315990.307344293,9290911.805518936,9262716.773268128,9231099.504832339,9195748.286839603,9156349.997939626,9112596.139153665,9064190.065302856,9010855.159894606,8952343.63311341,8888445.549525436,8818997.628883466,8743891.326586517,8663079.701997276,8576582.629050221,8484489.993417025,8386962.645908686,8284231.029110195,8176591.54667731,8064400.885446635,7948068.615483879,7828048.473149924,7704828.773475977,7578922.40206633,7450856.808836666,7321164.373996835,7190373.4494821755,7059000.304771736,6927542.131669493,6796471.193433226,6666230.143117992,6537228.4860630585,6409840.122696943,6284401.879904955,6161212.921094438,6040534.915433713,5922592.844006625,5807576.323292205,5695641.333029222,5586912.244903953,5481484.059545356,5379424.771162783,5280777.791145069,5185564.373555027,5093785.996347308,5005426.662081183,4920455.090764097,4838826.785195615,4760485.955791936,4685367.297407593,4613397.615210356,4544497.300301934,4478581.658613248,4415562.098743535,4355347.185958763,4297843.5706129465,4242956.799893512,4190592.0220978064,4140654.592691387,4093050.591239837,4047687.2579953466,4004473.3584999596,3963319.484074227,3924138.2955215457,3886844.71681737,3851356.0849864,3817592.2618132527,3785475.7124929945,3754931.5558142234,3725887.5899839615,3698274.2977532186,3672024.8340861364,3647074.9992343932,3623363.199731429,3600830.3995068665,3579420.0630386304,3559078.0922068027,3539752.758287129,3521394.630321189,3503956.5009224154,3487393.3104203125,3471662.070107354,3456721.785232274,3442533.3782779723,3429059.6129704304,3416265.0193853304,3404115.820450131,3392579.86007989,3381626.5331340316,3371226.717337498,3361352.7072724043,3351978.150514595,3343077.9859626945,3334628.384384675,3326606.6911881035,3318991.371404544,3311761.956865681,3304898.9955381765,3298384.0029757735,3292199.41584039,3286328.547438682,3280755.545216553,3275465.3501511617,3270443.6579779647,3265676.882189082,3261152.1187386657,3256857.112390878,3252780.224646447,3248910.4031844973,3245237.1527573722,3241750.5074774288,3238441.004436209,3235299.6585979965,3232317.9389114524,3229487.7455847873,3226801.388471766,3224251.566517679,3221831.3482162934,3219534.153030652,3217353.7337324494,3215284.1596165365,3213319.8005489,3211455.311808225,3209685.6196828615,3208005.9077866864,3206411.6040589632,3204898.368414877,3203462.08101493,3202098.831122844,3200804.90652302,3199576.7834699564,3198411.1171433274,3197304.732583666,3196254.6160847885,3195257.9070202396,3194311.8900821405,3193413.987911848,3192561.7541028513,3191752.866557279,3190985.1211782955,3190256.4258815423,3189564.794909608,3188908.343434293,3188285.2824321925,3187693.9138198486,3187132.625835381,3186599.888654181,3186094.250226859,3185614.3323282283,3185158.826806663,3184726.4920237167,3184316.1494743703,3183926.680578789,3183557.023636901,3183206.17093756,3182873.1660144725,3182557.1010414464,3182257.11435991,3181972.3881319994,3181702.146112845,3181445.65153602,3181202.205106409,3180971.143095047,3180751.835530766,3180543.6844837177,3180346.122436135,3180158.6107358844,3179980.638128615,3179811.719364516,3179651.393875889,3179499.2245219434,3179354.7963973978,3179217.71570165,3179087.6086654356,3178964.1205320563,3178846.914590407,3178735.671257166,3178630.087205653,3178529.8745389846,3178434.760005272,3178344.4842527276,3178258.8011226505,3178177.476978367,3178100.2900682967,3178027.0299214087,3177957.4967734274,3177891.501022215,3177828.8627108564,3177769.41103703,3177712.983887338,3177659.427395314,3177608.595521917,3177560.3496573595,3177514.5582431876,3177471.0964135863,3177429.8456549263,3177390.693482629,3177353.53313447,3177318.2632794795,3177284.7877416513,3177253.015237707,3177222.859128198,3177194.237181269,3177167.071348437,3177141.287551778,3177116.8154819384,3177093.588406421,3177071.5429876223,3177050.6191101302,3177030.7597168013,3177011.910653182,3176994.02051984,3176977.0405322113,3176960.9243875733,3176945.6281387885,3176931.110074469,3176917.330605236,3176904.252155769,3176891.8390623443,3176880.0574755846,3176868.8752681594,3176858.261947178,3176848.18857104,3176838.627670517,3176829.553173847,3176820.9403356407,3176812.765669405,3176805.006883498,3176797.642820342,3176790.653398731,3176784.01955907,3176777.723211404,3176771.7471860866,3176766.075186962,3176760.6917469264,3176755.5821857513,3176750.732570052,3176746.1296752933,3176741.760949726,3176737.614480162,3176733.6789594856,3176729.943655822,3176726.398383272,3176723.0334741357
E,0.0,2819.682537387392,4757.1149110016395,6085.585780864458,6992.975529900863,7608.702731268342,8022.050625024271,8294.6891871251,8469.259677014528,8575.27407909769,8633.176619418404,8657.143809777977,8657.016918940444,8639.636856450885,8609.766941553145,8570.731189674083,8524.856062894738,8473.776348877534,8418.647050411224,8360.290222059364,8299.296759198134,8236.096978220658,8171.0095661130135,8104.275532076925,8036.081756347569,7966.577321187202,7895.884832576676,7824.10826466539,7751.33839019307,7677.656535000533,7603.137169229263,7527.849691304206,7451.859652137732,7375.229591526572,7298.019606279537,7220.287733169467,7142.090204463545,7063.481616162457,6984.515036818117,6905.242076267785,6825.712927684294,6745.97639220874,6666.079892554812,6586.06947997146,6505.989837557232,6713.50296788816,7144.806697413128,7757.212086284382,8526.540430151403,9444.197655736227,10514.549639704908,11752.915662880805,13184.30349927843,14842.901126024546,16772.29175632884,19026.349960784293,21670.791086102236,24785.372732263313,28466.778252591517,32832.24329884926,38024.01400333502,44172.73627128009,50764.66281480354,58001.88017574761,66032.86590023962,74977.14419319163,84937.68116427153,96006.362545585,108265.45416136549,121786.64183544103,136628.56504823503,152833.4171773486,170423.03016786056,189394.80520936282,209717.84082370246,231329.61194933119,254133.54553582723,277997.8053270775,302755.53381603624,328206.7031224394,354121.60611276154,380245.88735388557,406306.88642136,432020.95951694495,457101.3719835519,481266.32148017525,504246.6603916725,525792.9318266679,545681.4073892644,563718.9056932672,579746.2670541276,593640.4521152372,605315.3129322445,614721.1496173239,621843.212031517,626699.3343726994,629336.9025683271,629829.352827743,628272.3876439822,624780.0760817456,619480.9812074215,612514.4314464882,604027.0264380802,594169.4430442802,583093.5845543024,570950.0963995331,557886.2551431116,544044.2241602733,529559.6591379757,514560.6390302873,499166.8930749233,483489.29153900023,467629.5666475306,451680.2303017351,435724.6563909847,419837.2974546223,404084.00791154196,388522.4488409999,373202.55220192025,358167.0252903301,343451.87905797537,329086.96657972515,315096.5204163303,301499.67984462297,288311.00090650324,275540.94395977573,263196.33490534563,251280.7975297825,239795.15545709874,228737.80306838802,218105.04544336302,207891.4079245258,198089.91632272638,188692.34909111098,179689.463010341,171071.1940672592,162826.8352859409,154945.1932966443,147414.72541526865,140223.65896269324,133360.09448754485,126812.0944739789,120567.75902327671,114615.28989877195,108943.0442212726,103539.57899944714,98393.68757867342,93494.4289941588,88831.15112084895,84393.50842451105,80171.4750358838,76155.35379317598,72335.7818275395,68703.73320137503,65250.5190502787,61967.785625867065,58847.51058833135,55881.99785404789,53063.87126456786,50386.06730847931,47841.82709663389,45424.68776372374,43128.47344486011,40947.285954339015,38875.49527489573,36907.7299491825,35038.86745070834,33264.02459882987,31578.54807137366,29978.005058915907,28458.17409647663,27015.036101251015,25644.765638863464,24343.72243536899,23108.443147733033,21935.633401697803,20822.160102705486,19765.04402282011,18761.45266430362,17808.693398598767,16904.206877900186,16045.560715209305,15230.443427729686,14456.658637631002,13722.11952356263,13024.84351580464,12362.947227582017,11734.641614816992,11138.227356437235,10572.090447279104,10034.697995612234,9524.594217353302,9040.396619123101,8580.792362423808,8144.534801365478,7730.440186546178,7337.3845278837,6964.300609403964,6610.175149208342,6274.046098066083,5955.000070306066,5652.1699009120985,5364.732322956033,5091.905759731585,4832.948226177614,4587.1553344018375,4353.858398333562,4132.422632746493,3922.2454420994723,3722.754794843748,3533.4076790397917,3353.688635314629,3183.10836337199,3021.2023984422676,2867.529854227356,2721.672229056895,2583.23227212745,2451.8329068447288,2327.1162084312946,2208.7424330984663,2096.3890962114137,1989.7500970010103,1888.5348874949802,1792.4676834544864,1701.286715210693,1614.743516399248,1532.6022486892116,1454.6390606969253,1380.6414793648437,1310.4078321706277,1243.7466986130055,1180.4763894982061,1120.4244526243542,1063.427203531224,1009.3292800493607,957.9832194459384,909.2490570249806,862.993945096872,819.0917912865666,777.4229152016937,737.8737225309909,700.3363956902837,664.7086001777028,630.8932058420814,598.7980223086289,568.3355478441238,539.4227309801109,511.98074424701616,485.93476940479604,461.21379358680707,437.7504158030812,415.48066327722086,394.3438171177405,374.282246849956,355.2412533585286,337.1689198135611,320.01597017478963,303.7356348889659,288.2835234150401,273.61750323028446,259.6975849880885,246.48581351486453,233.94616434935702,222.04444554270995,210.7482044519388,200.0266392730262,189.8505150727446,180.1920840905397,171.02501009342166,162.32429657783314,154.06621862292857,146.22825820963266,138.78904282927655,131.72828721456182,125.02673803410035,118.66612139984468,112.62909304438087,106.89919103232403,101.46079087695705,96.2990629398017,91.3999319970286,86.75003886251355,82.3367039629489,78.14789276573624,74.17218296543273,70.39873333931439,66.81725418716707,63.41797927473083,60.191639204321646,57.12943614004173,54.22301981868154,51.46446478091955,48.84624876075137,46.36123217423609,44.00263865164358,41.764036559930084,39.639321465168614,37.62269948712228,35.708671500580486,33.89201814038573,32.16778556926954,30.531271969695123,28.978014722878072,27.5037782400294,26.10454241264328,24.776491650339313,23.516004476370867,22.319643652431257,21.18414680583253
I,4405.924934781686,3847.9626319566396,3453.25468272569,3172.154816387732,2970.2783463596384,2823.7647661195733,2716.0251707981515,2635.503398752113,2574.131907740255,2526.265102329423,2487.9414733312396,2456.3725538782414,2429.588543254211,2406.192268309756,2385.1881387379894,2365.863065766793,2347.7034216541033,2330.3370218380296,2313.492499060021,2296.9707804747604,2280.624998787472,2264.3462900392074,2248.0537077049858,2231.6870214984465,2215.201543054145,2198.564380191679,2181.7517018238705,2164.7467210233426,2147.538191112703,2130.1192705361173,2112.486654775506,2094.6399032915288,2076.580910283703,2058.31348267416,2039.842999001284,2021.176130167286,2002.3206081256667,1983.2850322531547,1964.0787057672683,1944.7114964332336,1925.193717167985,1905.5360231452373,1885.7493227399832,1865.8447001976433,1845.8333483249696,1825.7265098137505,1814.980430319605,1819.7586490827935,1844.0423139743689,1890.514408359734,1961.2359274332225,2058.150233261816,2183.4576465482796,2339.901062490017,2530.9987049558663,2761.2544662755436,3036.371037188465,3363.4869270029512,3751.455761237984,4211.184899465792,4756.05026168153,5402.40502204363,6168.8216365392045,7054.649804041199,8065.957822601803,9212.92130610111,10508.352249402502,11966.821414275662,13604.071736320178,15436.553977326786,17480.989654073106,19753.90832608594,22271.131837408622,25047.195299446757,28094.707769016102,31423.66674123465,35040.75040007976,38948.61988352721,43145.27000313641,47623.47013337672,52370.33668651065,57367.07437247123,62588.915434989496,68005.2748883706,73580.12652713296,79272.59049752682,85037.70992962453,90827.38281080882,96591.4069002029,102278.5905882584,107837.88131151805,113219.4651700964,118375.79620662594,123262.52065961348,127839.26961100129,132070.30205119197,135924.988830011,139378.1357338874,142410.15066608295,145007.06539404424,147160.42648148126,148867.07286280568,150128.81914181594,150952.06425418978,151347.34480231442,151328.85133914955,150913.9243289391,150122.54461630233,148976.83114078146,147500.55646687414,145718.68856093666,143656.96521332115,141341.50563209105,138798.46205982656,136053.71280734093,133132.59686433783,130059.6892336101,126858.61533112732,123551.90218277468,120160.8637097278,116705.51710687504,113204.52716026049,109675.17529864832,106133.35021062657,102593.55696347111,99068.94171651614,95571.32931534862,92111.27127117864,88698.10186168477,85340.00032684625,82044.05736884552,78816.34439369917,75661.98414985593,72585.22162275469,69589.49423240797,66677.5005524217,63851.26692308171,61112.21146834854,58461.205147308676,55898.62957562782,53424.43144283214,51038.173427929265,48739.08158016385,46526.08918479777,44397.877176915776,42352.91120054804,40389.47543697631,38505.70334598462,36699.605477982506,34969.0945242377,33312.00777769156,31726.127178694598,30209.19711911171,28758.940175151056,27373.07093444026,26049.308076715675,24785.384860353242,23579.05815914723,22428.11618548216,21330.385027547596,20283.734119681925,19286.08075643422,18335.39375260901,17429.696343489475,16567.06841168249,15745.648119638121,14963.633019897667,14219.280708535693,13510.909081092203,12836.896244541276,12195.680133507243,11585.757874008272,11005.684933466238,10454.074091554301,9929.594262641125,9430.969197113513,8956.976085696764,8506.444088023865,8078.25280410998,7671.33070504762,7284.65353713071,6917.242711723945,6568.163691499249,6236.5243821471695,5921.473537321488,5622.199183375477,5337.927069384136,5067.919147005479,4811.47208390369,4567.915813726645,4336.612124989927,4116.953290659734,3908.3607397396095,3710.2837717430302,3522.1983145685663,3343.6057259802633,3174.031638627387,3013.0248483094965,2860.15624500034,2715.0177859831238,2577.221510316457,2446.39859374143,2322.198443052742,2204.2878288879247,2092.3500558360374,1986.08416872865,1885.2041939495339,1789.4384145835902,1698.5286782186256,1612.2297362143474,1530.308613260205,1452.5440060564151,1378.7257099698002,1308.654072537103,1242.1394727125717,1179.001824783178,1119.0701059033668,1062.181906231214,1008.1830006789635,956.9269413227183,908.2746695483297,862.0941470429777,818.2600047743754,776.6532091317603,737.1607444347229,699.6753110473234,664.0950383657733,630.3232119781177,598.2680143237716,567.8422782094108,538.9632525655203,511.5523798548659,485.53508457023094,460.8405722839589,437.401638736141,415.1544884717037,394.0385625591778,373.9963749455855,354.9733570226742,336.9177099996771,319.78026469690195,303.5143483927703,288.07565837446236,273.4221418591,259.5138819684363,246.31298945534715,233.78349989505747,221.89127606800815,210.6039152746053,199.890661334813,189.72232103768073,180.07118481745846,170.91095144397053,162.21665652541728,153.9646046317698,146.1323048564439,138.69840964300178,131.64265671225502,124.94581393335227,118.58962699024305,112.55676970233935,106.8307968652623,101.39609948428088,96.23786227943961,91.34202334744629,86.69523587116664,82.2848317730613,78.09878721411819,74.12568984479142,70.35470771916941,66.77555978807182,63.378487891028634,60.154230171135744,57.09399584062041,54.18944122859704,51.43264704595758,48.81609680563117,46.33265633957283,43.97555435680888,41.738363989685475,39.61498527814355,37.59962854438534,35.68679861271159,33.871279831600646,32.148121857276955,30.512626160083325,28.96033321693305,27.487010354981418,26.088640213424576,24.761409792013303,23.501700056463438,22.306076072458456,21.171277641376665,20.09421041223978,19.071937445674635,18.101671206909465,17.180765965993135,16.306710584533885,15.477121669305816,14.689737074069889,13.942409731903949,13.233101801236028,12.559879109629234,11.920905880177195,11.314439726138641,10.738826900170123,10.192497785209282,9.673962614719267,9.181807410629625
A,22647.1396732987,20359.89909837921,18779.60787771647,17685.94787333965,16926.981851652297,16397.830827876016,16026.053332479769,15761.594723963795,15569.865238703707,15426.966155462043,15316.393892108053,15226.762537493894,15150.229030839328,15081.403582406892,15016.595458510843,14953.290697632407,14889.790314428417,14824.959608780387,14758.0544243367,14688.600720057033,14616.311089781675,14541.026894429835,14462.678152171466,14381.255741955192,14296.79214521921,14209.34810752557,14119.00340389958,14025.850447873396,13929.989870091442,13831.527460084893,13730.57205065585,13627.234053310749,13521.624442735785,13413.854050475258,13304.03307112483,13192.270714294142,13078.67495635999,12963.35236042352,12846.407942848833,12727.94507164844,12608.065386733273,12486.868735314905,12364.45311798971,12240.91464256457,12116.347483721232,11990.843847313768,11913.042730027324,11915.90131752226,12021.842586511319,12246.943651573029,12604.207281841891,13106.059977090415,13766.259055162978,14601.393622222933,15632.148155824061,16884.474769453158,18390.798345996456,20191.361494327746,22335.805272270365,24885.076987306627,27913.757464712075,31512.90579586989,35786.43705288651,40741.05311619723,46416.8903470882,52875.0939162268,60190.80882682851,68448.97107114458,77741.44847282139,88164.7168099379,99817.608577777,112798.8728065335,127204.40745974616,143124.11045502214,160638.36183077467,179814.2076333381,200701.36865496106,223328.2430388505,247698.1074764834,273785.7429046898,301534.7134095329,330855.5092323797,361624.72652571753,393685.40067229373,426848.5417982036,460895.84742974915,495583.4954636552,530646.8575768848,565805.9242531951,600771.2010606608,635249.8227809311,668951.6365569587,701595.0249142346,732912.2708435708,762654.3062025438,790594.7276458048,816533.0076964718,840296.8696253989,861743.8314510375,880761.9552809831,897269.8627194732,911216.0950457299,922577.9086321252,931359.6022220476,937590.474011971,941322.5038553454,942627.8502149916,941596.2435805445,938332.348703241,932953.1578453172,925585.4668472321,916363.4756223997,905426.5450292659,892917.133181304,878978.9262899227,863755.1721761938,847387.2186606044,830013.2541274222,811767.2436106089,792778.0506876063,773168.7332074133,753055.9993242775,732549.8093600604,711753.1085808965,690761.6759561681,669664.0742860825,648541.6876625745,627468.8330000137,606512.9332794623,585734.7411439065,565188.6025211933,544922.7510031161,524979.6247468735,505396.1986686554,486204.3256533175,467431.0813983846,449099.1083380959,431226.9548500651,413829.4066320356,396917.8077497671,380500.36940138333,364582.4649217214,349166.90996630146,334254.227172934,319842.89490441943,305929.579933115,292509.3541421347,279575.8954932903,267121.67365301924,255138.1207786865,243615.7880526852,232544.48861428598,221913.4275824651,211711.31988992268,201926.49666182656,192547.00087482957,183560.6730246721,174955.2275160123,166718.32046758843,158837.60960077407,151300.80685118923,144095.724312272,137210.3140874172,130632.70259414666,124351.21983035661,118354.4240794574,112631.12249854825,107170.38800195233,101961.57282169649,96994.31909702631,92258.56681691935,87744.55941287636,83442.84727407816,79344.28943331179,75440.05364988958,71721.61509508647,68180.75382636723,64809.55121882059,61600.38550570373,58545.926564770685,55639.13007304373,52873.23113982339,50241.73751595117,47738.4224665719,45357.317384823116,43092.70421494206,40939.10774516288,38891.28782341798,36944.231542199166,35093.145432922254,33333.447704720405,31660.760557718313,30070.902596465403,28559.881365288424,27123.886023822524,25759.280177857905,24462.59487786201,23230.52179507327,22059.906582882217,20947.742429292557,19891.163804563424,18887.440406652106,17933.97130578308,17028.279288345184,16168.005399346737,15350.903681823038,14574.836110876668,13837.767719426365,13137.761912232145,12472.97596434265,11841.656699765452,11242.13634588345,10672.828558922676,10132.224615611649,9618.889766053318,9131.459742752064,8668.637420694717,8229.189623371693,7811.944069637815,7415.786456348537,7039.657671762799,6682.551134775607,6343.510255129117,6021.6260098480325,5716.03463125165,5425.915402008824,5150.488552822097,4889.013258451712,4640.785727917961,4405.137384850303,4181.4331340829385,3969.0697107281835,3767.4741080904428,3576.1020809141733,3394.4367205884187,3221.98709905792,3058.2869783160363,2902.8935824774617,2755.3864295487633,2615.366220131866,2482.4537804096303,2356.2890568734833,2236.5301603605903,2122.8524570722093,2014.9477043456668,1912.5232290497606,1815.3011465673835,1723.01761841977,1635.422146674042,1552.276903359696,1473.3560932004227,1398.4453480452114,1327.3411514571499,1259.8502919897692,1195.789343749266,1134.984172906556,1077.269468885952,1022.4882990174096,970.4916854968251,921.138203553892,874.2935997796233,829.8304296158933,787.6277130573565,747.5706076619211,709.5500980097017,673.4627007921042,639.2101847525137,606.6993047380158,575.841549157782,546.5529001782453,518.7536060180734,492.3679647372651,467.3241189445341,443.5538608755574,420.99244732172144,399.57842391475754,379.25345829717486,359.962181731734,341.6520387254088,324.27314426441006,307.77814827694385,292.12210695949443,277.26236062060576,263.1584177134267,249.77184474472998,237.06616176374823,225.00674314903466,213.56072342568763,202.6969078587086,192.38568758103133,182.5989590268929,173.31004745274964,164.49363433889812,156.1256884753753,148.18340054560497,140.64512103065803,133.49030126592618,126.69943749049145,120.25401773753582,114.13647142179049,108.33012148729779,102.81913898566671,97.58849996156425,92.62394452841671,87.91193802321389,83.43963413492966,79.19483990641103,75.1659825146569,71.3420777392218
