state,beta,gammaE,alpha,gamma,gamma2,gamma3,a1,a2,a3,eta,h,Hiding_init,c1,I_initial,metric1,metric2,r1,r2,reopen
up,20.928027074663337,0.2,0.8965712447768492,0.04562093396112027,0.04647336781517799,0.04013675948775524,0.4936236872962021,0.012382182954608195,0.051838703971588414,0.055605183914199566,0.03333333333333333,0.9,0.8700000000000001,0.0010008013756487642,0.005546434269155722,0.010918846641604706,0.9997518222172596,0.9991437441994128,2021-03-20
ap,12.423479869353088,0.2002086107071075,0.10042703336188794,0.04010258881540555,0.1487775088382811,0.18145193768983733,0.4998924320097893,0.013297354267997705,0.1370945525308129,0.0462385059880701,0.0377837433248781,0.5173204441207937,0.81,0.0002407214041526545,0.0026202387654684265,0.006233843510274414,0.9998827335099464,0.9985334671131526,2021-03-16
ut,17.39325178216528,0.288442148300952,0.11396103293173986,0.11722367405056068,0.1997895344482465,0.19494847523681816,0.19852331165566192,0.012825701532581751,0.15022541590261987,0.059704291689343526,0.03333333333333333,0.5790918421447954,0.8600000000000001,0.00011636217409856215,0.011764319164924842,0.016764167068058458,0.9994905247158109,0.9993606452333222,2021-03-25
or,1.2442021411840205,0.3,0.8999840153658917,0.049799782994675384,0.1935499150841104,0.04000059496815477,0.051895153453576134,0.001001449905278179,0.04462445125957976,0.21164762977228627,0.07142387433400572,0.5157193505744362,0.8,0.00010671842587214587,0.004302375054372426,0.007222131903647883,0.9998703040504312,0.9976138953450764,2021-03-17
wb,4.382987367714488,0.20163431158865264,0.8371376774272851,0.04102978340226395,0.08560930171249259,0.10099467782309753,0.476113508627574,0.012320695103023608,0.08790216752257776,0.10470434989678402,0.05903785697988258,0.7728834400890066,0.81,0.0028307049100225147,0.004605915942233698,0.003535571734469753,0.99979822609025,0.9995251615198836,2021-03-17
py,5.2882627693138895,0.20178631336517006,0.20407089022151184,0.0402024459062028,0.16382693282577504,0.19546275094810014,0.3631535598813594,0.031027761992019044,0.025456478659818836,0.14015181042849253,0.03333333333333333,0.5462764248467203,0.81,0.00042486088372844014,0.009963283185811762,0.01576573497345601,0.9994369184393844,0.9984455762512549,2021-03-28
ch,15.502649808329627,0.2,0.39317009908240014,0.04000075894889878,0.05016816171861484,0.19989162766032448,0.4507787492831744,0.012736991511948372,0.09268089913240364,0.0733754429321125,0.03333333333333333,0.6231439389254355,0.81,0.0005097670548630856,0.011561304130145248,0.027044228439337254,0.9991753687084008,0.9952454818083492,2021-03-28
ct,1.3490464949381296,0.25045215273266275,0.8999706390679243,0.08910752213161201,0.1834741650055017,0.2,0.4867419748733624,0.022405463259906576,0.06343753281134218,0.5475448885727263,0.06164355456051945,0.5483729924620052,0.8500000000000001,0.0004981332906050672,0.008232209544483131,0.010343981612369343,0.999686167709568,0.9997494498165632,2021-03-18
gj,7.184463599687585,0.23143915969875145,0.8976452347684575,0.2,0.2,0.2,0.5,0.010492600552376257,0.1988341308163146,0.13513075116101686,0.03333333333333333,0.6061931720569903,0.8,0.0006463479614322504,0.00857100201922781,0.020079201899753586,0.9996187665157624,0.9964837187723103,2021-03-21
hp,4.198649522017213,0.21521128027923853,0.8597744456164048,0.0703802968812806,0.13605677891287427,0.2,0.4497137268063911,0.024789080941062136,0.14593229554469056,0.229665882863459,0.03333333333333333,0.6494671318232063,0.8200000000000001,0.0006225735244188643,0.01750243435949394,0.01548187891118849,0.9987473579267829,0.9990494461311004,2021-03-28
mp,18.858902222513443,0.20658931369048392,0.8612611084577301,0.04,0.07163881971449057,0.145459150332345,0.4779321477797979,0.01214404550518224,0.1852316980641676,0.0652569992013828,0.033336628054516794,0.6505411525662079,0.8400000000000001,0.00016067415882825044,0.008750357870316335,0.013485006564850344,0.9997113879278412,0.9977767381346204,2021-03-25
br,10.992625206862957,0.3,0.899996668775256,0.04417092064916543,0.04861433315310843,0.16833272776433084,0.4656410087398571,0.009402468406893098,0.0806556379672732,0.06493118622675463,0.0442023774308286,0.7532277489632843,0.8,0.0016793734653655242,0.0068537902440560395,0.030052761712974194,0.9997001576810641,0.9965293603621332,2021-03-19
mn,7.407171105281511,0.2168379647823422,0.4452448519270595,0.2,0.19896162832566336,0.04183774172474477,0.4803714692166838,0.02366280344314373,0.1619431664983102,0.06679727864344034,0.039676319239270334,0.8982906593068513,0.9000000000000001,0.0017165951100483136,0.0062378236732932605,0.02111236438578341,0.9991461496966828,0.9950783695210462,2021-03-19
mz,0.747902963906443,0.20034973968387434,0.8999996232004432,0.04150319267902705,0.1973530005003483,0.04,0.010150897824705072,0.0015995634467959954,0.09124670106752454,0.3216666054816457,0.07142857142857142,0.8995146889326309,0.8800000000000001,0.005137225229959947,0.01281620892973022,0.06332659190677696,0.999075511450074,0.9901814963430744,2021-03-20
ga,3.8442867888997214,0.2000043949666995,0.6425786063993517,0.135291755035504,0.08480300194183463,0.06213018240375678,0.4746607664999353,0.015832220361970892,0.10414161560803188,0.2356334115831635,0.033335832741723866,0.7809614714753882,0.81,0.0020495999263354502,0.008001514835216973,0.016171772178670725,0.9996559537677374,0.9991266759751004,2021-03-28
an,12.634626287893274,0.3,0.7677994316398008,0.04035069080478386,0.04,0.09185734843097916,0.053332370624454485,0.005658721470344565,0.07110595740693967,0.04580984970239668,0.07141191917233662,0.6145978739959364,0.91,9.702468685650238e-06,0.006257170342181445,0.016027878560946233,0.9975691992750164,0.9956002692126232,2021-03-15
as,5.778823622843994,0.2000119679130198,0.8265012694652801,0.113160977421228,0.19780832891481392,0.12264611320554468,0.4976991316331,0.018742452526255667,0.14941845457423247,0.09591280518830976,0.0714285713495694,0.7806693114398775,0.8500000000000001,0.00047664054093405695,0.003946247291648669,0.013038638701295529,0.9997503441111312,0.9991866872959386,2021-03-16
jh,18.21540424418904,0.2717030814144131,0.8790716542911086,0.199545893116531,0.2,0.18254176531743202,0.4999999998406296,0.01910528417097609,0.06640073635590983,0.07825003279066772,0.03333333333333333,0.6842701645635844,0.8700000000000001,3.4326796148561075e-05,0.008472499472345955,0.024081573064125183,0.9995921704713252,0.9988417458593648,2021-03-27
ar,3.5595124607686426,0.2743923986585711,0.7733750511872604,0.17302857313000047,0.1999884656454876,0.04,0.4999999962863877,0.007083071286515269,0.17738654281896146,0.10093918920940834,0.05602246803527621,0.6333226671791163,0.8700000000000001,2.5342821879910505e-05,0.008082299483831844,0.03264631124227859,0.9981982395696188,0.9877233762672656,2021-03-19
tr,2.7134835176061576,0.22251761285388932,0.8999146294897419,0.05877841982963178,0.04,0.040086480279722884,0.4836444757899017,0.009647129554119055,0.05005581479554535,0.12135647423712287,0.07141725307569215,0.8821310443898899,0.8,0.0012428168240900936,0.004528435655665794,0.005540439539167887,0.9992746963343481,0.9977721338490634,2021-03-27
nl,6.313292067807122,0.2273030536182359,0.6986757424793439,0.04022728451608069,0.17378339192698605,0.2,0.11068491491085912,0.030544129097491643,0.16043394727802887,0.15619368425734775,0.03333333333333333,0.8503168043667335,0.9800000000000002,0.00043932405479772435,0.008257052553880529,0.023641191952419673,0.99879405989042,0.9985045404873178,2021-03-17
ml,28.247568184073643,0.2349743729851259,0.1,0.19997218054438504,0.1832402927489304,0.17201078724497407,0.5,0.02344886977938829,0.07397698718590168,0.030626517305086438,0.03333333333333333,0.5360869159633664,0.8200000000000001,0.00023495835849979393,0.01914132481799757,0.03211726145468634,0.9977320213204584,0.9969816163264512,2021-03-25
sk,0.4547547169167805,0.2000016441257324,0.8058750701194741,0.2,0.1688715923012548,0.04,0.5,0.013871391796326736,0.14191773303051464,0.9033917435709532,0.033356703574289534,0.8919975030983327,0.9800000000000002,0.0006335101387608571,0.007798876246607266,0.024609039172908104,0.9994594138554356,0.990465847939618,2021-03-17
dn_dd,5.518858153414882,0.20060825277551395,0.8951691574343439,0.04001392397267495,0.2,0.04000106063415231,0.5,0.001,0.18371300935716747,0.13061423449915482,0.07142853070666337,0.9,0.8800000000000001,0.003805721145493476,0.04961537287029076,0.15591074818790213,0.9851900180353588,0.7677083730052223,2021-03-15
ld,1.8937915699630037,0.201326115519888,0.5962853150924535,0.04409327473685233,0.09089327224910694,0.19875843918892952,0.06934646395381219,0.001590555571378292,0.18209108765797447,0.24903134518235345,0.03333333333333333,0.6052343034593548,0.8300000000000001,0.002624891716133373,0.3078590811340449,0.5438259169027139,0.9948150739525458,0.9765865896079252,2021-03-15
