series,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-04,2020-07-05,2020-07-06,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-11,2020-07-12,2020-07-13,2020-07-14,2020-07-15,2020-07-16,2020-07-17,2020-07-18,2020-07-19,2020-07-20,2020-07-21,2020-07-22,2020-07-23,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-07-31,2020-08-01,2020-08-02,2020-08-03,2020-08-04,2020-08-05,2020-08-06,2020-08-07,2020-08-08,2020-08-09,2020-08-10,2020-08-11,2020-08-12,2020-08-13,2020-08-14,2020-08-15,2020-08-16,2020-08-17,2020-08-18,2020-08-19,2020-08-20,2020-08-21,2020-08-22,2020-08-23,2020-08-24,2020-08-25,2020-08-26,2020-08-27,2020-08-28,2020-08-29,2020-08-30,2020-08-31
S,41439.29069211228,41426.08886900248,41417.96523364267,41406.94432884616,41391.70615992889,41370.64921919708,41341.62709745088,41301.803883384855,41247.514647810836,41174.163133131784,41076.2125957985,40947.34142080691,40780.82793272408,40570.18000459279,40309.93395076079,39996.4508111943,39628.49985584963,39207.47700765087,38737.230494463736,38223.58377309382,37673.702347993014,37095.443316000266,36496.783408730815,35885.37298832707,35268.22611124714,34651.53415474448,34040.580055231556,33439.727785539995,32852.46370291732,32281.47034889224,31728.71769065087,31195.560884765375,30682.83708558603,30190.95653228818,29719.98517892745,29269.71758398094,28839.739766437862,28429.482374185078,28038.26489095641,27665.3318060274,27309.881744465896,26971.090548594995,26648.129244851305,26340.177746510853,26046.435046814804,25766.126558670996,25498.50916243298,25242.874435769696,24998.550461080187,24764.9025368657,24541.333059804372,24327.280793409274,24122.219696286673,23925.65744725096,23737.133774986483,23556.21867570637,23382.510582544182,23215.634534508867,23055.240380104955,22901.00104062204,22752.610850160698,22609.783983289617,22472.25297648629,22339.767345922904,22212.09230148878,22089.007555000895,21970.306219189086,21855.79379312559,21745.287229197387,21638.614076411897,21535.61169471629,21436.12653504541,21340.013479952577,21247.135239888445,21157.361800451592,21070.569916220884,20986.642647080163,20905.46893324929,20826.943205534782,20750.965027602375,20677.43876734943,20606.273294714727,20537.381703505544,20470.68105504664,20406.092141662644,20343.539268195014,20282.950049927866,20224.255225454366,20167.38848315817,20112.286300113505,20058.88779232405,20007.134575325927,19956.970634274614,19908.342202720673,19861.197649355585,19815.487372077634,19771.16369878933,19728.18079439319,19686.494573502314,19646.062618426757,19606.844102036677,19568.799715139237,19531.89159803853,19496.08327597686,19461.339598181912,19427.62668026793,19394.911849760247,19363.163594531765,19332.35151395732,19302.446272607565,19273.4195563182,19901.49130479903,20529.047960292322,21155.40613274512,21780.730300876083,22405.111994675124,23028.59528494755,23651.19331694451,24272.89890802396,24893.69124623447,25513.540048978277,26132.408079707926,26750.25261027712,27367.026209855794,27982.67710491905,27940.901991294584,27899.356133134042,27857.981989319083,27816.770288550026,27775.73607366756,27734.905536308135,27694.308885433555,27653.976580631494,27613.93743252353,27574.217730521956,27534.840927809895,27495.827621105407,27457.19567942853,27418.96044156488,27381.134938609073,27343.730118472886,27306.7550606438,27270.217175767917,27234.122388051834,27198.475300294896,27163.27934228668,27128.536903735014,27094.24945305125,27060.417643337838,27027.041406868517,26994.120039262376,26961.652274450902,26929.6363514331,26898.07007371382,26866.950862227157,26836.275802461274,26806.0416864237,26776.245050016267,26746.882206326405,26717.949275285653,26689.442210096233,26661.35682078221,26633.688795182064,26606.433717664273,26579.587085816154,26553.144325328383,26527.10080327268,26501.451839948295,26476.19271945323,26451.31869911877,26426.825017930485,26402.706904045124,26378.959581500607,26355.578276205575,26332.558221285315
E,0.0,13.201823109797362,18.106085317805665,24.71167228499009,33.923696659290655,46.70806493452847,64.34004086738388,88.47340676385275,121.18767439482853,164.98657789050804,222.70378117211595,297.2668073613394,391.289339416322,506.5181437323075,643.2455820467212,799.8679956641583,972.7645612622764,1156.570770099768,1344.7779880739595,1530.4895361024778,1707.1484993768527,1869.1053283089532,2011.968527669604,2132.7438739346403,2229.803615298386,2302.7396198260703,2352.1517227531303,2379.412448139988,2386.437234349857,2375.4782400651957,2348.9509908920936,2309.296777263573,2258.8795630825657,2199.913755385338,2134.4180449583296,2064.1902438142843,1990.7982922073093,1915.5831463664235,1839.6699234677205,1763.9843660679658,1689.2723309948237,1616.1205744985205,1544.977583378021,1476.1735903980853,1409.9392183824543,1346.4224312157212,1285.7036431264896,1227.808961356919,1172.7216219533236,1120.391732887812,1070.7444705369608,1023.6868907984284,979.1135196605042,936.9108836086458,896.9611307082033,859.1448806593672,823.343428109901,789.4404091087097,757.3230265156836,726.8829169160393,698.016729394003,670.6264755365816,644.6197003024441,619.9095148778449,596.4145252838163,574.058684204975,552.7710881764291,532.4857377839908,513.1412747987384,494.6807070800993,477.05112955000817,460.2034474811488,444.0921066808071,428.6748338235083,413.9123891339812,399.76833279860966,386.20880584708044,373.202325761461,360.7195967081096,348.7333340241613,337.21810240458296,326.1501671112694,315.5073574487185,305.2689417104001,295.4155127870779,285.92888363589884,276.791991831343,267.9888124516382,259.5042785935033,251.32420885138697,243.43524114266617,235.82477230602734,228.48090294535103,221.39238703505347,214.54858584446492,207.9394257780948,201.55535976534452,195.38733186729846,189.42674479964555,183.6654300996173,178.09562069117266,172.70992562664227,167.5013068048113,162.4630574851226,157.588782435481,152.8723795671857,148.3080229249672,143.89014691309626,139.61343165020625,135.47278935594798,131.4633516819997,127.5804579083893,125.15953270624583,124.52745306752001,125.08351556946073,126.44645198854661,128.37542867814824,130.71926681140667,133.3839816550527,136.3121367354355,139.46977258176457,142.83816496921597,146.40864732803894,150.1793691865646,154.1532740206992,158.3368438472781,161.2709602973853,163.3178539721167,164.70315274243222,165.57314912677992,166.0273122139436,166.13683741191562,165.95530791698474,165.5248891883967,164.87998550062653,164.04944759201206,163.05794717610954,161.92686726421562,160.6749066788684,159.3185120719305,157.87220262677442,156.34882532877327,154.75976316163914,153.11510971437096,151.42381857853263,149.693832948507,147.93219908713922,146.14516626459942,144.33827512402777,142.51643600587616,140.68399847833587,138.84481311922463,137.00228644376637,135.15942975458017,133.31890259414155,131.48305139953686,129.6539438905086,127.8333996620332,126.02301740027771,124.22419909454075,122.43817157680827,120.66600568415173,118.90863330680476,117.1668625559071,115.44139125919924,113.73281897004341,112.04165765472925,110.36834120482551,108.71323390512677,107.07663797329757,105.45880027445124,103.85991830244205,102.28014550944926,100.71959605635158,99.17834904831182
I,7.0,4.3348474655547555,5.508627342114245,7.284655878500891,9.797592816608102,13.324455169339167,18.243422053689816,25.061498177827172,34.446440235290716,47.256627409606054,64.55923669116133,87.62132656699154,117.8538138436428,156.68956303654932,205.38957412687432,264.79728267623614,335.0919336727696,415.60993896325147,504.79275465789317,600.2828649488597,699.1449666483709,798.1586380874223,894.121002984117,984.1091807692119,1065.6725948089834,1136.9454730331645,1196.6851000926326,1244.2502275333306,1279.5373718498165,1302.8922114325494,1315.01060764779,1316.84022597148,1309.4901768458676,1294.1530056042495,1272.0409317015383,1244.3364892796171,1212.15657773308,1176.528275688575,1138.3744812359296,1098.5074036402114,1057.628055163577,1016.3301055484433,975.1067154433963,934.3592244160136,894.4068129430959,855.4964741881947,817.8128154230509,781.4873599622077,746.6071404663419,713.2224668774917,681.353821127763,650.9978802232696,622.1327031973912,594.7221391717626,568.719526280988,544.0707569268735,520.716785680533,498.5956536814797,477.6440987726312,457.79881474580833,438.997416602527,421.1791621198995,404.2854735652592,388.26029732849526,373.0503336581181,358.60516365574244,344.8772962215236,331.8221537387871,319.39801190963635,307.5659062635735,296.2895154112888,285.5350290570733,275.27100706783847,265.46823447896617,256.0995761550721,247.1398338791256,238.56560788224266,230.3551642189779,222.48830891310354,214.94626942430932,207.7115836979093,200.76799684133795,194.10036530939473,187.6945683635254,181.53742648953096,175.61662640524833,169.920652258637,164.43872260220644,159.16073272769523,154.0772019520584,149.1792254595076,144.45843032251577,139.90693534573785,135.51731439947443,131.28256293268288,127.19606737892165,123.25157719149348,119.4431792660757,115.76527453005164,112.21255649743796,108.7799916066584,105.46280117541713,102.25644482258488,99.15660522136457,96.15917406110708,93.2602391070702,90.45607225822947,87.74311851303847,85.11798576187759,82.577435332902,80.11837322517846,77.73784196945735,83.72202028479676,87.54798644321042,90.19000498255075,92.22678031235958,93.9968259445581,95.69434543240558,97.42796843254304,99.25644252834954,101.21012494564994,103.30378692794562,105.5441451993674,107.93422136943401,110.4758129352527,113.17085437082672,116.02213656630838,118.7195421065883,121.11544988731575,123.15097064456438,124.81465292253705,126.11946322578345,127.09004437738697,127.75574723292983,128.14689761897853,128.2928687664609,128.22115437955733,127.95698982783605,127.5232676358986,126.94060545915283,126.22748784674053,125.40043860828598,124.47420054245984,123.4619104390396,122.37526346439836,121.22466444751032,120.01936542205361,118.7675897403173,117.47664354596395,116.15301559487962,114.80246646990278,113.4301082154121,112.04047536015622,110.63758822260888,109.22500931407684,107.80589357685278,106.3830331209252,104.95889705447699,103.53566694105726,102.11526835984496,100.69939899454272,99.28955363073956,97.8870464006217,96.4930305772478,95.1085161878218,93.73438568609967,92.3714078978993,91.02025043032164,89.68149071443926,88.35562583260511,87.04308126493925,85.74421867475301,84.45934283947688,83.18870782189929,81.93252246604568
A,0.0,0.0,0.3951604596301343,0.9213101738776084,1.6241340750468765,2.5745817692227013,3.8696766467865755,5.640732694424856,8.063312788567693,11.368201786697263,15.85189558392057,21.88384821719658,29.906362958064953,40.42228439651434,53.96662801248766,71.06175971554953,92.16114964283467,117.59174968503214,147.50686176328585,181.8588375651753,220.3955014891341,262.67850165008946,308.1179164264675,356.0159736653309,405.6131882097194,456.1317320115577,506.8126738317195,556.9453941074956,605.8887808117307,653.0846998058483,698.0647545259258,740.4515864216572,779.9560046354204,816.3711447364271,849.5646990879767,879.470076345159,906.0771614013329,929.4231757563418,949.5839899064056,966.6661168326692,980.7995185679897,992.1312838476654,1000.8201808007917,1007.0320510567379,1010.9359871941208,1012.7012211517446,1012.494644484974,1010.4788800669096,1006.8108273046025,1001.6406078457281,995.1108450906853,987.3562178633789,978.5032358073136,968.6701911042499,957.9672477294406,946.4966355238628,934.3529218121583,921.6233381059972,908.3881436200337,894.7210109265171,880.6894221324262,866.3550665335255,851.7742328386651,836.9981908196005,822.0735586782724,807.0426535824465,791.943823744828,776.8117611483576,761.6777945847438,746.5701631032965,731.5142702875345,716.5329200088515,701.6465344674283,686.8733554352981,672.2296296772585,657.7297795521876,643.3865597984732,629.2112014893165,615.2135441119406,601.4021566834417,587.7844487684899,574.3667722128937,561.1545143541729,548.1521834172277,535.363486751041,522.7914025119122,510.4382453505135,498.3057266144586,486.3950095352615,474.7067598286434,463.2411921001161,451.9981124135814,440.9769573492285,430.1768298481683,419.59653211485653,409.2345958242713,399.0893098588683,389.15874578036374,379.4407812232473,369.9331213804422,360.6333187365674,351.53879119068375,342.64683869808994,333.9546585495663,325.4593593963307,317.15797411977417,309.0474716367001,301.1247677232061,293.3867349334633,285.83021168338024,278.4520105634427,271.248925939828,264.2177408981638,257.39533948496967,250.8269145534473,244.53787082900612,238.5411846267728,232.84210451288624,227.44114398622548,222.33598282983044,217.522674431705,212.996413560475,208.75202673557342,204.78428800559894,201.08812506839905,197.65875661880634,194.49178662530176,191.53932018084583,188.76622055679945,186.1455100467543,183.65566891889756,181.27901556575202,179.00070668391436,176.80809656851503,174.69030745055315,172.6379264696273,170.64278084767963,168.69776319802747,166.79669047140285,164.93418663860834,163.10558299714614,161.30683218465367,159.5344332726255,157.78536608817438,156.057033389303,154.34720982496378,152.65399681594533,150.9757826368071,149.3112070859331,147.65913021376724,146.01860464634436,144.38885109708286,142.76923670737773,141.15925589768244,139.55851344673843,137.966709548266,136.3836266224119,134.80911768405093,133.24309609206085,131.68552652326133,130.13641703211357,128.59581207275968,127.06378637375444,125.54043956809525,124.02589149205593,122.52027807602377,121.02374775916029,119.53645836737088,118.05857440088191,116.59026468377942,115.13170033324509,113.68305301100516,112.24449342375505,110.81619004309358,109.39830801884926
IH,14.0,13.715320028033974,12.980465578011096,12.539105591241542,12.467597608946132,12.858184088631017,13.842963001574049,15.607759376679184,18.409461022330838,22.597205394807254,28.63661970896947,37.134662547872885,48.86010394959153,64.75161289165831,85.90291582677014,113.51456933867368,148.80666484379907,192.8966228417246,246.65822846907622,310.5868517115668,384.69693579025835,468.47080984705076,560.8660640131624,660.3768103204206,765.1355961295083,873.0387925387207,981.8784349268176,1089.4663819865536,1193.7408280044601,1292.8495107440879,1385.2076942552753,1469.5318437901421,1544.8517922174337,1610.5052284295132,1666.1186966605794,1711.579175353182,1746.9998812796573,1772.6833618670228,1789.0843020007273,1796.7738528732993,1796.406733429849,1788.691881913815,1774.3670529989045,1754.177462124098,1728.858364187703,1699.1213070906306,1665.6437093042923,1629.061362696386,1589.9634465064373,1548.8896464057548,1506.328996430269,1462.7200952366964,1418.452387007202,1373.868238024522,1329.2655800610453,1284.9009296677268,1240.9926272227303,1197.724170678252,1155.247546135779,1113.686480728417,1073.139562992682,1033.6831922653362,995.3743319881391,958.2530525080209,922.3448573819112,887.6627936758163,854.209351601374,821.9781623429643,790.9555053441132,761.121637859916,732.451960427654,704.9180322168576,678.4884501228399,653.129605071223,628.806328392123,605.4824403711696,583.1212122455012,561.6857520291694,541.1393236567061,521.445608050358,502.5689138633291,484.4743448405361,467.12792997785476,450.4967219552526,434.54886867064334,419.25366210991405,404.5815682531094,390.5042412349443,376.9945245467196,364.0264416829799,351.57517829628335,339.61705762359986,328.12951068447273,317.0910425206609,306.481195546165,296.280510902184,286.47048856071814,277.033546790537,267.95298148760594,259.2129257765759,250.79831020858435,242.694823811578,234.88887619105,227.3675608300504,220.11861969631738,213.13040923027518,206.391867759471,199.89248436192514,193.6222691820953,187.5717251880598,181.7318213465399,176.09396718302105,158.3670868346571,143.4481450922352,130.80266965332547,120.03967878939136,110.86322785265736,103.0419328069186,96.38966437581288,90.75317009381587,86.00399242579088,82.03305758652407,78.74693503010856,76.06515400359017,73.91820109460258,72.24596799366078,70.99650716637936,70.12500681408477,69.56964996270469,69.26592499850548,69.15356085936827,69.17947695713958,69.2986336675278,69.473825116881,69.67498319927357,69.87829777460851,70.06531136832226,70.22206592921346,70.33833532226208,70.40695393077677,70.42323984903913,70.38450551694635,70.28964640139326,70.13879785987393,69.93305074169416,69.67421710543113,69.36463839721367,69.00702940774187,68.60435224063592,68.15971535230447,67.67629345571886,67.15726471920456,66.60576224342361,66.02483727387936,65.41743201169733,64.786360230923,64.1342942042065,63.46375668774109,62.77711692704652,62.076589823185664,61.3642375490734,60.641973031820086,59.91156482310424,59.174642968440814,58.432705560511565,57.68712572368504,56.93915882837839,56.189949776626484,55.44054023550876,54.69187572411707,53.944812483529816,53.20012407863775,52.45850769636486,51.72059011745482,50.986933349064316
IN,1.4000000000000001,2.657281241901172,3.2533622501810897,4.0234335614671854,5.070207993463262,6.512859565263576,8.513816864255345,11.294586011030892,15.155493297500094,20.499800500419433,27.861335933273786,37.93294379766956,51.59025008975641,69.90180112790068,94.11378641674965,125.59755644399817,165.7533506392919,215.87451426387486,276.9898287844337,349.71149088021133,434.1177855333308,529.6919565630546,635.3258425979551,749.3836751635844,869.8118631325107,994.2760471758074,1120.3066827393382,1245.4374324361675,1367.3251324806313,1483.8447891184865,1593.1571703232762,1693.7497112779904,1784.4535740981123,1864.4408966242158,1933.206719663013,1990.5400044471673,2036.4877327454224,2071.3154767913775,2095.467151587273,2109.525998183441,2114.1782427415324,2110.1803586287947,2098.3304367755964,2079.4438412802865,2054.3330843322183,2023.7916851228165,1988.5816685665532,1949.4242987112248,1906.9936171895627,1861.9123590344834,1814.749838431224,1766.0214289418097,1716.1893013332542,1665.6641235807483,1614.807469181374,1563.9347197445163,1513.3182847373364,1463.1909945834705,1413.7495527423791,1365.1579579039296,1317.5508291668189,1271.0365852939174,1225.7004441812378,1181.6072208980552,1138.80391241577,1097.3220647916326,1057.1799244359927,1018.3843794642132,980.9327002802719,944.8140906889631,910.0110621863903,876.5006448033358,844.2554481153546,813.244585905213,783.4344775645864,754.7895387314421,727.2727729403109,700.8462752645221,675.4716580912162,651.1104083211693,627.7241844483038,605.2750611642703,583.7257283628543,563.0396506945328,543.1811931475795,524.1157175107269,505.8096540037714,488.2305518456301,471.34711206227576,455.1292054171025,439.5478779706318,424.57534644185915,410.18498524667524,396.3513068264002,383.04993664835837,370.257584057546,357.95200998092645,346.11199233104145,334.7172898209727,323.74860478594394,313.18754550594707,303.01658843682947,293.21904068259283,283.77900297771737,274.6813333937735,265.9116119382167,257.4561061740023,249.30173795556698,241.4360513489618,233.84718178075963,226.52382644115363,219.45521595084935,212.63108728844412,207.69945940896756,204.03576462286262,201.27395780885863,199.20105008839036,197.69346779116088,196.679075300924,196.1148165795942,195.97377432310756,196.23784667557044,196.89373136864123,197.93082553824559,199.34021151906506,201.11424022957368,203.24642924548607,205.7315151516498,208.50274761280053,211.47065673348345,214.5431155028632,217.63509822792625,220.67284020322143,223.59502500730957,226.3524571066672,228.90702122269016,231.2303622695506,233.30251447556748,235.11059449307263,236.64761083316054,237.91140826416006,238.90374817279087,239.62951714846528,240.09605219177809,240.31256971298455,240.28968561659622,240.03901456669936,239.57283761237733,238.9038285188331,238.04483029140928,237.0086744453593,235.80803654256047,234.45532238201622,232.96257999688908,231.3414332838002,229.60303367871066,227.75802680668906,225.81653147880962,223.7881287962474,221.6818594565581,219.50622764661355,217.26921015646255,214.9782695635793,212.64037052202565,210.26199834991937,207.84917924471347,205.4075015721718,202.94213777420634,200.45786652523066,197.9590948383888,195.4498798836934,192.93395033127706,190.41472707595562,187.89534323527408,185.3786633431601
D,1.0,1.3175266348948687,1.6285965931097133,1.9229997041350377,2.207392561490635,2.4901635839186333,2.7817932928130444,3.0957582541604713,3.4497496336694553,3.8672849342872384,4.379800261933047,5.029292368429701,5.871524113914171,6.979694427323263,8.448291694859225,10.396610537011474,12.971174766557853,16.34618044782786,20.721167271650536,26.315492789858787,33.359749780327746,42.08485860003118,52.70999858554604,65.43070672360528,80.40836574815172,97.7620036822433,117.56293724849327,139.83240548550418,164.54201935002405,191.61662706808625,220.93906668037536,252.35623366518664,285.6859123244392,320.7238831097327,357.25090494286235,395.0392665918665,433.8586934422973,473.48147868975906,513.6867774488846,554.2640573029937,595.0157398151327,635.7590958843087,676.3274754648704,716.5709611368038,756.3565373194242,795.5678643615934,834.1047408557832,871.8823295664403,908.8302133188854,944.8913378028166,980.0208890347253,1014.1851445548016,1047.360329528631,1079.531501900416,1110.6914846439067,1140.8398579666466,1169.982019993124,1198.1283209110793,1225.293272728773,1251.4948345712764,1276.7537717536766,1301.0930856257921,1324.5375103106062,1347.1130718889578,1368.846705256144,1389.7659237402202,1409.8985365828817,1429.272409505004,1447.915263779706,1465.8545094913836,1483.1171089496215,1499.7294665365316,1515.7173415827124,1531.1057811814653,1545.9190701563568,1560.1806956888531,1573.9133243873525,1587.1387898345047,1599.8780888852343,1612.1513852030914,1623.9780187177298,1635.3765198621436,1646.364627605723,1656.9593104393855,1667.1767895932155,1677.032563876527,1686.5414356263207,1695.7175373340276,1704.5743585934208,1713.124773075786,1721.3810652929537,1729.3549569555953,1737.057632774175,1744.4997655839852,1751.6915407044773,1758.642679467358,1765.362461868194,1771.8597483131493,1778.1430004463914,1784.2203010550918,1790.0993730581697,1795.7875975923018,1801.292031214537,1806.6194222453357,1811.776226279237,1816.7686208927996,1821.6025195811321,1826.28358495537,1830.817241233957,1835.2086860606785,1839.4629016821348,1843.584665516812,1851.5724547775137,1858.7561359433298,1865.2630797709082,1871.1964128466634,1876.6415264552143,1881.6703875514481,1886.3444672910543,1890.7167938293255,1894.8334436444586,1898.7346662590994,1902.4557635056117,1906.0277991182395,1909.4781866015994,1912.8311862660353,1916.1083318519995,1919.3288007105466,1922.5097374870688,1925.665482750422,1928.8074507615156,1931.9443218287545,1935.0823684747527,1938.225820182076,1941.3772187395957,1944.5377420183988,1947.7074878390492,1950.8857167735698,1954.071056243551,1957.261669803406,1960.4553959683828,1963.6498608780485,1966.8425687616964,1970.0309737459513,1973.2125360973823,1976.384765564517,1979.5452540925774,1982.6916998370011,1985.8219240987057,1988.9338825424359,1992.0256718354658,1995.0955326530589,1998.1418498352064,2001.1631503423152,2004.1580995421805,2007.1254962636287,2010.0642669709448,2012.9734593452333,2015.8522355022112,2018.6998650288178,2021.5157179820044,2024.2992579608397,2027.0500353365796,2029.7676807036605,2032.4518985969282,2035.1024615061328,2037.719204207247,2040.3020184210354,2042.8508478021045,2045.3656832560666,2047.8465585781762,2050.293546403595,2052.7067544571205,2055.086322088611,2057.4324170792925
R,0.0,1.3750246296152302,2.8531609287514614,4.343186071901965,5.893910468536249,7.573163804288585,9.4718819348949,11.713067449444782,14.463912929253507,17.951861064168636,22.485426962409317,28.480390445870164,36.49136501690692,47.24758790724118,61.68996322703035,81.00410654234963,106.6420014351182,140.3239081599302,184.01336862824735,239.86184502031387,310.1249055009989,397.057283055422,502.7979311046213,629.2574832084251,778.0193575378921,950.2628691002519,1146.7130852886062,1367.618616883262,1612.7556223484612,1881.4542649858063,2172.642717136692,2484.9034289568926,2816.536583322427,3165.626245934641,3530.105516170547,3907.817852300083,4296.572586865338,4694.193402767722,5098.55917550895,5507.637091184318,5919.508326933498,6332.386843195757,6744.632002399416,7154.755815189423,7561.4256409384825,7963.4631503106075,8359.84030791818,8749.673063982522,9132.213364292964,9506.84000439252,9873.048771656304,10230.442241084644,10578.719519291331,10917.666167470996,11247.144478520859,11567.08423591694,11877.474042012336,12178.353270534448,12469.80467149207,12751.947635698278,13024.932109909472,13288.933141447635,13544.146022439663,13790.781997868424,14029.064497949488,14259.225853460572,14481.504452160183,14696.142295003388,14903.3829122177,15103.469601213166,15296.643950583511,15483.144616963089,15663.20632412274,15837.059056328178,16004.927420581329,16167.030154870026,16323.579761931176,16474.78225026506,16620.83696621121,16761.936502803394,16898.266672862523,17030.006535365123,17157.32846554804,17280.398260485334,17399.375273010563,17514.412567867053,17625.657094860737,17733.249874575027,17837.32619289525,17938.01580119083,18035.443119526084,18129.727440723185,18220.983133492035,18309.319843177876,18394.842688965702,18477.65245662628,18557.845786097416,18635.515353370636,18710.750046302062,18783.635134090426,18854.252430268516,18922.680449139603,18988.994555660098,19053.26710882628,19115.567598668138,19175.962776989047,19234.51678201755,19291.29125715833,19346.345464044414,19399.736390103004,19451.51885085365,19501.745587160578,19550.467357661484,19596.65186287394,19640.74753934632,19683.093916440674,19723.959809412998,19763.566790471217,19802.10367757205,19839.735572122467,19876.6096039382,19912.85869389786,19948.60412445582,19983.957391138476,20019.021616372942,20053.89269191085,20088.660247644708,20123.408504276696,20158.21528573246,20193.14476456354,20228.24523504435,20263.549433880784,20299.07605057633,20334.83169671197,20370.812952393957,20407.008300877915,20443.399867545933,20479.96493563465,20516.677240121673,20553.5080551855,20590.42709650648,20627.40326119831,20664.405227475414,20701.401934440586,20738.362960252416,20775.2588147374,20812.061160414964,20848.742973981512,20885.278658579668,20921.644115662417,20957.816783938102,20993.77565173416,21029.50124812656,21064.975617329826,21100.18228011181,21135.10618537241,21169.733654492215,21204.05232060299,21238.051064546296,21271.71994895974,21305.050151654214,21338.03389921262,21370.664401545095,21402.935787971954,21434.84304526901,21466.38195799652,21497.549051339338,21528.34153660892,21558.75725949508,21588.794651104577,21618.452681783077,21647.730817684762,21676.62898002887,21705.14750696334,21733.28711794156
