series,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-04,2020-07-05,2020-07-06,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-11,2020-07-12,2020-07-13,2020-07-14,2020-07-15,2020-07-16,2020-07-17,2020-07-18,2020-07-19,2020-07-20,2020-07-21,2020-07-22,2020-07-23,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-07-31,2020-08-01,2020-08-02,2020-08-03,2020-08-04,2020-08-05,2020-08-06,2020-08-07,2020-08-08,2020-08-09,2020-08-10,2020-08-11,2020-08-12,2020-08-13,2020-08-14,2020-08-15,2020-08-16,2020-08-17,2020-08-18,2020-08-19,2020-08-20,2020-08-21,2020-08-22,2020-08-23,2020-08-24,2020-08-25,2020-08-26,2020-08-27,2020-08-28,2020-08-29,2020-08-30,2020-08-31
S,46858.3,46854.55160118701,46851.18060508109,46847.86836097533,46844.411771975436,46840.67124166019,46836.54068732586,46831.93007823792,46826.755100313596,46820.93087604618,46814.36798840398,46806.969810766495,46798.63057722776,46789.23387725496,46778.65140438117,46766.74187517613,46753.35008776386,46738.306123184346,46721.42471608396,46702.50483797563,46681.329548800124,46657.66618152106,46631.266929895064,46601.86991071252,46569.200767736016,46532.97487423073,46492.900173520684,46448.68067200349,46400.020566822364,46346.628952187224,46288.225006488065,46224.54352021845,46155.34058646329,46080.39924574708,45999.5348594959,45912.59998431688,45819.48853418745,45720.139048912366,45614.536932267045,45502.7155778366,45384.75635939136,45260.78752019437,45130.98204696819,44995.554655592714,44854.75804472721,44708.878589792,44558.23165383097,44403.15668544951,44244.01225962618,44081.17119727353,43915.01587640087,43745.933823701336,43574.31365199736,43400.54138740979,43224.99721110655,43048.0526244071,42870.06803295091,42691.390735460845,42512.353295089044,42333.27226609684,42154.44724533425,41976.16021629528,41798.675153102275,41622.23785232103,41447.07596177228,41273.39917727162,41101.3995803221,40931.25209206325,40763.11502113693,40597.13068548242,40433.42609035982,40272.113647078935,40113.291918952826,39957.046382883396,39803.45019671272,39652.564964036115,39504.441489574434,39359.120519449614,39216.633461808095,39077.0030842008,38940.244184967385,38806.36423659661,38675.36399965566,38547.238106409204,38421.97561369408,38299.5605249874,38179.97228191306,38063.18622568233,37949.174029165784,37837.904100452695,37729.341958876204,37623.45058457359,37520.19074271498,37419.52128357569,37321.39941965011,40321.04478971841,43310.16587901243,46289.26911443258,49258.31189895175,52217.08375873849,55165.19840283881,58102.09145990639,61027.02112092486,63939.06965132247,66837.14440667017,69719.97755078584,72586.12412368973,75433.9584485834,78261.66911999063,77971.9891912097,77677.18777660567,77375.89534737378,77067.40049385495,76751.42009382679,76427.95377625631,76097.19069988355,75759.44900937779,75415.13580835029,75064.72007879557,74708.71382011565,74347.65845262558,73982.1146381957,73612.65436442089,73239.85457312349,72864.29188551237,72486.53814533545,72107.15660586058,71726.69865046244,71345.70097512993,70964.68318393298,70584.14576147452,70204.56839344905,69826.40861005592,69450.10072869241,69076.0550730174,68704.65744570055,68336.2688322875,67971.22531380352,67609.83816607579,67252.39412431173,66899.15579222419,66550.36217592434,66206.22932387811,65866.95105540706,65532.69976147628,65203.627262817776,64879.86571175903,64561.528525439324,64248.71133938031,63941.49297161575,63639.93638876692,63344.08966656432,63053.986938358124,62769.64932612454,62491.08584936229,62218.29430808146,61951.262136819074,61689.967227272886,61434.37871773137,61184.45774799707,60940.15817895669,60701.427276349175,60468.206358626696,60240.4314090982,60018.033652794475,59800.94009870284
E,0.0,3.7483988129876367,6.369715156308649,8.408016230813825,10.183001984545058,11.886931902887637,13.640099856637166,15.522688973252073,17.593129102930003,19.898727549761787,22.481869682006476,25.38367338309458,28.646172245210437,32.313637768967524,36.433383088966345,41.05623567621705,46.236775953245214,52.03338534210892,58.50811537407791,65.72637040758916,73.75638550157926,82.66847568032956,92.53403217026282,103.42424491875451,115.40853891150918,128.55272463449947,142.9168804176458,158.55300585131664,175.50250986217688,193.79362252488136,213.43884371906702,234.4325612448682,256.748982751061,280.34052691705324,305.13680778482313,331.04432140687396,357.94690725493706,385.70701107902846,414.1677255085458,443.155534837284,472.4836463150671,501.955756249046,531.3700782254169,560.5234539558104,589.2153740301508,617.2517541593302,644.4483392885011,670.6336398122571,695.6513376731352,719.3621324911574,741.6450268655854,762.3980741919987,781.5386310575703,799.0031694336318,814.7467118501379,828.7419561795599,840.9781563998393,851.4598226099365,860.2052984597483,867.2452677600028,872.6212349705918,876.3840170154515,878.5922768053656,879.311122225541,878.6107883291811,876.565415164009,873.2519290807281,868.7490315234269,863.1362961450632,856.4933725705606,848.8992931790476,840.431877824122,831.1672303854091,821.1793203777584,810.5396424728847,799.3169466549135,787.5770317856152,775.3825955533111,762.7931340841717,749.8648848746333,736.6508071331201,723.2005940772707,709.5607122027653,695.77446300867,681.8820631220611,667.9207392043244,653.9248344377958,639.9259237809654,625.9529355413151,612.0322771461415,598.187963293401,584.441744937335,570.8132378084796,557.3200493860684,543.9779034344381,530.8007613856244,530.7833285208662,540.7872361029227,558.8508130695477,583.5725993752832,614.007244106289,649.576546923834,689.9953852269807,735.2115864903546,785.3583225509669,840.7173226314806,901.6910939076735,968.782358938844,1042.579024450222,1123.743148341125,1193.7959332769212,1256.3291758534228,1313.5581942015656,1366.8269553894124,1416.9278818820048,1464.305381878367,1509.1859960084482,1551.661997834262,1591.7453278221308,1629.4025209376152,1664.5773842401675,1697.205721822023,1727.2248512324188,1754.5796722833297,1779.226425437787,1801.1348805271555,1820.2894438965884,1836.6895105154126,1850.3492837448325,1861.2972181928192,1869.5751970127205,1875.2375256356468,1878.3498039016438,1878.9877244848285,1877.2358352628726,1873.186295527144,1866.9376498347567,1858.5936383517976,1848.2620584091717,1836.0536884913884,1822.0812828806547,1806.4586426043775,1789.2997661297304,1770.7180813748375,1750.8257590306491,1729.7331058830232,1707.5480357651704,1684.3756149318353,1660.3176780044805,1635.4725101681424,1609.934590983343,1583.7943949892679,1557.138244197616,1530.048207591676,1502.6020428355937,1474.8731755493068,1446.930711701832,1418.8394789076538,1390.6600926676374,1362.4490438684097,1334.2588041351014,1306.1379459155967,1278.1312744549543,1250.2799690924578,1222.6217315776928,1195.1909393537865
I,10.0,9.007552072362456,8.77909737882622,9.038709176618145,9.634439754157558,10.486181563572359,11.55591143333158,12.830736999206808,14.313281263878508,16.0162806588178,17.95960662088261,20.168683630218805,22.67371306793205,25.509361710237933,28.714715883822713,32.33338286602941,36.413666146102045,41.00876565684952,46.17696666489697,51.98178667604364,58.49205143016362,65.78187065463419,73.93048293714469,83.02193778401883,93.14458242612213,104.3903219373857,116.85362441216418,130.6302489007784,145.8156829738774,162.50328937854894,180.78217711722357,200.7348308405594,222.4345526263798,245.94279047926946,271.3064463300262,298.55527087848515,327.6994613515017,358.7275795903351,391.60490096744763,426.2722894569633,462.6456716629439,500.6161544915534,540.05079978575,580.7940372597627,622.669667054764,665.4833774035267,709.0256828713722,753.0751753648353,797.4019737959463,841.771258568659,885.9467830513008,929.6942647486153,972.7845726865241,1014.9966432762911,1056.120073450658,1095.9573561645093,1134.3257386461814,1171.0586975155077,1206.0070367023322,1239.0396238364988,1270.0437884156092,1298.9254106796795,1325.608733899356,1350.0359349323633,1372.1664886615451,1391.9763615432273,1409.4570682046735,1424.6146230546808,1437.468416409265,1448.0500418561635,1456.402098631871,1462.5769897813025,1466.6357339067392,1468.6468054613001,1468.6850158553366,1466.8304451580082,1463.1674319132096,1457.7836265601816,1450.7691121568355,1442.2155945435072,1432.2156627468512,1420.8621192946302,1408.247379176547,1394.4629354269466,1379.5988887044903,1363.7435377840761,1346.983027540153,1329.4010507716985,1311.0786000821481,1292.0937659682245,1272.5215772769925,1252.4338802488696,1231.8992524653438,1210.982948154622,1189.746871468333,1168.249574520813,1140.9917952784233,1116.5657116519556,1096.4560372902101,1081.6447977637765,1072.7630707295202,1070.208462770968,1074.234574852956,1085.0180123950472,1102.7077511614855,1127.4609171218342,1159.4683139995036,1198.9723639584672,1246.279531752433,1301.7687880995459,1365.8972340531989,1435.7936711936184,1509.523198288561,1585.7454543785589,1663.4980856429904,1742.0595106210938,1820.8620929256142,1899.4374504310003,1977.3822948631864,2054.3373995903435,2129.974955861704,2203.991270212868,2276.1028356300494,2346.044500874881,2413.568907665668,2478.446653662909,2540.466827093518,2599.4376823392236,2655.1873077785817,2707.5641921750853,2756.437633244672,2801.6979576684985,2843.256539569845,2881.045616825427,2915.017913150295,2945.1460797543414,2971.421974241309,2993.855796809146,3012.4751050709906,3027.3237292125395,3038.4606089352146,3045.958572863636,3049.9030799481234,3050.3909409731664,3047.529036677942,3041.4330472772754,3032.2262064008,3020.038090693483,3005.003454581737,2987.261118037242,2966.952913589193,2944.2226973624456,2919.215427565724,2892.0763126279144,2862.950030084482,2831.980016350123,2799.3078266750153,2765.072563865517,2729.410373749369,2692.4540048727104,2654.3324295231246,2615.1705228705546,2575.0887967973404,2534.203184840745,2492.624874587462,2450.4601838313056
A,0.0,0.0,0.08418181740342398,0.22386607816266418,0.40373928457419694,0.6162803238891957,0.8585867055920922,1.1305736074233215,1.4339603586125873,1.7717097371118444,2.1477284406844173,2.566718792914094,3.034118452904412,3.556091566912694,4.139549967976697,4.792191577684131,5.522547887857323,6.340034901806164,7.255003116996853,8.2787825688694,9.423718947358836,10.703196542796318,12.13164341390862,13.724513806509488,15.498242585676461,17.47016637334074,19.658406303311086,22.08170790761474,24.759234707639084,27.71031364864957,30.95413259120274,34.50939260465301,38.39392067638151,42.6242514677453,47.21518966883487,52.17936704909303,57.52681018862572,63.264535862610984,69.39619097171371,75.9217527032538,82.83730232851235,90.134882862539,97.80244699694818,105.82389758150434,114.17921880813563,122.84469244595171,131.7931902339978,140.99453102812618,150.41588960373045,160.0222431427081,169.77684132145828,179.64168646076132,189.57801126419443,199.54674311532233,209.50894558520696,219.4262295947235,229.26112847471552,238.9774328878357,248.5404831583662,257.91741796066214,267.0773795213922,275.991676488384,284.6339064137833,292.98004040363327,301.00847291743037,308.7000399803036,316.0380092190447,323.00804517303965,329.5981532829434,335.79860584276014,341.60185303189354,347.00242193757896,351.99680624758236,356.5833490487087,360.7621209171189,364.5347952385453,367.90452245551256,370.87580470854186,373.45437212184885,375.6470617830765,377.4617002822108,378.90699050745286,379.9924032454277,380.7280739992874,381.1247053203224,381.1934748457528,380.9459491464209,380.39400341206084,379.5497469375673,378.42545432010536,377.03350223290613,375.3863116061319,373.4962950172756,371.3758090722554,369.03711154282195,366.49232301531686,363.75339279949975,361.123628283751,358.8237228440109,357.0214867675749,355.84654383703213,355.4021021230203,355.77425610743785,357.03925318847587,359.26911917396944,362.53598962239215,366.91544176556994,372.4890692819391,379.346492283167,387.5869493291127,397.32057798244455,408.2381121079161,420.1233210489341,432.81837515337963,446.20194086690026,460.1753342595668,474.6537993108054,489.5610579070652,504.8259553458085,520.3804512724737,536.1584753864664,552.0953382140068,568.127496143828,584.1925395820049,600.2293178742768,616.1781436376402,631.9810380730515,647.5819913299767,662.9272203640795,677.9654124329322,692.6479463394916,706.9290863495476,720.7661457536416,734.1196185567463,746.9532789153017,759.2342488019714,770.9330350306853,782.0235372637584,792.4830289813253,802.2921136447349,811.4346584482693,819.8977081424373,827.6713814396065,834.7487524896457,841.1257198489918,846.8008652694868,851.7753045108434,856.0525322392224,859.6382629198476,862.5402694487846,864.7682211022009,866.3335222141662,867.249152829271,867.5295124164365,867.1902675771158,866.2482045360683,864.7210870670591,862.6275203798589,859.986821379202,856.8188956010289,853.144121036347,848.9832389681559,844.3572518717576,839.287328362945,833.7947151215222,827.9006556687783
IH,4.0,2.252321816119055,1.4033082921240523,1.0010085362135872,0.8250958545021829,0.7674633530872491,0.7748445405417426,0.821051818969817,0.8934425290787785,0.9862670225704415,1.0973722069592151,1.2265558846736215,1.3747414011762915,1.5435643949475126,1.735168969245989,1.9521114694496982,2.1973199802306516,2.4740825799379635,2.7860499106987824,3.1372439241918535,3.5320678078586267,3.9753136213336298,4.472164862863249,5.028191452676457,5.649334692214744,6.341879771281784,7.11241344138277,7.967764622169495,8.914926014867675,9.960955305561772,11.112855280611686,12.377433153601661,13.761140598115283,15.269897341197831,16.908902612920553,18.682440152337357,20.59368370326768,22.64451085351461,24.835333550940863,27.164953575448223,29.63045061369455,32.22710938981392,34.94839062796403,37.785948591037126,40.72969571987329,43.7679126686436,46.887399966671595,50.0736657796963,53.31114289878982,56.58342721025505,59.87352950583136,63.16413254997687,66.43784576958407,69.67745069119937,72.86613123276872,75.9876840726892,79.02670548763155,81.9687522035361,84.80047488728701,87.50972388083774,90.08562762021754,92.51864487655092,94.80059250283887,96.92465077447947,98.88534868461677,100.67853171222563,102.3013146380765,103.75202195862913,105.03011835729522,106.1361315520667,107.07156966234032,107.83883503819087,108.44113628277833,108.88239998160205,109.16718343778263,109.30058950573235,109.28818442035569,109.13591933799526,108.85005614040178,108.43709790493594,107.90372431322797,107.25673215634612,106.50298099649473,105.64934396244195,104.70266358715216,103.66971254024364,102.55715906363416,101.37153688479653,100.11921935717446,98.80639756031178,97.43906208200349,96.02298820024821,94.56372418302037,93.06658242803218,91.53663317195645,89.97870050835884,95.92034248195675,97.58187923153922,97.2944765486296,96.25509926237358,95.08817496541013,94.12476830997039,93.54322639692586,93.44138984669453,93.87461112988885,94.87640120278476,96.47004356635088,98.6753690689338,101.5128443271043,105.00611047446384,109.1835931222082,114.07953483824195,119.58204267860242,125.55025767890405,131.85588194826005,138.39362672025516,145.08013733880375,151.84958600688998,158.64908679367346,165.43494327294127,172.1698874991838,178.8211751617198,185.35933499050657,191.75738643745228,197.9903783538083,204.03514007945674,209.87016802604586,215.47559460144853,220.83320337507809,225.92646632138505,230.74058722981917,235.26254104207982,239.48110277559357,243.3868623771073,246.972223705153,250.23138712317223,253.16031606951228,255.75668857274488,258.01983507968856,259.95066421339266,261.55157821726226,262.82637989695627,263.78017286408055,264.41925683063937,264.75101961296474,264.78382738825565,264.52691461392726,263.99027487626324,263.1845537857481,262.1209448863183,260.81108939812407,259.26698047101905,257.50087249101074,255.52519585588115,253.35247752019168,250.99526750458475,248.46607146999895,245.77728937414514,242.94116015514427,239.96971232520332,236.87472030507575,233.667666287178,230.35970738090987,226.96164776720684,223.48391556987457,219.9365441380553
IN,0.5924479276375441,1.140124262327086,1.5876150444481318,1.9877539682837024,2.3730348361201203,2.7644937662997675,3.1768312118687367,3.6213840301990934,4.1078685411051765,4.645422196392964,5.243246493204408,5.9110248459941435,6.659215156690454,7.4992742927881295,8.443847146417497,9.506938690066743,10.704079037398305,12.052486413651012,13.571229672969025,15.281389724976874,17.20621746564314,19.371284275530115,21.804619708330655,24.536829583733557,27.601186319561908,31.03368203338786,34.87303379710648,39.160629556357506,43.940402773648906,49.25862397858814,55.16359826979443,61.70525954925707,68.93465497448365,76.90331680958643,85.66252347341562,95.26245694364869,105.75126949428659,117.17407863994441,129.57191469023448,142.98065001992111,157.4299426084599,172.94222825570867,189.53179592787558,207.20397887311887,225.95449057396462,245.76892952313588,266.62247058224654,288.47975374015255,311.2949738832263,335.01216815629084,359.565691007457,384.8808613700373,410.8747618458758,437.4571663299353,464.5315702835875,491.9962967794368,519.7456514035449,547.6710999728165,575.6624446447435,603.6089761938882,631.4005828375164,658.9287988560752,686.0877792342474,712.775189526935,738.8930030353227,764.3482000862009,789.0533666883325,812.9271920563641,835.8948664249873,857.8883822163798,878.8467429757214,898.7160855644225,917.4497219163658,935.0081072409193,951.3587419222929,966.4760145437883,980.3409934836706,992.941174412098,1004.2701907899403,1014.3274941527832,1023.1180105774546,1030.6517792923332,1036.943578922699,1042.012546372473,1045.8817928458168,1048.5780210162216,1050.1311468651036,1050.573929243095,1049.94160976026,1048.271565190168,1045.6029741797868,1041.976499694186,1037.4339882929899,1032.018187034509,1025.7724785332182,1018.7406344558591,1010.9665875298068,1002.1651478242193,992.5817191569262,982.5311216061484,972.3625640371735,962.4362534877059,953.1087320849961,944.7246224219614,937.6129667373698,932.0867674179692,928.4446819955346,926.9741024264434,927.9550645607858,931.6645982370354,938.381250048723,948.3895975380008,961.7826090212266,978.5315943290125,998.5306220154746,1021.6247514756138,1047.628001101103,1076.334814508764,1107.5274201144816,1140.980610713928,1176.4649158190498,1213.7487851824521,1252.6001746710187,1292.7877795311927,1334.0820659977949,1376.2561915995577,1419.0868655727409,1462.3551759265529,1505.8473940319088,1549.3557579731669,1592.6792302571193,1635.6242224670239,1678.005278188772,1719.6457054226366,1760.3781503207422,1800.0451051773998,1838.4993449514077,1875.6042880786588,1911.2342788423257,1945.2747900374575,1977.6225460488347,2008.185567722705,2036.8831415337881,2063.6457165169986,2088.4147332441244,2111.142389780141,2131.791350057061,2150.3344004635023,2166.754060676093,2181.042154866508,2193.199349418404,2203.234663195283,2211.164956226824,2217.0144024406736,2220.813951771678,2222.6007866428813,2222.4177774432605,2220.3129412360304,2216.3389075273117,2210.5523945158757,2203.0136988373056,2193.7862014160396,2182.935891651199,2170.530911790754,2156.641122996527,2141.3376942721366
D,0.01,0.1576781838809451,0.24083288271091857,0.29264238771240625,0.3295991683817427,0.3600613327118874,0.38839573125666377,0.41700263989098124,0.4473155002653835,0.48030099278947164,0.5167135234681891,0.5572280071094795,0.6025118934787511,0.6532667218366662,0.7102544184739509,0.7743160690001557,0.8463871381355293,0.9275111941569736,1.018853199701154,1.1217128974545705,1.237538518733616,1.3679408585358444,1.5147076325247777,1.6798179287657329,1.8654564742499704,2.074027346120443,2.3081666678739925,2.57075374288245,2.864919995130659,3.1940550159578214,3.561808963268978,3.972090534662104,4.429059746970027,4.937114809885029,5.5008724867341705,6.1251414940581395,6.814888702098546,7.575198154277842,8.41122321370769,9.328132452427802,10.331050204735897,11.42499298828701,12.614803234892078,13.90508194926697,15.30012201530275,16.803843888786346,18.41973535257762,20.150796871072007,21.99949387672375,23.967717067701457,26.056751509743986,28.267255034734823,30.59924613008379,33.05210123113742,35.624561075020026,38.3147455567415,41.12017635203494,44.03780643816187,47.06405555326323,50.19485058416229,53.425669857823564,56.751590328005776,60.16733669062956,63.66733152354376,67.24574562346125,70.89654780000579,74.6135534797712,78.39047156836727,82.22094911257385,86.09861339552536,90.01711118346493,93.97014492171907,97.95150574928829,101.95510326534497,105.97499203681538,110.00539488418781,114.04072302301861,118.0755931717296,122.1048417627327,126.12353641427107,130.12698483525136,134.11074134539328,138.07061119885682,142.0026529017241,145.90317871287078,149.76875351438284,153.59619223223353,157.38255598086022,161.12514709695196,164.82150321851333,168.4693905553947,172.06679648722795,175.61192161428647,179.10317137637824,182.53914734462276,185.91863828097547,187.2721109290874,188.714958616522,190.18279938044793,191.64631699158195,193.09420013900325,194.52453024209925,195.94036864271698,197.3474594056317,198.75301832840495,200.16509382848005,201.5922383999593,203.04335477073968,204.52764396721173,206.05461487757754,207.6341320033956,209.276487428386,210.99248831793594,212.79125872755978,214.67980389182358,216.66319916983235,218.74493615181373,220.92725259518303,223.21139606609648,225.59781861287715,228.08631499587474,230.6761193856037,233.36597340791351,236.15417537754033,239.0386177639072,242.01681771764314,245.08594385295086,248.242841323942,251.48405643352922,254.80586147043726,258.2042801064362,261.67511344655355,265.2139666710029,268.81627611218374,272.4773365551115,276.19232852254106,279.9563452982541,283.76441944748706,287.61154860804584,291.4927203462203,295.40293589594,299.3372326260277,303.2907051076597,307.2585246812776,311.23595744850354,315.2183806395631,319.20129732993144,323.1803495011298,327.15132945965206,331.11018964480735,335.05305087081416,338.97620906081096,342.87614054063374,346.7495059683681,350.59315298194383,354.404117651556,358.17962482662836,361.917087468548,365.61410506066244,369.2684611861993,372.8781203630095,376.44122422148655,379.9560871088258,383.4211911990784,386.83518118435046,390.19685861809694
R,0.0,2.044771592948002,3.257092274722324,4.082090574506296,4.7417650699237655,5.349794025008119,5.967091122555289,6.628931620783518,7.358350318183519,8.172863724027435,9.087922556463473,10.118752617153463,11.281398482500567,12.593374217001678,14.074124071581272,15.74539640308125,17.631584020830942,19.760058654802208,22.16151390436284,24.870323752904874,27.924919456201206,31.368184773444806,35.24786730756884,39.617001740689325,44.53433878231909,50.06477160092962,56.27974936750754,63.25766534307261,71.08420477797482,79.85263588826766,89.66402549844878,100.62735978163035,112.85955009100695,126.48530435586537,141.6368460750287,158.45346568630237,177.08089304551928,197.670484835604,220.37822675804827,245.36355704578762,272.788024802912,302.81380349637004,335.60208616065137,371.3113941244746,410.0958349982865,452.1033480463127,497.47397580135726,546.3381998820408,598.815376569958,655.0123040173871,715.0219482654417,778.9223498702246,846.7757271764876,918.6277864403785,994.5072433437491,1074.4255551729177,1158.3768582128218,1246.3381008390402,1338.269359432893,1434.1143216147857,1533.8009193702765,1637.2420933882584,1744.3366692791892,1854.9703262201626,1969.0166389038493,2086.3381743700984,2206.7876262949653,2330.2089705299286,2456.43862705863,2585.306615011812,2716.6376889035287,2850.2524457814156,2985.9683944867,3123.600979668661,3262.9645545727412,3403.8732979064025,3546.14207127188,3689.587214734224,3834.027279063673,3979.2836940536927,4125.181373072197,4271.549254657661,4418.220782529245,4565.03432584695,4711.833541940905,4858.467684035293,5004.79185672929,5150.667222171884,5295.961159986487,5440.5473840715285,5584.3060194309965,5727.123642180097,5868.893285831311,6009.514416900126,6148.892882782184,6286.940834748701,6423.576628788374,6562.486197903335,6701.456215511682,6839.466310954361,6976.125099512734,7111.384985108367,7245.395253341865,7378.424751214483,7510.820339239246,7642.984301087098,7775.3622150799365,7908.436894081866,8042.726048485456,8178.782369248467,8317.195272724457,8458.593843483648,8603.633422405235,8752.911780333394,8906.947777313242,9066.18326580873,9230.991797602625,9401.687802183551,9578.53421001606,9761.748205301168,9951.505383388976,10147.942721642637,10351.160739320376,10561.225142607103,10778.168171211386,11001.989797257193,11232.658877441523,11470.114323318005,11714.266328959053,11964.99767731819,12222.165134152223,12485.600929758602,12755.114322900581,13030.493237345663,13311.505958890126,13597.902879209878,13889.418272103565,14185.77208748989,14486.671748749668,14791.813939559534,15100.886367166635,15413.569490036525,15729.538198915905,16048.463441543381,16370.01378247755,16693.856890761483,17019.660949380246,17347.095981672242,17675.835091009132,18005.555611149448,18335.940165688,18666.67763595968,18997.464037607795,19328.003306791506,19658.007997683704,19987.19989350102,20315.310533814132,20642.08166131236,20967.265591546304,21290.625509450503,21611.93569666034,21930.98169378881,22247.56040192531,22561.480127665607,22872.56057598509,23180.632795231995
G,10.0,13.327489725970517,16.319955434225868,19.260266426124087,22.32871377068041,25.649218555431545,29.315951418117894,33.40883350884889,38.00271125090323,43.172931224410824,48.99886978955079,55.566303327933994,62.969121252874,71.31066231546845,80.70482540209031,91.2770291744375,103.16504783251564,116.51972007356625,131.50550773624667,148.30086574456212,167.09837387838772,188.10457290666045,211.53944281817016,237.6354598602065,266.6361727069648,298.7942472521024,334.3689450195841,373.6230223808838,416.81906638074287,464.21531689065114,516.0610619583177,572.5917306167527,634.0238413834825,700.5499912743662,772.3340857296864,849.507011669266,932.162942677038,1020.3564375602023,1114.1004535279108,1213.3653467730492,1318.0788810160082,1428.1272134771152,1543.3567821767679,1663.5769817605237,1788.5634891948844,1918.0620862612393,2051.792822148371,2189.454365060134,2330.7284045347465,2475.2839838576106,2622.7816623872973,2772.8774289461553,2925.226308189103,3079.4856210109733,3235.317876927572,3392.393290639816,3550.391926590587,3709.0054843588678,3867.9387444316894,4026.9106985426333,4185.6553916826115,4343.922504388306,4501.477704289043,4658.102795406185,4813.5956925768505,4967.770246806031,5120.455945493581,5271.497509459326,5420.754406597276,5568.100299902105,5713.422445581274,5856.6210550324695,5997.608632653459,6136.309299775216,6272.658113476772,6406.600387653278,6538.09102246475,6667.093847186325,6793.580980503934,6917.532211443349,7038.93440337594,7157.780922901472,7274.071094857129,7387.809684233261,7499.006405381196,7607.675458568353,7713.835093663199,7817.50720050997,7918.716925374265,8017.492312699493,8113.86397130569,8207.864764081527,8299.52952016334,8388.894768558024,8475.998492146397,8560.879900997323,8655.103815247716,8758.22067486082,8870.268293627847,8991.433511195988,9122.059241765344,9262.646483215332,9413.853746553921,9576.49571359887,9751.542335332777,9940.119082144642,10143.508658924466,10363.154194622612,10600.663691325419,10857.815353922973,11119.513408809133,11386.973599893423,11660.827452381574,11941.326296597066,12228.470461909452,12522.092030283478,12821.908581632259,13127.558726159401,13438.626144031738,13754.65632844918,14075.168655383826,14399.665419893803,14727.63886308248,15058.576828137835,15391.967442859495,15727.303076045175,16064.08372234447,16401.819913425494,16740.035219090125,17078.268381801357,17416.07511655715,17753.02960174678,18088.72568340596,18422.777813798348,18754.82174466025,19084.51499524626,19411.53711521097,19735.589762191576,20056.396613638466,20373.70313194655,20687.276201270895,20996.90365358481,21302.393700584387,21603.574286991276,21900.29237968551,22192.413205941153,22479.819452864387,22762.410438968367,23040.101267679504,23312.821971470148,23580.516654264182,23843.14263877263,24100.66962449184,24353.078861240083,24600.362342321496,24842.52202068831,25079.56905082302,25311.523058478448,25538.411439893138,25760.268691638623,25977.13577185012,26189.05949323905,26396.09194798055,26598.289964307798,26795.71459442332,26988.430633152017
