series,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-04,2020-07-05,2020-07-06,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-11,2020-07-12,2020-07-13,2020-07-14,2020-07-15,2020-07-16,2020-07-17,2020-07-18,2020-07-19,2020-07-20,2020-07-21,2020-07-22,2020-07-23,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-07-31,2020-08-01,2020-08-02,2020-08-03,2020-08-04,2020-08-05,2020-08-06,2020-08-07,2020-08-08,2020-08-09,2020-08-10,2020-08-11,2020-08-12,2020-08-13,2020-08-14,2020-08-15,2020-08-16,2020-08-17,2020-08-18,2020-08-19,2020-08-20,2020-08-21,2020-08-22,2020-08-23,2020-08-24,2020-08-25,2020-08-26,2020-08-27,2020-08-28,2020-08-29,2020-08-30,2020-08-31
S,47286.3,47269.12422112817,47259.18008539159,47244.03247858955,47221.41454080827,47188.228047147015,47140.67363994345,47074.539497241996,46985.73840422685,46870.949445715254,46728.11695373229,46556.63131824804,46357.199772339955,46131.539822489314,45882.03284635087,45611.419990621675,45322.56971885557,45018.31623472405,44701.35614721355,44374.18861925382,44039.08605167868,43698.08520151523,43352.99133628374,43005.39021964988,42656.66437760176,42308.011290093986,41960.46199439551,41614.89916618821,41272.07413680434,40932.62256546126,40597.07865439001,40265.887901189424,39939.4184468452,39617.9711137464,39301.78824544511,38991.06146549644,38685.93847099504,38386.528970411935,38092.90986702537,37805.12977992486,37523.21298506295,37247.16284962952,36976.96482440825,36712.58905088654,36453.992632779096,36201.12161528764,35953.91270981832,35712.29479695896,35476.190236217364,35245.51600727547,35020.18470425748,34800.105401685585,34585.1844083492,34375.32592319438,34170.43260550565,33970.406070065015,33775.14731659834,33584.55710162895,33398.53625982688,33216.98598104754,33039.80804847736,32866.90504262936,32698.180515345382,32533.53913745098,32372.886823264438,32216.130834773085,32063.179867951458,31913.944123399415,31768.33536321913,31626.266955822633,31487.653910162313,31352.41290070168,31220.46228429003,31091.72210996908,30966.114122620536,30843.56176125843,30723.99015267712,30607.326101084178,30493.49807427463,30382.43618683921,30274.072180842304,30168.339404355138,30065.1727881851,29964.50882110254,29866.285523831317,29770.44242203812,29676.920518527928,29585.662264828326,29496.611532323463,29409.713583078992,29324.915040482003,29242.163859804445,29161.409298784933,29082.601888311532,29005.693403277244,28930.63683367028,28857.38635595256,28785.89730477227,28716.126145049413,28648.030444467382,28581.56884639804,28516.70104328319,28453.38775049097,28391.590680662062,28331.27251855718,28272.39689641449,28214.928369822992,28158.832394115554,28104.075301283436,28050.62427741223,27998.447340637766,27947.51331961906,27897.791832524355,27849.253266525167,27801.86875779256,27755.610171988952,31840.923583873093,35916.42622841934,39980.77255456495,44033.28333853305,48073.16929337542,52099.47687609074,56111.04079583264,60106.44059758555,64083.95856264114,68041.53636876176,71976.72836116908,75886.64981791902,79767.91921008886,83616.59415517455,83297.6280662691,82965.70613366846,82618.27917855525,82253.94575001945,81871.99575669506,81472.1515416114,81054.42035506229,80619.00968030527,80166.2778458077,79696.70422809749,79210.87011597541,78709.4451846664,78193.1767596304,77662.8803369596,77119.4305703458,76563.75236193443,75996.81193708818,75419.60791683923,74833.16247067206,74238.51266221367,73636.70210698301,73028.77305410411,72415.75898880963,71798.67783350687,71178.52580467275,70556.27196255034,69932.8534716185,69309.17157276852,68686.0882534197,68064.42358959785,67444.95372428375,66828.40943899991,66215.47527045348,65606.78912085529,65002.942309027836,64404.4800093332,63811.90202653287,63225.66385669126,62646.17798692901,62073.81539002291,61508.90717336392
E,0.0,17.175778871831,23.68475883404202,34.09541386927914,49.89426887670456,73.1019087626185,106.03593421365542,150.96289007237942,209.5714050730495,282.44608257003904,368.7893580389896,466.5171219154499,572.64524344044,683.7761446029947,796.527891820841,907.8351691858715,1015.1184071147976,1116.348209823359,1210.038655369192,1295.1984522550824,1371.261329379211,1438.0099136668207,1495.5017961649442,1544.0025535658124,1583.92788490077,1615.7953954283857,1640.185612041186,1657.7113178402499,1668.9940836560722,1674.6468382679407,1675.2613816855992,1671.3998585490651,1663.5893411834782,1652.3188060455839,1638.037913137753,1621.157110458877,1602.048682868502,1581.0484468779057,1558.4578608888849,1534.5463758116255,1509.553895511207,1483.693251842389,1457.1526266951819,1430.0978748778539,1402.67471800973,1375.010791899246,1347.2175389887093,1319.3919440503294,1291.618115981858,1263.9687217273795,1236.5062803998972,1209.2843268918168,1182.3484548498345,1155.7372490346868,1129.4831169164809,1103.6130289738198,1078.1491766457339,1053.1095562859775,1028.5084868308534,1004.3570682440181,980.6635871653934,957.4338755803097,934.6716277482276,912.3786800929836,890.5552582609319,869.2001951000983,848.3111229017057,827.8846428734092,807.9164744790156,788.4015869797075,769.3343152440873,750.7084616559008,732.5173857363699,714.7540829100495,697.4112536765819,680.4813643033751,663.9567000240082,647.8294116121499,632.0915560992662,616.7351323148328,601.7521118487732,587.1344659661852,572.8741889429876,558.9633182369496,545.3939518607817,532.1582632818216,519.2485141356474,506.6570650081199,494.37638451136155,482.3990568535587,470.71778807983605,459.3254111414278,448.21488993265297,437.3793224195215,426.81194296990384,416.50612398288786,406.4553769040291,396.653352703515,387.0938418856667,377.7707740905639,368.6782173417936,359.8103769882875,351.16159438284853,342.7263453351865,334.4992383730329,326.4750128411142,318.6485368643898,311.0148051989484,303.56893699127795,296.3061734642271,289.2218755458447,282.31152145537794,275.57070425900895,268.9951294063955,262.58061225772525,256.32307560978575,250.2185472284748,255.1456918613194,270.2437259682305,294.1576954312725,325.91370012744204,364.8968760114203,410.8270796920251,463.7353606254959,523.943822069587,592.0507501598228,668.9221063453202,755.6897269510866,853.755888015813,964.8032639517355,1090.808700066841,1204.5688926541147,1311.0820692364891,1413.1990839249947,1512.5092604643903,1609.8516234551826,1705.61248531325,1799.9006630076233,1892.6523649036824,1983.6955096331612,2072.790519828604,2159.65734717189,2243.9943027735153,2325.491864889613,2403.8432585254986,2478.752815231772,2549.9426770316686,2617.1581618742803,2680.171975666596,2738.7873889916677,2792.840466423997,2842.201426018094,2886.7752061089604,2926.5013201899314,2961.3530849860576,2991.3363101112627,3016.487539020851,3036.8719300666603,3052.5808634021473,3063.7293545435664,3070.4533489489468,3072.9069644430056,3071.259740100835,3065.693941678862,3056.4019651705435,3043.5838718310697,3027.4450802651836,3008.194234053758,2986.0412570052513,2961.1956025103073,2933.864698667232
I,6.0,3.5999999999999996,4.167537432737365,5.268841748072312,7.146441335123129,10.119601061565769,14.616049623227727,21.163309777485566,30.342813215285105,42.70078906286783,58.63330433875895,78.28477840804263,101.49826823267793,127.83081715784724,156.61953586398067,187.07140398299225,218.35232938866997,249.66035184662096,280.27709560895187,309.5978578674496,337.1439529171462,362.56198250053865,385.6145006881227,406.1657712724054,424.1653936336289,439.6317150868437,452.63624270004607,463.2897337922642,471.7302659996449,478.1133362749965,482.6038830618777,485.37004012785866,486.5783922593646,486.3904955358149,484.9604360954686,482.43322273053934,478.9438346526824,474.6167727455055,469.5659884064528,463.8950875006254,457.69772747772436,451.0581432238448,444.05175185928704,436.745798710498,429.2000163961834,421.46727670530424,413.5942210252829,405.62185979144044,397.58613502808515,389.5184427564235,381.4461140386736,373.39285486402224,365.37914608518724,357.4226052852272,349.5383128735934,341.73910494219217,334.03583550658016,326.43761075334425,318.95199784220944,311.58521069329515,304.3422750433628,297.2271748925741,290.2429822944723,283.3919722731975,276.67572448791566,270.0952131080979,263.6508862165026,257.3427359205168,251.17036022731241,245.13301762404797,239.22967520077634,233.45905106028553,227.81965167517012,222.3098047773015,216.92768829781204,211.67135581601042,206.53875892260587,201.52776685557245,196.63618372531528,191.8617636089325,187.20222376077982,182.6552561577571,178.21853757232446,173.8897383438265,169.66652999891443,165.5465918543993,161.52761672046722,157.60731580859954,153.78342293655044,150.0536981121511,146.41593056836481,142.86794131376539,139.4075852553183,136.03275294389886,132.74137198728036,129.53140817028168,126.40086631729807,123.34779092848399,120.37026661735166,117.46641837444068,114.63441167895695,111.87245247783153,109.17878704947591,106.55170176757886,103.98952277857236,101.49061560486709,99.05338468459806,96.67627285741142,94.35776080474523,92.09636645209724,89.8906443399163,87.73918496899152,85.64061412553266,83.59359219052826,81.59681343742675,79.64900532170256,77.74892776543815,89.0380233803589,98.29567939286406,107.17987056691798,116.80727562886827,127.9228335036006,141.02756528604579,156.47403237185898,174.5369975696658,195.46541240787684,219.5206592929083,247.00496686471269,278.2830520930782,313.79929745447777,354.09212484895846,399.8066594704193,448.25945471711447,497.97103603513597,548.1368420487008,598.3238963223326,648.2972895908932,697.921520241,747.1051008929614,795.7702180384393,843.8369168098981,891.2157064899893,937.8050325937826,983.4915337300379,1028.151853009717,1071.655267654955,1113.8666883813423,1154.6497496094746,1193.869813084431,1231.3967700884737,1267.1075677545127,1300.8884124678943,1332.6366232693135,1362.2621234438357,1389.6885706498322,1414.854135808695,1437.7119489465597,1458.2302364634768,1476.3921790325749,1492.1955226094365,1505.6519769750394,1516.786436976723,1525.6360613210427,1532.2492425732898,1536.684500099982,1539.0093252204415,1539.2990049716163,1537.635447783471,1534.1060311409794,1528.80248808464,1521.8198462664911
A,0.0,0.0,1.4276183416288337,3.339146086342192,6.0395267304645905,9.945063176095028,15.62335341528666,23.811926117857347,35.40719973882517,51.4100916301853,72.83007357794745,100.5699464378402,135.32317177556422,177.50743737438918,227.24132323074025,284.357566201075,348.44081039133164,418.8779051852189,494.91154644150265,575.6912151556024,660.3180188037184,747.8819531771609,837.491346595639,928.2949811052705,1019.4977617040365,1110.3709493093627,1200.2579767747254,1288.576791939737,1374.819558105911,1458.5504158376793,1539.4018855608804,1617.0703761848329,1691.3111646646032,1761.9331261345185,1828.7934235242749,1891.7923081375964,1950.868136889509,2005.992676033733,2057.1667336088153,2104.416141985486,2147.7880964910423,2187.347844996432,2223.175715640072,2255.3644647585797,2284.0169239739225,2309.243923749317,2331.1624701770934,2349.8941519914806,2365.5637555686662,2378.2980668027185,2388.2248400912663,2395.471916126777,2400.1664716932955,2402.4343861614157,2402.3997108194394,2400.184228551922,2395.907092663344,2389.684534836561,2381.6296333100913,2371.852133355889,2360.458313043071,2347.5508880878706,2333.2289503214897,2317.5879349617617,2300.719612457891,2282.712101196413,2263.6498978169325,2243.613922293981,2222.6815753019014,2200.926805697968,2178.4201862396435,2155.2289958990555,2131.4173073552747,2107.046078436138,2082.173246449271,2056.8538244892934,2031.139998937397,2005.0812274826937,1978.7243370938443,1952.1136214562005,1925.2909374654987,1898.2958004353443,1871.1654777334973,1843.935080612323,1816.6376540426015,1789.3042643980032,1761.9640848706197,1734.644478526605,1707.3710789357742,1680.1678683303946,1653.0572532668164,1626.0601377793644,1599.1959940294164,1572.4829304640625,1545.9377575084632,1519.576050824192,1493.4122121726728,1467.4595279284665,1441.7302252917696,1416.2355262532024,1390.9856993668946,1365.99010939012,1341.2572648493958,1316.7948635940963,1292.6098363993447,1268.7083886802538,1245.0960403795887,1221.7776640906304,1198.7575214764965,1176.0392980464421,1153.626136348772,1131.5206676389482,1109.7250420803282,1088.2409575337083,1067.0696869905294,1046.2121047032067,1025.668711064619,1005.4396562873236,986.4292986690651,969.4342754714983,955.1067372353415,943.9917997385011,936.5616677881216,933.2463730088133,934.4613265324369,940.632095660789,952.2169534186481,969.7278189920135,993.7502108998268,1024.962781459534,1064.1568976190456,1112.2565833014871,1167.887814181773,1230.1469701515082,1298.4035335228555,1372.1843089072577,1451.104766873865,1534.8278687283791,1623.0391019854812,1715.4312324189236,1811.6950120927709,1911.51364976965,2014.5597487737284,2120.4939324847783,2228.9646724838735,2339.609002929948,2452.053901211775,2565.918170591665,2680.8146935097625,2796.352944852335,2912.141668732148,3027.791633494115,3142.918389518849,3257.1449638254544,3370.1044348279333,3481.442339940245,3590.818877963941,3697.9108771715846,3802.4135085441358,3904.0417315693035,4002.531467228048,4097.640499192133,4189.149109769332,4276.8604617432375,4360.600740971964,4440.219077471369,4515.587264770837,4586.599298665526,4653.170757179673,4715.238043687533,4772.757514799131
IH,2.0,2.414564159636688,2.186321544718999,2.161221381376081,2.366239365044403,2.866263029976828,3.7645503864639096,5.209353912918299,7.396209234243965,10.560147969600337,14.95314643474192,20.807438734470114,28.292940351970305,37.48144930765646,48.32797592172889,60.672620903954495,74.25967620718187,88.76703649146819,103.83870090917381,119.1148013755484,134.25585588998186,148.95996597608925,162.97311444773695,176.0935520339192,188.17161277623927,199.10632709625241,208.84004744137238,217.35206689956743,224.65196199803796,230.773163917369,235.76707420499872,239.69789578827294,242.63824470795475,244.66553634159195,245.85909487655553,246.29790969798387,246.05895140241014,245.21595869611292,243.83861195072564,241.9920170867453,239.73643293599997,237.12718509714983,234.2147187920355,231.04475192395327,227.65849722159123,224.09292896028325,220.38107531264603,216.55232197352333,212.63271643586097,208.64526528021082,204.61021919490122,200.54534227250156,196.46616352593082,192.38620961699556,188.31721856162235,184.26933472842632,180.25128582905973,176.2705428495182,172.33346402303275,168.44542402264895,164.6109295750161,160.83372268181927,157.11687259365675,153.4628576221241,149.8736378062694,146.35071937451556,142.89521186628616,139.50787870154167,136.18918191302083,132.93932168636053,129.75827128814248,126.64580790165132,123.60153983484636,120.6249305146894,117.71531963636409,114.87194179481472,112.0939428891289,109.38039455727002,106.73030686920448,104.14263948024362,101.6163114231208,99.1502096966573,96.7431967905624,94.39411726971295,92.10180352693322,89.86508080063936,87.68277154253565,85.55369921068117,83.47669155453536,81.45058345090271,79.474219342912,77.54645532817581,75.66616093698798,73.83222063674725,72.04353509467049,70.29902222721341,68.59761806139448,66.93827743036765,65.31997452306777,63.74170330552016,62.20247782942822,60.70133244190098,59.237321908628644,57.809521461435935,56.417026779919766,55.05895391579135,53.734439167577534,52.44263891247837,51.18272940141456,49.953906522619576,48.755385538526994,47.58640080016514,46.44620544279189,45.334071066075275,44.249287401744446,43.19116197129635,42.15901973604032,27.952450734790993,19.69381207954097,14.976294836360218,12.392878394644296,11.125582822820187,10.701835031633532,10.850801707841889,11.419292882961706,12.32299327288166,13.518521543269369,14.987684236573227,16.728814540447345,18.752194255023927,21.077811647800168,23.734447897507458,26.759515623137275,30.092603698732084,33.651302290821334,37.36076749399007,41.16224421055426,45.01285822686701,48.88243569261823,52.7498609553372,56.59993032311004,60.42095602719487,64.20308546062469,67.93720449315089,71.61428091195147,75.22502267605199,78.75975225686128,82.20842335957464,85.56072672918955,88.80624725443022,91.9346459188684,94.93584826570836,97.80022681192031,100.5187689600263,103.08322492062507,105.48623233193734,107.72141588493919,109.78346149240514,111.66816547988546,113.372459992387,114.8944163456951,116.2332284357066,117.38917857502739,118.36358827151945,119.15875651447777,119.77788810562154,120.2250144783392,120.50490930321725,120.6230009935858,120.58528401341205,120.39823066195719
IN,1.2000000000000002,2.19956909279853,2.5521844021969264,2.959411359512923,3.5188817894861257,4.360426165342887,5.656042900902122,7.634547984049128,10.592043790782807,14.891462312086247,20.944362374019857,29.172775282287365,39.95712611771799,53.58291056680544,70.19934785220818,89.79815587919626,112.2138318025561,137.14169758967384,164.16757223979135,192.80277849734483,222.51932023317897,252.78165312978277,283.0730029126491,312.9154207352514,341.88364027698566,369.613345521997,395.80474007541216,420.22240267545726,442.6923849383906,463.09740786799955,481.37088047163854,497.4903218562633,511.47063277049983,523.357542111455,533.2214520885092,541.1518231564486,547.2521753284093,551.6357339514032,554.4217129999804,555.732204923955,555.6896307624287,554.4146955778373,552.0247905555289,548.632782953431,544.3461373556778,539.2663155167356,533.4884068226185,527.1009465602381,520.185884430341,512.8186708278145,505.06843319254006,496.9982191139365,488.6652868079732,480.1214270643534,471.4133037935881,462.58280291314753,453.6673815318518,444.70041125971403,435.7115110256734,426.7268660666161,417.769530794465,408.85971408791494,400.015046222451,391.2508271741756,382.5802564339437,374.0146447695048,365.5636085929682,357.23524774449226,349.03630760378684,340.9723264998506,333.0477694155261,325.2661489845314,317.63013476084,310.1416517086737,302.8019688200241,295.6117787187626,288.5712690585965,281.68018646837265,274.93789374404116,268.34342093312125,261.8955109055982,255.59265995541952,249.43315392955293,243.4151003371643,237.53645685000066,231.7950565665598,226.18863037706325,220.71482673354603,215.37122909941598,210.15537132548306,205.06475117455628,200.09684219409587,195.24910411592225,190.51899194346208,185.90396387029378,181.40148815868957,177.0090490932935,172.7241521128878,168.5443282122589,164.46713769635807,160.49017336015442,156.61106315969832,152.8274724328604,149.13710572190067,145.53770824438135,142.0270670538923,138.60301192755264,135.26341601322594,132.00619626579095,128.82931369860015,125.7307734733919,122.7086248493631,119.76096100982582,116.88591878283295,114.08167827033812,111.3464623988317,108.67853640294535,106.07620725222436,106.16635321825072,108.09297368865211,111.47463715326805,116.21695673355484,122.39029837569129,130.1534793194851,139.70930251433006,151.28165015540338,165.10680065065964,181.4338443096213,200.53071267254074,222.69352920556082,248.25783362431667,277.6108062497805,311.20398335588516,348.87679370869864,390.19959069524697,434.6535774777449,481.72001436535396,530.9198227032383,581.8268419883935,634.067794022069,687.3161849771917,741.2840629314779,795.7136732066859,850.370001897584,905.0346161958843,959.5008958204314,1013.5705868431621,1067.051530991346,1119.7563922571467,1171.5021969200784,1222.110510840101,1271.4080924008922,1319.2278770751366,1365.4101682226333,1409.8039273122552,1452.268074669396,1492.6727287430353,1530.9003275516302,1566.8465902724913,1600.4212898008016,1631.5488184732542,1660.1685390098612,1686.2349210876343,1709.7174708615146,1730.6004662570253,1748.8825150643693,1764.5759558725072,1777.7061238156405,1788.3105040940197,1796.43779641098,1802.146912973189
D,0.01,0.0693798087178315,0.14106798768591056,0.2059796652464546,0.27014612135795424,0.3403995417964241,0.4254986170239322,0.537267757952365,0.6919329773986529,0.9115257221818858,1.2250555054153183,1.669012992927668,2.286783858908085,3.1267985519905914,4.2396191971684605,5.6744721801445746,7.475836491987736,9.680599176303017,12.316083999959092,15.399045098706521,18.9355521592778,22.92159568027574,27.344202823413173,32.18285900444111,37.41105972254993,42.997856908939404,48.90930471768213,55.10974575252791,61.56290783098872,68.23280309675324,75.08443626206432,82.08433814619212,89.2009457471793,96.40485202637367,103.66894840027837,110.9684814129329,118.2810427956669,125.58650952945956,132.86694789042699,140.1064929582548,147.29121280118136,154.40896456639882,161.4492480128321,168.40306061321797,175.26275720046957,182.0219162094731,188.6752138378132,195.21830688636066,201.6477246144557,207.96076962901287,214.15542760012295,220.23028543887636,226.18445747057297,232.01751907542095,237.72944723892385,243.32056744715547,248.79150637152347,254.14314980835985,259.3766053668562,264.4931694315407,269.4942979604702,274.3815807159846,279.15671856009624,283.8215034805739,288.37780104602064,292.82753501841154,297.1726738794994,301.4152190531565,305.5571946291205,309.6006384148371,313.54759416124426,317.40010482556744,321.1602067496251,324.8299246459364,328.4112672962184,331.90622387780127,335.31676084321225,338.64481928680425,341.89231273995006,345.0611253430945,348.15311034894796,351.1700889164062,354.1138491594664,356.98614541955396,359.788697733336,362.5231914713343,365.19127712551153,367.79457022653406,370.3346513736506,372.8130663621035,375.2313263947387,377.5909083660292,379.8932552080957,382.1397762895212,384.3318478588326,386.47081352547156,388.5579847719228,390.594641491415,392.5820325462732,394.52137634258986,396.41386141740514,398.26064703504846,400.06286378970725,401.82161421165273,403.5379733748774,405.21298950418765,406.8476845800494,408.4430549397148,410.0000718733554,411.5196822141117,413.0028089211225,414.45035165474343,415.86318734328535,417.2421707407164,418.58813497486847,419.9018920857764,421.18423355385465,422.4930318836947,423.3607968617631,423.97217797354574,424.437106944659,424.821835494952,425.1672217090569,425.49945295881844,425.83630877855916,426.1908130233625,426.5733720371906,426.9930454197435,427.4583279671038,427.9776627302891,428.5598119518667,429.21415839668555,429.9509783218741,430.7817094340814,431.71591401730063,432.76059599783343,433.920435823423,435.1982899294374,436.59568375020234,438.1132059932141,439.7507898447812,441.5078965028523,443.3836243264793,445.37676580717675,447.48583049443334,449.70904753878347,452.0443576256172,454.4894010079773,457.04150605846104,459.69768110579815,462.4546111486141,465.3086602177434,468.255879589305,471.29202166070127,474.41255903932523,477.6127082234227,480.8874571516843,484.23159584563234,487.6397493545358,491.10641222742595,494.6259837738451,498.1928034286352,501.80118560167995,505.44545346706747,509.1199712242061,512.8191744430761,516.5375981845654,520.2699026626918,524.0108962868569,527.7555559878921,531.4990447907194
R,0.0,0.926486938846951,2.1704260653981637,3.4475073006246406,4.8599549735542285,6.548291115594407,8.71493089999069,11.651207135363421,15.769991743566308,21.640455017790313,30.017745997836233,41.85760798094965,58.30669388276908,80.66461994900672,110.32145976246815,148.68062104510022,197.07938974790977,256.7179651633117,328.60419821788963,413.517230496455,511.98991893882004,624.3077343541181,750.5207000837686,890.4646426330307,1043.7882693840406,1209.9831205542396,1388.4140818540736,1578.3487749119952,1778.9847006666257,1989.4734692760157,2208.9418043629416,2436.5092681581013,2671.3028318217325,2912.4685280582758,3159.18048643206,3410.647678909196,3666.1187050677945,3924.8849317539584,4186.282277229353,4449.691899808465,4714.540018957479,4980.297065066435,5246.476324036819,5512.632215275931,5778.358317063337,6043.285231672015,6307.078364017523,6569.435671787675,6830.085431723375,7088.784055700976,7345.313981225128,7599.481653606498,7851.115611218016,8100.06468056753,8346.196284290712,8589.394862378333,8829.56040485358,9066.60709257759,9300.462041774419,9531.064147138462,9758.36301794087,9982.31800132417,10202.89728691423,10420.07708694421,10633.840886242599,10844.178756659881,11051.086730774656,11254.566230013497,11454.623542626725,11651.269347274605,11844.518278288278,12034.388528971338,12220.901489597853,12404.081417038144,12583.955133203202,12760.551749741526,12933.902416647943,13104.040092652973,13270.99933545376,13434.816110024376,13595.52761340499,13753.172114517105,13907.788807686524,14059.417678677944,14208.09938215613,14353.875129589136,14496.786586700238,14636.8757796576,14774.185009265262,14908.756772486426,15040.633690690784,15169.858444072708,15296.473711736684,15420.522116991264,15542.04617743332,15661.088259440992,15777.690536726835,15891.894952632601,16003.743185874204,16113.276619469947,16220.536312607332,16325.562975223931,16428.39694509612,16529.078167246094,16627.6461754927,16724.14007598541,16818.59853257326,16911.059753872047,17001.561481903496,17090.140982189685,17176.835035194672,17261.67992901336,17344.711453214884,17425.96489375459,17505.475028874822,17583.27612592046,17659.401939000334,17733.885707430534,17801.968275119707,17866.307367997862,17928.57586426431,17989.89823135315,18051.108026658312,18112.89789142045,18175.905874634413,18240.76490280597,18308.13171041557,18378.705078804647,18453.23926584453,18532.556096515804,18617.55773471905,18709.241299108526,18808.715986755444,18917.12503377437,19035.5267810126,19164.852669481243,19305.901389507348,19459.348277605164,19625.759605725954,19805.606931588365,19999.27951089523,20207.094177187537,20429.302753981778,20666.097340485052,20917.613898779844,21183.934566960634,21465.0890803084,21761.055626473455,22071.76140276936,22397.083089320553,22736.847402945757,23090.831853778447,23458.765789563895,23840.33178093756,24235.167374338223,24642.86721711171,25062.9855414175,25495.0389793871,25938.509671241536,26392.848620406236,26857.479244718423,27331.801070261034,27815.193513837978,28307.019701296234,28806.63027148098,29313.367119277867,29826.567035671094,30345.56520777145,30869.698547117634,31398.308820029342,31930.74555922437
G,6.0,16.037687163686833,21.84913387488683,30.701538152565966,43.919674309906455,63.314174199380226,91.1054182719718,129.75483500174494,181.65103127505367,248.73478124545784,332.2074366652411,432.4252593853539,548.9749357251468,680.8527386985465,826.6669687444764,984.8156738804342,1153.6224969520306,1331.431102603251,1516.6655671097262,1707.8653560847945,1903.7024570493434,2102.986569987337,2304.662679533798,2507.8040504465994,2711.6027214991886,2915.3588741122226,3118.4699603816457,3320.4201363141315,3520.7703167930335,3719.1490165765945,3915.2440428427353,4108.795042593054,4299.586870763437,4487.443723912551,4672.2239741829235,4853.815634961685,5032.13239067373,5207.110126653893,5378.703899901064,5546.885296960794,5711.640130737449,5872.966433413509,6030.872707688217,6185.376403157937,6336.502588816369,6484.282796356494,6628.754012229447,6769.957799290469,6907.939531375448,7042.747726341256,7174.433465006068,7303.049885076665,7428.651740580144,7551.29501855597,7671.036605836323,7787.933999670503,7902.045056752424,8013.427775905853,8122.1401102848895,8228.23980546994,8331.78426029318,8432.830407621594,8531.434612668452,8627.652586702381,8721.539314283134,8813.14899237996,8902.53497992646,8989.749756539011,9074.844889277305,9157.871006458401,9238.87777765211,9317.913899087824,9395.027083792826,9470.264055861184,9543.670548322076,9615.291304137781,9685.170079915828,9753.349651967652,9819.871824388481,9884.77743887061,9948.106385995374,10009.897617778568,10070.189161270046,10129.018133031412,10186.42075433619,10242.432366955125,10297.08744940541,10350.419633557087,10402.461721502628,10453.245702607115,10502.80277066655,10551.16334111086,10598.357068196163,10644.412862138037,10689.35890614384,10733.222673307831,10776.03094333784,10817.809819086726,10858.584742865829,10898.380512521173,10937.22129725629,10975.130653188346,11012.131538626703,11048.246329065256,11083.496831881774,11117.904300739268,11151.48944968582,11184.2724669507,11216.273028435757,11247.510310902046,11278.003004852622,11307.769327113145,11336.827033112637,11365.193428867351,11392.885382671144,11419.919336496241,11446.311317108602,11478.436802682127,11517.082145948261,11562.644291688217,11615.584506638586,11676.460050322543,11745.951929700992,11824.890272081853,11914.278928478701,12015.320801819998,12129.445155824067,12258.337849201873,12403.97507934829,12568.660811780712,12755.067602421721,12949.04591030945,13152.085499586998,13365.005391383787,13588.22056979123,13821.893300161679,14066.01934535503,14320.477450198741,14585.058204156965,14859.481455065606,15143.407492267148,15436.444951244193,15738.157087949658,16048.067318776022,16365.66448785663,16690.408073654595,17021.733404955143,17359.05687820871,17701.781127928123,18049.300084348833,18401.003848718858,18756.283320820276,19114.534522135957,19475.16256921067,19837.585263739627,20201.236277777232,20565.56792356329,20930.053507421002,21294.189275772816,21657.495968454816,22019.520000188943,22379.83429536119,22738.03880426377,23093.7607308284,23446.654502758258,23796.401515014415,24142.709676980416,24485.312792460274,24823.969800090363,25158.463899881157,25488.601589550577
