series,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-04,2020-07-05,2020-07-06,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-11,2020-07-12,2020-07-13,2020-07-14,2020-07-15,2020-07-16,2020-07-17,2020-07-18,2020-07-19,2020-07-20,2020-07-21,2020-07-22,2020-07-23,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-07-31,2020-08-01,2020-08-02,2020-08-03,2020-08-04,2020-08-05,2020-08-06,2020-08-07,2020-08-08,2020-08-09,2020-08-10,2020-08-11,2020-08-12,2020-08-13,2020-08-14,2020-08-15,2020-08-16,2020-08-17,2020-08-18,2020-08-19,2020-08-20,2020-08-21,2020-08-22,2020-08-23,2020-08-24,2020-08-25,2020-08-26,2020-08-27,2020-08-28,2020-08-29,2020-08-30,2020-08-31
S,106817.54521032957,106802.89275078835,106792.03906667694,106771.38871925906,106736.05602670634,106675.99703539809,106576.36266469426,106416.94974283194,106174.11164156515,105825.23963180653,105353.78940362422,104751.92085207855,104020.07733359069,103164.94080687682,102197.18545387709,101129.65019975582,99976.03184250732,98750.01528174474,97464.72655719421,96132.41143267853,94764.2669817878,93370.37472182608,91959.69956697107,90540.13004432073,89118.54301741501,87700.8815792607,86292.23853535975,84896.94050409486,83518.6294673336,82160.33984987852,80824.57005983828,79513.34799988847,78228.2904436999,76970.65642038747,75741.39490367843,74541.18719074356,73370.48439898915,72229.54052227637,71118.44148142784,70037.13058482675,68985.43078852509,67963.0641150854,66969.66855877594,66004.81277330752,65068.00880805276,64158.72313023261,63276.38614422206,62420.40039505372,61590.147621397926,60784.99480369883,60004.2993356282,59247.41343143204,58513.68786792845,57802.47514770347,57113.132159284076,56445.02240059163,55797.51782365308,55170.00035123966,54561.86310969674,53972.511416615445,53401.36355708285,52847.851377946565,52311.4207257674,51791.531750842565,51287.659096804455,50799.29199278349,50325.93426292373,49867.10426611654,49422.33477713613,48991.172818891006,48573.179454220546,48167.929544542676,47775.01148167722,47394.02689831149,47024.59036182532,46666.32905553779,46318.88245086599,45981.90197338704,45655.0506653585,45338.00284687247,45030.44377748693,44732.06931988941,44442.58560689644,44161.70871287376,43889.16433047213,43624.6874534089,51337.45893225909,58990.41364955804,66580.910310326,74106.34167206868,81563.76596226983,88949.71757677638,96260.05757751534,103489.85418599453,110633.28500587239,117683.55473305183,124632.82430776238,131472.1496376225,138191.43006588137,144779.36861606973,151223.44767355084,157509.92512260357,163623.85698230276,169549.1531878069,175268.67323618967,180764.36784070753,186017.4714143439,191008.74808111915,195718.79102235707,200128.3714438654,204218.8295573526,207972.49607031813,211373.1292042592,214406.34964544134,217060.0544387361,219324.79088760327,221194.07306449313,222664.62641777156,223736.54987437354,224413.38936841203,224702.12142788654,224613.04991025414,224159.62286129445,223358.17955796397,222227.63997567235,220789.1501847196,219065.69759774202,217081.70967907662,214862.6488336977,212434.61487048297,209823.9648276217,207056.95818674678,204159.43369630334,201156.52226149893,198072.39870459607,194930.07370275303,191751.2259017074,188556.07309872578,185363.2804921574,182189.90330313568,179051.36057593115,175961.43664053452,172932.30655420807,169974.5818060199,167097.37264708706,164308.3635770088,161613.8987524521,159019.07436740657,156527.8353686788,154143.07419949246,151866.72959577639,149699.8837834586,147172.0768023798,137293.87020827754,128169.03054925174,119727.61868535599,111916.26637995412,104690.24338821339,98009.495679424,91836.74494153068,86136.64762992779,80875.48252788417,76021.08534707368,71542.88311888263,67411.95381125549,63601.07591091956,60084.7537067724,56839.21490436335,53842.38252545388,51073.825328394145,48514.691643265694,46147.631347558454,43956.71015872794,41927.31973372848
E,0.0,14.652459541223623,21.11040579026734,35.427631471065496,60.13203458247314,102.15141551598903,171.14036156502118,279.2111749578275,438.28592373727713,655.6721563747087,930.4207376446003,1253.1630678968977,1609.057666015696,1981.4768929248528,2354.789178047135,2715.887678754261,3054.7397323764867,3364.3343734261216,3640.32278594881,3880.541074679838,4084.523203166621,4253.058502178362,4387.816106379867,4491.040797116249,4565.315584887088,4613.382347575269,4638.010687203645,4641.905512307439,4627.644895376479,4597.641044218603,4554.118520993261,4499.1050246451,4434.431073440143,4361.735774720521,4282.476559013407,4197.941304244263,4109.261704725391,4017.4270700205643,3923.2979898629246,3827.619489505143,3731.033438955268,3634.090080708377,3537.2586128053335,3440.936814432152,3345.459735357271,3251.107492570237,3158.1122308097188,3066.6643107351397,2976.9177911703932,2888.9952715183726,2802.9921581334897,2718.980414889605,2637.011853926314,2557.121017973393,2479.3277010007705,2403.6391493929814,2330.0519815136417,2258.5538594729687,2189.1249431739993,2121.73915330309,2056.3652668447635,1992.9678659276192,1931.5081583285005,1871.9446857547812,1814.2339340664562,1758.3308578674873,1704.1893303669995,1651.7625280640873,1601.0032586252755,1551.8642392828187,1504.298332168436,1458.2587421957744,1413.6991824025022,1370.5740110474833,1328.8383442194033,1288.4481472411135,1249.360307740577,1211.5326928973564,1174.9241930566864,1139.4947536257132,1105.205396923541,1072.0182354440005,1039.8964778037662,1008.8044284853157,978.7074823413523,949.5721147021769,921.365867817907,961.4382565501585,1051.9469851937292,1180.36839426951,1338.2704521640928,1520.2745683848927,1723.2890635070485,1945.942602352324,2188.165868145348,2450.8832468988694,2735.785564495234,3045.161431663115,3381.7694402818643,3748.7369243855255,4149.473655965323,4587.590976499566,5066.818690227075,5590.913744031411,6163.556438815789,6788.231769029766,7468.09553106107,8205.827071344065,9003.472875079495,9862.287457423867,10782.579973086098,11763.576334571326,12803.30716663544,13898.531441839248,15044.7040823693,16235.9932751679,17465.349982104242,18724.628500571125,20004.7533601744,21295.924724460165,22587.85211402419,23870.004863825914,25131.86732001441,26363.187293717157,27554.20755427021,28695.871945318493,29779.999815077088,30799.424655595936,31748.094970672675,32621.13730906218,33414.883025581374,34126.861625158475,34755.764494430936,35301.383447282635,35764.52883637729,36146.93205368373,36451.13710500082,36680.38564285875,36838.499422946086,36929.763651460584,36958.814149603524,36930.53070649567,36849.93844724999,36722.118527639745,36552.12899465726,36344.93623271491,36105.3570538337,35838.01118910572,35547.28369747836,35237.29662379775,34911.889106751085,34574.605053420135,34228.68745447316,33838.28781223348,32811.64112758924,31409.560653208217,29798.04476264763,28084.65432559407,26340.00573670525,24610.754753587004,22927.62563911379,21310.503049423263,19771.74931540679,18318.426748975806,16953.828031910212,15678.557522673082,14491.31247001832,13389.457531421875,12369.452650904777,11427.174052693084,10558.15552201361,9757.769161116768,9021.35960161225,8344.342146128034
I,5.0,3.7545189963972936,3.2588563650983366,3.0803997995664076,3.375912856926063,4.338946827776346,6.3226741233284836,9.881930867763913,15.796714681555702,25.010390782632093,38.45056215138365,56.78529533324294,80.23518604584515,108.5206360181902,140.93286467402785,176.47069886847936,213.98914860447022,252.32745666296793,290.4036770735292,327.2749080177024,362.1682040797232,394.4891765166811,423.8151764863517,449.87890940729176,472.54700620312224,491.79680984267105,507.69356341163723,520.3693462516345,530.0044844981436,536.8117279061014,541.0231973090206,542.8799299874615,542.6237527195044,540.4911696995576,536.7089460460121,531.4910834636266,525.036912983321,517.530063862896,509.13810329660635,500.0126758192469,490.29000264571505,480.0916289040613,469.5253305675749,458.6861129652957,447.65724933533204,436.51132136161084,425.3112344160374,414.11118872353046,402.95759425868613,391.8899222124698,380.9414896342263,370.1401766135217,359.5090773317514,349.0670876616542,338.8294328677538,328.80813947812373,319.0124556499227,309.449224410406,300.1232140780447,291.03740999838607,282.1932714993343,273.5909577052928,265.2295255672386,257.1071031793828,249.22104117177776,241.56804469826398,234.14428828446114,226.9455155633967,219.96712570791271,213.2042481694122,206.65180715141676,200.30457708301793,194.15723021057659,188.2043772947735,182.44060228309462,176.86049172379052,171.45865959506096,166.22976814151198,161.16854523772554,156.269798735052,151.5284281915583,146.93943433559198,142.49792656989058,138.19912878488913,134.0383837162439,130.01115605204603,126.11303446926125,127.165607218604,129.1984377820372,133.517948662366,140.77941960226673,151.24701680824788,164.96785462700194,181.88636390766595,201.91755108468175,224.9922622774187,251.0836548940203,280.2212703410873,312.49708013414755,348.06642319615867,387.1457083755454,430.00801221629257,476.97717879579477,528.4206702917315,584.7411852600148,646.3669303719271,713.74038334612,787.3054082427224,867.4926696824509,954.7034298465996,1049.291988290204,1151.5472222562132,1261.6738823914022,1379.7744705189814,1505.8326471859145,1639.6991654506392,1781.0812897033531,1929.5365306209046,2084.471317798657,2245.144959131978,2410.678927493392,2580.0712011934415,2752.2150947624878,2925.9217755447276,3099.945486733741,3273.010397433914,3443.8379754080784,3611.1738217382876,3773.8130071146597,3930.623092513388,4080.564187422913,4222.705582028649,4356.2386731567085,4480.486076989649,4594.906976915028,4699.098887233389,4792.796120039551,4875.865322566976,4948.298506380583,5010.204019917222,5061.795924705413,5103.382226330849,5135.3523872541955,5158.164513342925,5172.332562705902,5178.413877105341,5176.997285506449,5168.691978460614,5154.117302845583,5133.893580443456,5108.634011978625,5078.937691265164,5045.3837224177005,5008.52640678611,4967.727727470534,4904.731230661437,4812.95386716089,4692.180442834388,4545.467959004139,4377.347401431716,4192.7941611579845,3996.656395723517,3793.3566655975133,3586.7559930247407,3380.1132505253904,3176.0990231804512,2976.8389875367598,2783.9715813483995,2598.7107503630104,2421.908302541701,2254.112745952414,2095.6229602977364,1946.5359755584896,1806.7887038389083
A,0.0,0.0,3.9561640761303782,9.497727076457345,18.683278490586737,34.17159668823102,60.385615010018824,104.17808803217379,175.39798174950027,286.7192618885851,452.28197363421305,685.4042938528867,996.3421504309335,1390.9340342379342,1870.2954339581272,2431.2766946725287,3067.3153001492783,3769.402415884959,4526.9966000746135,5328.803888277807,6163.397822910251,7019.683174848829,7887.221643443034,8756.443126427877,9618.766416592149,10466.650967847976,11293.598162979379,12094.117122005187,12863.666925447988,13598.584370181718,14296.004077313471,14953.775914889113,15570.383234947725,16144.864295378655,16676.73838273805,17165.93751836215,17612.744169773614,18017.735063258526,18381.730969633736,18705.752188111375,18990.979362753307,19238.7192167611,19450.374769881917,19627.41960454408,19771.375760258998,19883.7948583951,19966.24208705326,20020.282705889753,20047.47076155265,20049.33973470655,20027.39486862825,19983.106956579162,19917.90739033619,19833.18429528285,19730.279598324352,19610.486893661586,19475.049988251227,19325.16202372986,19161.965084838368,18986.550216101812,18799.957778849574,18603.178089743677,18397.152289954385,18182.773401104903,17960.8875302145,17732.295191203862,17497.75271517993,17257.973725771823,17013.630659318253,16765.356312774347,16513.745404869733,16259.356138360421,16002.711753218864,15744.302062338786,15484.584962828054,15223.987917254171,14962.909400319106,14701.720307396297,14440.765322182731,14180.364241420728,13920.813255242841,13662.386182202485,13405.335658484266,13149.894281151912,12896.27570559687,12644.67569760516,12395.27314067054,12148.230999354553,11921.890088648914,11729.040171105264,11578.578030713821,11476.767931569573,11428.17134777071,11436.332541006785,11504.28374200164,11634.917176720819,11831.258966314681,12096.670710075807,12434.997468221816,12850.675318369047,13348.807275218378,13935.21287132028,14616.453920122352,15399.836809678769,16293.3900481801,17305.81468473316,18446.40467498187,19724.934281369086,21151.510219377218,22736.387486873595,24489.749600903095,26421.45620960022,28540.76357155047,30856.02596368002,33374.38841442941,36101.48298009195,39041.1418451836,42195.1406665444,45562.98473503683,49141.74875288244,52925.97847837139,56907.659410023065,61076.25434685514,65418.808349384824,69920.11658471306,74562.9479609775,79328.31546777439,84195.78279913422,89143.79614417975,94150.02994049419,99191.73581632122,104246.08480057534,109290.49404734511,114302.93069894766,119262.18700175607,124148.1223075077,128941.869069702,133626.00132526414,138184.66539582543,142603.67362418785,146870.56286511468,150974.62017090304,154906.87865482076,158660.08688938542,162228.65541627273,165608.5840281793,168797.37344988514,171793.92491642485,174598.4309408264,177212.2603015125,179637.8399778774,181878.53643758508,183938.5383445051,185822.74242343265,187526.17043579838,188884.26672281555,189809.47743026915,190262.57041897325,190234.92427012473,189737.32884823016,188792.73947776944,187431.4888212194,185688.0650917149,183598.91480320613,181200.93343330137,178530.42966458507,175622.4230091234,172510.18045566342,169224.92677092078,165795.68191582823,162249.19163342225,158609.92595902903,154900.1265941694,151139.88862283793
IH,3.0,2.984283429641454,2.9087868506192893,2.815528293988854,2.721627834244831,2.650411466973473,2.6326769229548845,2.7138799257045285,2.9627589028893895,3.4803624317312334,4.40525685646982,5.90948590580977,8.182913702813973,11.409704099400996,15.744259350877767,21.29274011427938,28.102910280274703,36.16216047669135,45.40199040775035,55.70674437816345,66.92454345804528,78.87878350357272,91.37905433320073,104.23077353881779,117.24317704820176,130.23556191180782,143.04184586328392,155.51360991892545,167.5218419150526,178.95761557084973,189.7319335702695,199.7749434759782,209.03470862773872,217.47568705123467,225.07704272203796,231.8308870278333,237.7405248557564,242.81875974641278,247.086295988059,250.57026214493388,253.3028699800733,255.32021465583614,256.6612160823047,257.36669696501457,257.47859014632274,257.03926594930124,256.0909691734134,254.6753549531772,252.83311270820602,250.6036677523118,248.02495068604733,245.13322539022636,241.96296720623909,238.54678368686345,234.91537109587867,231.09750060316412,227.12002884884464,223.00792822601005,218.78433285155953,214.47059675697636,210.0863613357955,205.6496295342274,201.17684466892806,196.68297210495655,192.18158233156066,187.68493423769976,183.20405761721963,178.7488341292434,174.32807610631707,169.9496027445591,165.6203133296375,161.34625725267145,157.1327006536738,152.98418959919684,148.9046097574327,144.89724257993714,140.9648180359571,137.10956397441737,133.33325221115442,129.63724145601097,126.02251720681927,122.48972874587635,119.03922337991443,115.67107806736232,112.38512857736328,109.18099632397602,106.05811301658522,98.27052893498241,91.16645416764699,84.69751434917687,78.83365855494768,73.55452605454032,68.84437426083605,64.68932950136805,61.076113665074686,57.9916741375779,55.4233358824291,53.359227082771135,51.788820454434685,50.70349331983289,50.09704949537849,49.966171255647055,50.31078461474517,51.134329183557035,52.44392730895218,54.25044784184461,56.56845904524135,59.416063869823404,62.814609905551414,66.78826640288557,71.36346232183728,76.5681827046418,82.43112585795987,88.98073070850376,96.24409184045146,104.24578847567523,113.00666218300607,122.54258548417968,132.8632688856005,143.9711564943082,155.86045982803057,168.5163755867202,181.9145262408841,196.02065283632916,210.79057816482074,226.17044627723044,242.09723210993312,258.4995035728993,275.29840848324557,292.4088507116058,309.74081413332544,327.20078954496404,344.69325855583315,362.12218939895934,379.3925023357374,396.41146650522177,413.0899953187269,429.3438134513878,445.0944747858431,460.27021700854,474.80664468299256,488.64723831529125,501.7436920266274,514.0560868474652,525.5529102864319,536.2109356827764,546.0149769373123,554.9575355735648,563.0383577696766,570.2639190984876,576.6468543030562,582.2053486068238,586.9625059006025,590.9457077481502,594.1859755877801,596.7047438586197,598.3238808237801,598.8093344476378,597.944922093592,595.566225974821,591.5720887324658,585.9239666052883,578.6391476114823,569.7813237784535,559.4505048051143,547.7733624088401,534.8945581344482,520.9692894103547,506.1571034795622,490.6169247652055,474.5031866933156,457.9629345706562,441.1337597589844,424.1424295808496
IN,1.0,1.9888903935862132,2.7176984033927676,3.3392771167993645,3.9182590222384404,4.549911278059315,5.367152920097696,6.572060788258501,8.47543395312625,11.540618154032114,16.414484585095433,23.922238552146585,35.013530963944106,50.67158162494678,71.8127675003676,99.20152885275931,133.3935786852551,174.70945824882946,223.23399626351264,278.8346898415541,341.1919277864446,409.83506057312064,484.17978965891905,563.5637780595687,647.2785881777186,734.596979063617,824.7952577219977,917.1708197190759,1011.0552821481136,1105.8237528004965,1200.9008317250866,1295.7639356044358,1389.9444942721834,1483.0275085477103,1574.649890566838,1664.4979392523303,1752.3042389634031,1837.8442111479737,1920.9324980848426,2001.419314742989,2079.186869051093,2154.1459218043647,2226.2325342360664,2295.4050331086514,2361.6412092236483,2424.9357547656605,2485.2979372238174,2542.7495022034723,2597.3227937698457,2649.059078653243,2698.0070593650307,2744.2215607607122,2787.7623746311374,2828.693247340172,2867.0809962292174,2902.994741378214,2936.505240275834,2967.6843139543316,2996.604354148011,3023.337902011196,3047.957289863645,3070.534338307095,3091.140101869544,3109.8446570813485,3126.7169275690335,3141.8245413707723,3155.23371623462,3167.009169160636,3177.2140468950865,3185.90987448331,3193.156519341886,3199.0121686246634,3203.5333179349327,3206.7747696813385,3208.7896395914718,3209.6293700875926,3209.343749396547,3207.9809354132167,3205.5874834661468,3202.2083772474216,3197.887062268282,3192.6654812890524,3186.584111248166,3179.6820012817507,3171.9968114834865,3163.564852105367,3154.4211229443963,3144.599352699001,3135.0972130051873,3126.1072044561474,3118.0809735398097,3111.5962050779185,3107.2769992825197,3105.749945727279,3107.623558992142,3113.4825945864645,3123.8914808399168,3139.403006987208,3160.5697292735385,3187.9564595648103,3222.152802673988,3263.785094906309,3313.527329525975,3372.1107808127745,3440.3320913126036,3519.0595928974035,3609.237611948038,3711.8884792946837,3828.1119408863947,3959.0816578517197,4106.038504842265,4270.280430791655,4453.148740380307,4656.010787050912,4880.239233852227,5127.188226196191,5398.167016083878,5694.411763119971,6017.056395797851,6367.10353103071,6745.396508631522,7152.593593814373,7589.145334388011,8055.275935658432,8550.969345567764,9075.960539028898,9629.73226910001,10211.517328801783,10820.30615473889,11454.859413505998,12113.725052399363,12795.25917234696,13497.64999538552,14218.944151057078,14957.074493317148,15709.888677977711,16475.17777540765,17250.704258733615,18034.228788571843,18823.535306030743,19616.454041448167,20410.882142754625,21204.8017208566,21996.295197106334,22783.5579175736,23564.90806894482,24338.793990542843,25103.799025822962,25858.644094847386,26602.18819712856,27333.427072601666,28051.490258280843,28755.6367804442,29445.249718119194,30119.829864352447,30778.755954803375,31417.7623363718,32031.314135844994,32613.89493144627,33160.660986938135,33667.72857523858,34132.25219415307,34552.38758540463,34927.195491793675,35256.5192953474,35540.85589256109,35781.23077662171,35979.083183199924,36136.164046175356,36254.44763639092,36336.05665290971,36383.19991405731,36398.12147499756,36383.05986632084
D,0.01,0.0988970094863724,0.18732830027132583,0.27352245102243855,0.3569531328423976,0.4376013246421436,0.5161392090829205,0.5941515775477453,0.6745701807144889,0.7623636494798197,0.8654949201830282,0.996032973702863,1.1711448485789815,1.413623700934055,1.751719892121106,2.2182590830780686,2.8492127230547206,3.6819676169814715,4.753536924629522,6.098903981955512,7.749624976435685,9.732755567989349,12.070118223119556,14.77789310975765,17.866494464441722,21.340683738530533,25.199867732776205,29.438531842328395,34.046763461069304,39.01082705103497,44.313759334055106,49.935959833543116,55.8557581819843,62.04994500727136,68.49425774555435,75.16381641289624,82.03350726734539,89.07831449847782,96.27360169469317,103.59534596082753,111.0203282844612,118.52628416297584,126.09201867775,133.6974901980342,141.32386676522594,148.95355898881775,156.5702330099728,164.15880678196723,171.70543259703985,179.19746847000334,186.62344067983568,193.97299947783387,201.23686969881388,208.4067977625085,215.47549632662674,222.4365876508951,229.28454655202722,236.0146436717342,242.62288964208216,249.10598061307374,255.46124550455804,261.68659525676657,267.78047427929096,273.74181423561504,279.5699902479558,285.26477956383405,290.82632269029335,296.25508697294,301.5518325740284,306.71758078581655,311.75358460161266,316.66130145667955,321.44236804387333,326.098577104083,330.63185608877126,335.04424759082826,339.3378914402209,343.5150083622833,347.5778850987187,351.5288608942733,355.3703152554407,359.10465689131775,362.73431375075285,366.2617240741044,369.6893283821888,373.01956232927853,376.2548503512599,379.3169399109055,382.15418783201085,384.7863282648036,387.2316987040834,389.5077690200999,391.6314212319874,393.61908284191514,395.4867807940335,397.2501586694093,398.92448319652283,400.5246551526256,402.0652325541428,403.56046947576414,405.02437103988063,406.4707634738556,407.9133772163182,409.36594056979123,410.84228114458506,412.356432186047,413.9227407429099,415.5559744760104,417.2714237111158,419.0849951175288,421.01329317453013,423.0736854132803,425.28434734372837,427.6642830478458,430.2333176908583,433.01205870764534,436.0218231796803,439.2845299222269,442.82255601896134,446.6585589134439,450.8152666150262,455.31524000910633,460.18061258303396,465.4328140007886,471.09228480837476,477.1781900758881,483.7081399547587,490.69792494883075,498.1612731883036,506.1096361982298,514.552008624486,523.4947861846098,532.9416648162969,542.8935826685313,553.3487052794829,564.3024530632891,575.7475691264009,587.6742244843151,600.0701569714633,612.9208395409763,626.2096732381898,639.91819989571,654.0263295261224,668.5125774639158,683.3543065107239,698.5279696455543,714.0093492517072,729.7737892623308,745.7964171159937,762.0523529229689,778.5169037550302,795.1657414718369,811.9750629733423,828.9217322106178,845.9834036900079,863.1386275628921,880.3665728316785,897.6412655133278,914.9299741191815,932.1937255768335,949.3887997749747,966.4685560063735,983.3852407356939,1000.091599563955,1016.5422169962133,1032.6945649984289,1048.5097727781654,1063.9531461834476,1078.9944718927782,1093.6081430021525,1107.7731410431231,1121.4729063195896,1134.695124599432,1147.4314541620176
R,0.0,0.18341017088866693,0.3769038668549892,0.7324048616128789,1.3111177039284703,2.2582918298265877,3.827925884822792,6.454181348363475,10.850185559374104,18.130425241883,29.92729691341099,48.453943736347284,76.4752847310896,117.187930846508,174.04353302984865,250.55741022838598,350.13348500345626,475.9220962683065,630.716066442537,816.883568474032,1036.3329021642662,1290.5030353149598,1580.3737548340366,1906.489888349309,2268.9949255418633,2667.6702810890197,3101.9772900571284,3571.0997641901436,4073.9855501491593,4609.386022722269,5175.892830246147,5771.971502005497,6395.991744440423,7046.254409537173,7721.015227819266,8418.505470822947,9136.949752771621,9874.581205518392,10629.65427034091,11400.455349218351,12185.311550134615,12982.59774824751,13790.742169302746,14608.230684808883,15433.609991190078,16265.489828066295,17102.544374421355,17943.51294598887,18787.200102874885,19632.475263317854,20478.271907574555,21323.586445186535,22167.47680927074,23009.060832918723,23847.514455200962,24682.06979757304,25512.01314558506,26336.682865624665,27155.467281900834,27967.802534929655,28773.17043934912,29571.096355908398,30361.14708989435,31142.92882602608,31916.085107923896,32680.29486860423,33435.27051703238,34180.756084550965,34916.52543396663,35642.38053319836,36358.149794646364,37063.686480813725,37758.86717618799,38443.590324952485,39117.77483373608,39781.35873831441,40434.29793293618,41076.56496075752,41708.147863717975,42329.04909007797,42939.28445775423,43538.882171531906,44127.88189219644,44706.333855610545,45274.298039760004,45831.84337780273,46379.047015177166,46915.99360885654,47442.50213250383,47959.44344265999,48468.19934666367,48970.51081489745,49468.37463677024,49963.9760900104,50459.648387163536,50957.852027753026,51461.16894708681,51972.30766792345,52494.1166364238,53029.603635220825,53581.95966965893,54154.58606007931,54751.12367592638,55375.48334273306,56031.87646327285,56724.84484009346,57459.28858876859,58240.49091089877,59074.138375991584,59966.335265985836,60923.6104897734,61952.91560046515,63061.61256407869,64257.450146586925,65548.5281091461,66943.24881993365,68450.2563850726,70078.3639403457,71836.47029267083,73733.46761580816,75778.14235065973,77979.07180517964,80344.51917012456,82882.32975353334,85599.83118908583,88503.74020156123,91600.07823460303,94894.0978852773,98390.22167244725,102091.9942179305,106002.04846517128,110122.08612106647,114452.87210003506,118994.24238856194,123745.12444220514,128703.56898043449,133866.7918592326,139231.22457582672,144792.57189064962,150545.87503338326,156485.5789863173,162605.6024021883,168899.40880785222,175360.07786236546,181980.37557145406,188752.82250364285,195669.75920089165,202723.4081236209,209905.9316124919,217209.48548403446,224626.268001764,232148.56407709533,239768.78465409015,247479.50131837634,255273.47624344396,263143.268708918,271074.85009712505,279050.632015763,287051.3818542669,295057.44844391476,303049.5489554691,311009.26981616905,318919.37693363946,326763.99624795874,334528.70478304295,342200.5593858576,349768.08204619895,357221.2152355934,364551.257007994,371750.7830235687,378813.56080188404,385734.4601442346,392509.36263776006,399135.07237058703
G,5.0,6.465245954122362,7.550614365263442,9.615649107051278,13.148918362324006,19.15481749314979,29.118254563532673,45.05954674976394,69.34335687644372,104.2305578523052,151.3755806705356,211.56243582510336,284.74678767389014,370.26044034527666,467.03597564525046,573.789501057377,689.1513367822274,811.7529928584855,940.281865313538,1073.5133777651051,1210.3278228541785,1349.7170488503511,1490.7845643358523,1632.7415166008866,1774.900219291458,1916.6663631068886,2057.5306674969843,2197.060470623473,2334.8915742996,2470.7205360451067,2604.2975150491307,2735.4197210441125,2863.9254766629697,2989.688878994212,3112.615030665116,3232.635801958604,3349.706081134045,3463.800468805324,3574.910372890177,3683.0414625502863,3788.211442180453,3890.448109524422,3989.787665155369,4086.2732437022105,4179.953640227687,4270.882208009702,4359.115906610757,4444.714481527591,4527.73975889317,4608.25504066308,4686.324587470142,4762.0131778897585,4835.385734240117,4906.507006262615,4975.441305104554,5042.252280973798,5107.002738667654,5169.754485908996,5230.568210063288,5289.5033793714165,5346.618165324677,5401.969383238305,5455.612448456222,5507.601345948706,5557.988611352516,5606.8253217546135,5654.161094740589,5700.044094421308,5744.521043319349,5787.637239143862,5829.436575610908,5869.961566578695,5909.253372865241,5947.351831201814,5984.2954848504305,6020.121615479184,6054.866275946363,6088.564323694259,6121.249454497112,6152.954236345716,6183.71014328427,6213.547589044022,6242.495960343319,6270.583649745587,6297.83808798575,6324.285775692073,6349.952314444711,6381.600529352473,6419.494549913335,6463.895100376724,6515.096357994268,6573.444883181271,6639.354569745033,6713.318595534772,6795.919200184644,6887.835914104357,6989.852643270959,7102.863796922604,7227.879440734372,7366.029272353194,7518.565053242739,7686.860994975123,7872.41149564286,8076.825561730106,8301.817243529485,8549.191469715357,8820.82479898938,9118.640818949512,9444.580211463377,9800.565855950199,10188.463731239139,10610.040766580245,11066.921139823797,11560.54278234324,12092.115989651422,12662.586031402361,13272.601500351033,13922.489851660848,14612.24119263831,15341.500929872118,16109.571410562325,16915.422248963223,17757.70864049685,18634.796657467556,19544.794302334376,20485.58696806731,21454.875913402724,22450.21839190692,23469.068163082473,24508.815246041602,25566.823936965386,26640.468287690535,27727.164423372535,28824.399253490632,29929.755295818577,31040.93148264054,32155.75994938276,33272.218916318576,34388.44186361307,35502.723269152906,36613.52122851102,37719.45730868834,38819.31400395864,39912.03016541512,40996.694767946065,42072.539361591545,43138.92953068487,44195.35565582709,45241.42324233752,46276.84304589381,47301.42119290307,48315.04946077251,49317.69585248042,50305.516511890644,51218.000477793226,52062.141664182804,52843.27689472299,53565.87919389707,54233.95396477601,54851.22903856534,55421.23876972563,55947.35527992999,56432.794998011035,56880.61522083014,57293.70815159286,57674.79594162645,58026.428162041164,58350.98204228207,58650.665280173016,58927.52099987899,59183.434368391834,59420.14039796256,59639.232516845615,59842.17155934556
