series,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-04,2020-07-05,2020-07-06,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-11,2020-07-12,2020-07-13,2020-07-14,2020-07-15,2020-07-16,2020-07-17,2020-07-18,2020-07-19,2020-07-20,2020-07-21,2020-07-22,2020-07-23,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-07-31,2020-08-01,2020-08-02,2020-08-03,2020-08-04,2020-08-05,2020-08-06,2020-08-07,2020-08-08,2020-08-09,2020-08-10,2020-08-11,2020-08-12,2020-08-13,2020-08-14,2020-08-15,2020-08-16,2020-08-17,2020-08-18,2020-08-19,2020-08-20,2020-08-21,2020-08-22,2020-08-23,2020-08-24,2020-08-25,2020-08-26,2020-08-27,2020-08-28,2020-08-29,2020-08-30,2020-08-31
S,274200.1875609792,274186.7653593711,274176.5694773156,274158.0234597933,274126.24194188975,274071.5106335423,273977.2684967786,273815.1949283938,273537.2320164724,273062.85497093335,272260.01237134385,270919.81827448885,268730.79763196263,265270.2313790016,260042.10936152446,252581.10573554147,242592.795086057,230055.0478901668,215230.55115424297,198604.868203924,180793.0847668112,162448.14843636786,144187.08426822728,126540.25506722515,109923.10700788884,94627.0318087064,80824.75289671816,68585.39214911353,57894.76343719332,48677.22572603276,40816.40419598043,34173.07897470011,28599.417985888373,23949.414895596958,20085.85732254041,16884.40766805067,14235.469029145435,12044.48270348662,10231.211148640752,8728.440711089665,7480.4192106479095,6441.239904082562,5573.301637087656,4845.915340321409,4234.086473809912,3717.4774426879053,3279.5392958821412,2906.7946950138844,2588.251519664228,2314.9266334355666,2079.4609753171003,1875.8094364522672,1698.9914393707622,1544.8904824845956,1410.0930149848807,1291.7588183896557,1187.5165904675991,1095.379678829827,1013.6779290426474,941.0024317960533,876.1606096537421,818.1396065560217,766.0763584428854,719.2330526424151,676.9769446150319,638.7637074398252,604.123653412175,572.6502972972852,543.9908342740572,517.8381880244859,493.9243501971669,472.01478507777557,451.9037154702417,433.410139682494,416.374456815547,400.65559961136364,386.12859197934165,372.6824628289651,360.2184596495226,348.6485149230517,337.89392635283303,327.884218371221,318.5561577248675,309.8529003369893,301.72325028769956,294.1210147735452,287.00444141854274,280.3357264021202,274.08058361828796,268.2078665451677,262.6892357337453,257.4988658594801,252.6131871530874,248.01065676443395,243.671556238308,239.57781181123448,235.71283468970202,232.06137885478114,228.60941426662075,225.34401362345687,222.25325107084413,219.32611146393222,216.55240896387267,213.92271390315258,211.4282869874327,209.0610200163648,206.81338240546197,204.6783728775721,202.649475767718,200.72062145058587,198.8861504571093,197.1407808965525,195.47957884421658,193.89793139321475,6335.9270302031755,12431.24652904895,18482.175182422863,24490.741427491543,30458.442873737633,36386.114276746135,42273.8616940495,48121.03264620487,53926.20140274874,59687.1553804267,65400.87351844304,71063.49081714345,76670.24538478554,82215.40566659611,81548.64079953953,80867.706119447,80168.38748065017,79448.14165022818,78705.46549967607,77939.51814172853,77149.8947599025,76336.49151351697,75499.42509019791,74638.98495179552,73755.60501034507,72849.84670226516,71922.38858528812,70974.01949158733,70005.63342901245,69018.22512893043,68012.88557362466,66990.79710670876,65953.22790163841,64901.52567522704,63837.110608460636,62761.46748975743,61676.137134303506,60582.707161951184,59482.802238076394,58378.0738982318,57270.19008919513,56160.82456652118,55051.64629221271,53944.30897582972,52840.440898472894,51741.63515187455,50649.440414646226,49565.352374973496,48490.805894183126,47427.16798914817,46375.73169398143,45337.7108434401,44314.23580245134,43306.35014866331,42315.00829836836,41341.07405091261,40385.320013102115,39448.4278533652,38530.98932568018,37633.50799559657,36756.40159506508,35900.00492918167,35064.57325622672,34250.28606238028
E,0.0,13.422201608154706,19.591423181233665,32.26001374917514,54.36352752794994,92.78577761698226,159.19218109559603,273.5080951517391,469.4185785276503,802.9700505083632,1364.9216349453473,2295.6392413167227,3795.9681114479113,6117.743930974585,9510.542769159314,14118.383564394502,19871.179144560607,26447.572597082617,33337.79755388168,39962.14123803613,45785.2823037381,50394.63394306001,53537.30792828259,55122.94475079994,55203.20938489627,53938.32176860984,51559.10415001513,48330.73365261522,44522.14226875085,40383.03729928616,36128.94763955264,31933.588568967174,27927.17298708876,24199.024181253546,20802.87449993403,17763.461804443563,15083.361902015728,12749.339657069824,10737.809314794744,9019.23695790741,7561.487370976942,6332.220466249207,5300.492593369351,4437.731112124793,3718.2406449988525,3119.3774826212034,2621.5023846406066,2207.7962701166816,1864.0005644313337,1578.125281330595,1340.153355049883,1141.7588873997513,976.0492182613307,837.335409669098,720.9322542680835,622.9867745828834,540.332970130075,470.3699907288245,410.9607432973569,360.34801755474393,317.08543443063195,279.98080719916277,248.0498131525502,220.47817500725537,196.59083053246198,175.82681854793012,157.71882701120126,141.8765350227307,127.97303753913953,115.73377252696896,104.9274785961973,95.35880013672946,86.86222970324448,79.29713658001887,72.54367847296024,66.49943213525549,61.07661012670082,56.199756239067135,51.80383254678947,47.832627509223485,44.2374278266751,40.975907460284624,38.01119586855273,35.31109449586509,32.847416196395315,30.59542685163108,28.533372151144228,26.642075522223475,24.904595649388675,23.305934027692317,21.83278463080703,20.47331911583016,19.217002087473766,18.05443184988511,16.977202821045523,15.977786401805393,15.049427602796225,14.186055156878247,13.382203197975176,12.632942881746496,11.93382256983529,11.2808154057966,10.670273284117181,10.098886359602101,9.56364736744137,9.06182012827685,8.590911700696635,8.148647718377532,7.7329505127183555,7.341919676034989,6.973814766701068,6.627039897247519,6.300129980409194,5.991738437288265,5.700626196914053,52.206447592837335,129.1513680418464,225.37522066138402,333.59671631765167,449.38180651462517,570.355355357649,695.6133046957572,825.2960648439316,960.2887758135648,1102.0195131539317,1252.3318686081168,1413.413248484368,1587.7645002292516,1778.200017217054,1925.674692144465,2047.2909232979518,2153.3494767305638,2250.02078426351,2340.961906931984,2428.2967166784224,2513.210948060421,2596.314086961355,2677.8599992753434,2757.8819409431935,2836.275666740148,2912.8510836951423,2987.3648522873877,3059.5414591760446,3129.087321505257,3195.7006803594495,3259.078943167512,3318.924465287603,3374.9493521126933,3426.8796132452917,3474.458847974909,3517.4515490363574,3555.6460566777723,3588.857163549229,3616.9283543290567,3639.7336570670086,3657.1790826208576,3669.203632143069,3675.779858883136,3676.9139785750185,3672.6455316008587,3663.0466093489276,3648.220666216978,3628.300947142253,3603.448568034535,3573.850292790908,3539.7160554949705,3501.2762798352433,3458.7790496726952,3412.4871850658374,3362.6752770018384,3309.6267317117827,3253.6308719351596,3194.980138039637,3133.967426711354,3070.883599229436,3006.0151853440193,2939.642302695759,2872.0368057334786
I,5.0,3.8,3.290666048244641,3.088648892102937,3.315173570473486,4.150437739398347,5.937906010452211,9.28857400081156,15.264559095168956,25.68362226815791,43.6086544390509,74.09022642203908,125.17774932025137,209.01413282682833,342.38305887762704,545.5274078217759,838.1523368763847,1233.1311503628704,1730.6068521882598,2315.3951342795276,2958.5645391935245,3622.0675188992213,4264.610332655208,4847.223090666435,5337.577891430488,5712.655479034059,5959.76781712418,6076.19666551483,6067.831475369727,5947.216189343518,5731.375422879658,5439.713750575119,5092.190107506105,4707.879671317302,4303.959275638756,3895.0952844834746,3493.1762703407476,3107.31482251944,2744.039454826869,2407.6042651122625,2100.3563502225416,1823.11544729844,1575.5343539342905,1356.4208867911414,1164.0118073250112,996.196192916974,850.6904310955363,725.1697991718257,617.362935474088,525.1158478932468,446.4318028387854,379.4927708089734,322.6672724368123,274.50860359981726,233.74660102593407,199.27538440775237,170.13889538737828,145.51554959830975,124.70291741658014,107.1030395355216,92.20875057363874,79.59121346888439,68.88874645232701,59.79694169834504,52.06002094095989,45.46334083110337,39.82694358807647,35.00004193727415,30.85632792301027,27.29000034766199,24.21241344003218,21.549258572310375,19.238200519057767,17.226899285581236,15.471357554442305,13.934542095564957,12.585234956687032,11.397076870883168,10.347771109043222,9.418421019276533,8.592978799926868,7.857786722744672,7.2011951330944886,6.613244177208393,6.085398409554331,5.610325277153151,5.181710016185327,4.794100776835175,4.442778856061437,4.123649800088352,3.833151868897917,3.5681789592866275,3.3260155825327415,3.1042819053490964,2.9008872035618665,2.713990359338384,2.5419662651513333,2.3833771895989,2.2369483188015113,2.1015468182284036,1.9761638683059815,1.8598992170076045,1.7519478670996773,1.65158857751927,1.558173909702708,1.4711215923972991,1.3899070140702527,1.3140566817142911,1.243142509654187,1.1767768227187327,1.1146079755472864,1.0563165044169696,1.0016117402743223,0.9502288220207606,0.9019260578544259,1.0188292802905818,2.523892951258267,6.247000415438162,12.63343701035339,21.883332279261737,34.051786537944785,49.119340006397564,67.04057874688642,87.77702596739118,111.31906768375464,137.70050901734731,167.00843453454996,199.390325917008,235.05984136886505,274.3022514032448,315.61435708338405,358.09622335731956,401.21093425779725,444.6389017302347,488.18942483438013,531.74696084467,575.2384716358024,618.6135859464948,661.8325707679654,704.8590747501833,747.6558002673767,790.1819847621883,832.3920112450786,874.2347343456552,915.6532699300735,956.5850941450526,996.9623567913748,1036.7123493425204,1075.75808894535,1114.0189920059877,1151.4116179248756,1187.8504673204739,1223.2488209815785,1257.5196066291608,1290.5762808612828,1322.333713721616,1352.7090633769449,1381.6226285386201,1408.998666592797,1434.7661659544797,1458.8595619452367,1481.2193865089903,1501.7928433049601,1520.53430112093,1537.4057000947103,1552.3768668727548,1565.4257365252386,1576.5384807287815,1585.7095433752354,1592.9415863246963,1598.2453494552697,1601.639430439307,1603.1499907710033,1602.8103954659323,1600.6607945393168,1596.7476548438408,1591.1232511135308,1583.8451251275917
A,0.0,0.0,3.623994434201771,8.76871891576679,17.128173871413406,31.121199349103357,54.92851133172444,95.71325977426639,165.73191507426532,285.8456546737603,491.21374212406795,840.0940338743491,1426.3128676748902,2394.1717430588305,3950.195734699615,6360.034452984645,9917.596637251776,14886.11114079307,21431.511296373654,29575.456184066763,39182.21607097385,49976.95365014419,61584.42666876463,73576.12274265035,85516.27291566032,97000.4885329559,107683.81586916232,117297.42135489991,125654.82258691003,132649.60809599634,138247.04384296376,142471.97795192443,145395.1677474686,147119.69774408382,147768.64636325891,147474.67662371075,146371.82424596208,144589.45898966785,142248.20233749,139457.48275898496,136314.37742726057,132903.40392033392,129296.96728940785,125556.22159804126,121732.1601343933,117866.79870316725,113994.35867534828,110142.38997218732,106332.79936623132,102582.76754397852,98905.55066817865,95311.17004731497,91806.9981450203,88398.25150815005,85088.4020084347,81879.51763674969,78772.54336041708,75767.53152793553,72863.83016431489,70060.23635843258,67355.12086883506,64746.52910137793,62232.26275526659,59809.945694607115,57477.07697407479,55231.07341935557,53069.303723589284,50989.11565793874,48987.85769607733,47062.8961083698,45211.62838261729,43431.49366653357,41719.98079590914,40074.63436609265,38493.05921832555,36972.923642780224,35511.961543745536,34107.97376672993,32758.828750245277,31462.462635023097,30216.878939049664,29020.14788700088,27870.40546653512,26765.852270758227,25704.752175441783,24685.43089079714,23706.274420415193,22765.727454079395,21862.29171630722,20994.524288480265,20161.03591912853,19360.489334213707,18591.597557006433,17853.122245289793,17143.87205207767,16462.701014756247,15808.506976494484,15180.230042887459,14576.851076064317,13997.390227885197,13440.90551334786,12906.491424907801,12393.277588071054,11900.427458334923,11427.137059318618,10972.633761735084,10536.175102700316,10117.04764475149,9714.565873845393,9328.071135530012,8956.93060842134,8600.536314071496,8258.304162280892,7929.673030884367,7614.10387902706,7311.078892939145,7032.731478071645,6786.293088320078,6575.692674365849,6402.736080796981,6267.95972532405,6171.2372822576535,6112.203383235202,6090.545185413655,6106.201347466772,6159.498562119663,6251.248224159068,6382.819872283484,6556.203492454043,6774.069357404486,7023.038749987312,7294.885749278267,7584.494678024389,7888.620502654561,8205.135397420014,8532.570095026387,8869.834247201645,9216.045680793144,9570.426053365762,9932.237135285794,10300.742079894202,10675.182189296122,11054.763411841872,11438.649069345729,11825.95668337832,12215.757599740238,12607.078610405857,12998.905071617275,13390.185193823012,13779.835281646321,14166.745759333693,14549.787847200161,14927.820768615153,15299.69937202884,15664.28205281653,16020.438858111962,16367.059656095114,16703.06225052994,17027.40032240719,17339.071083726158,17637.122533909343,17920.66021707718,18188.853388272677,18440.94050847018,18676.234001500696,18894.124220494214,19094.082586658085,19275.663878747277,19438.507667009013,19582.33890029643,19706.967669075068,19812.288179874246,19898.27698810177,19964.990545848403,20012.56212922653,20041.198215849417,20051.174387258325,20042.830833495846
IH,18.0,17.73152140088549,17.24196276606526,16.68503704374291,16.12695502130679,15.653506551323158,15.380475318011039,15.48417853204004,16.2507072714934,18.158414957506974,22.015497146280868,29.185773201928612,41.947066891599974,64.02656360856028,101.31737207879803,162.65404395429692,260.297126973349,409.5841868499212,627.3465960583374,929.2582036444707,1326.8514447017872,1825.059760217804,2420.859416889796,3103.181018876975,3853.941264142273,4649.865619327882,5464.715880308263,6271.56526904353,7044.840917328076,7761.949993635528,8404.400595152916,8958.408885654586,9415.043305015715,9769.99349639756,10023.067893790561,10177.523797765809,10239.322236360029,10216.381872302622,10117.885849839993,9953.675870316169,9733.750899782035,9467.874686188481,9165.28686350772,8834.50649867764,8483.21387451861,8118.1953886759375,7745.337009816803,7369.653193820233,6995.340078140329,6625.8438217546445,6263.936930834912,5911.797183460052,5571.085281537152,5243.01859972053,4928.439382190226,4627.8764866542215,4341.600325609876,4069.671043634867,3811.980229983038,3568.2866278007377,3338.2463899927466,3121.438467647637,2917.385716193424,2725.5722795753495,2545.4577730827364,2376.4887378206436,2218.107789044523,2069.760829932573,1930.9026539836414,1801.0012143709291,1679.5407979177521,1566.0243051336265,1459.9748059172455,1360.9365128792579,1268.4752904396594,1182.178797537866,1101.6563445678842,1026.5385306334947,956.4767150479468,891.1423668481071,830.2263276569026,773.4380162472096,720.5045974055827,671.1701329670573,625.1947290228571,582.3536901467297,542.4366889206888,505.2469569644576,470.6005019988722,438.3253541301892,408.26084347001614,380.2569103550094,354.1734487607148,329.87968298124656,307.2535772431836,286.18127761532065,266.5565853470615,248.28046060199244,231.26055543702773,215.4107748012767,200.65086428413935,186.9060233223416,174.10654257518826,162.18746419180567,151.0882637199786,140.7525524404657,131.12779895108554,122.1650688695417,113.81878157141989,106.046482928871,98.80863306526835,92.06840819087496,85.79151563372147,79.94602122805559,74.50218826956291,69.94050029586047,65.66156205987008,61.67575585202438,58.00942341952889,54.69619296192036,51.771628109427674,49.27020836549785,47.2239045472738,45.66181391397903,44.61047555040647,44.09460487670124,44.138074133021505,44.76502979958373,46.00108368114819,47.87454636245515,50.41769355761049,53.63075298048876,57.49593964611807,61.98582351158462,67.0682689259639,72.70930163119397,78.8747249474497,85.53098353764373,92.64557732070595,100.18720936895583,108.12577958219538,116.43229219197225,125.07871857853465,134.0378407305576,143.28309084858842,152.78839660058193,162.52803787061833,172.47651858089517,182.6084557533269,192.89848707065585,203.32119759159517,213.85106584556866,224.4624292055365,235.12946816843575,245.82620893715506,256.52654348269107,267.2042660644336,277.8331249990617,288.3868882955803,298.83942161830925,309.16477690448676,319.33728985201225,329.33168440883213,339.12318234111433,348.687615934419,358.0015418914413,367.0423545315144,375.78839646992355,384.2190650573031,392.3149129882694,400.05774164059716,407.43068587773575,414.41828923395184,421.00656859831554,427.1830677164858,432.9368990332513,438.258773599723,443.14101896297893
IN,0.2,0.3938434802648347,0.5337199544707514,0.6489173092367834,0.7524879038168676,0.8619313134841983,1.0014163373510199,1.2081063805490155,1.542460686711332,2.1055621022258153,3.0680923197722842,4.717994642754384,7.536371563993338,12.311492435477074,20.29307801780844,33.36372669639408,54.15780080004005,86.01677642790244,132.69420253424883,197.83380423855857,284.3597710093521,393.9490198665622,526.7049460452433,681.076012376768,853.999646446699,1041.2144337180519,1237.6693668307933,1437.9614001032435,1636.7450780331287,1829.0750701761892,2010.6600339167367,2178.02170993434,2328.565091753198,2460.5734113434637,2573.14575436236,2666.0960122969664,2739.8304600985457,2795.2184094191566,2833.4669158115016,2856.0070190739184,2864.395871794912,2860.236577233656,2845.11568045069,2820.5570004304464,2787.989761715548,2748.7286640613447,2703.963500443482,2654.756094419068,2602.0425949492337,2546.6394794304683,2489.251932278874,2430.4835611580584,2370.8466719390944,2310.7725412123464,2250.621301589079,2190.691193332033,2131.227040881335,2072.4278900103104,2014.453795971465,1957.431789915743,1901.4610742728823,1846.6175111487794,1792.9574739340878,1740.521133429244,1689.3352475600302,1639.4155194430998,1590.768583078405,1543.393669942912,1497.284003679739,1452.427964207651,1408.8100570938054,1366.4117190334196,1325.2119858033598,1285.1880451047418,1246.3156932607355,1208.5697117538832,1171.9241770290264,1136.3527148073108,1101.8287083080465,1068.325468215057,1035.8163709125993,1004.2749704169426,973.6750885113298,943.9908868263593,915.1969239706341,887.2682002870771,860.1801923709031,833.9088791209016,808.4307607937878,783.7228722813219,759.7627916228233,736.5286445942281,713.9991060728048,692.1533987589679,670.9712897390751,650.4330852921778,630.5196242765224,611.2122703757913,592.4929034386563,574.3439101065809,556.7481738925941,539.6890648468913,523.1504289226575,507.1165771367287,491.57227460397064,476.50272951106143,461.8935820842823,447.73089359660463,434.00113545151964,420.69117837444855,407.788281736996,395.28008303460297,383.154587534178,371.40015810492247,360.00550524272086,348.95967729606014,338.25854476702114,327.94702345283906,318.1018418595759,308.81517800398547,300.18437760565524,292.30599384258534,285.27282934384624,279.17301347491247,274.0904236786887,270.10597087305047,267.2994275324147,265.75159390978814,265.5466822836822,266.7748589880009,269.5349256231028,273.8625144618634,279.7561635211238,287.192979182676,296.13798903119005,306.5496691555517,318.3831521495157,331.5920302171846,346.12930926476616,361.94785247844635,379.00051998403234,397.2401310901293,416.61932694733656,437.0903818551268,458.60499341924276,481.114070753291,504.56753316180124,528.9141275552846,554.1012702064761,580.0749167377584,606.7794630541458,634.1576790752115,662.1506764358645,690.6979107394752,719.7372184121164,749.2048877001316,779.0357628649552,809.1633801576446,839.5201337046212,870.0374690122273,900.6461014088711,931.2762563980634,961.8579286013951,992.3211557342947,1022.5963038846306,1052.6143602585546,1082.3072295212137,1111.6080298919258,1140.4513852520874,1168.7737096855913,1196.5134810904703,1223.6115007700569,1250.0111362242985,1275.658544708432,1300.5028754979203,1324.4964491862818,1347.5949127371766,1369.7573694053435
D,0.01,0.19,0.3673152140088549,0.5397348416695076,0.7065852121069367,0.8678547623200046,1.0243898278332362,1.1781945810133465,1.333036366333747,1.495543439048681,1.6771275886237507,1.8972825600865593,2.1891402921058454,2.6086109610218453,3.248876597107448,4.2620503178954285,5.888590757438398,8.491562027171888,12.5874038956711,18.860869856254475,28.15345189269918,41.42196633971705,59.67256394189509,83.88115811079305,114.9129682995628,153.45238094098553,199.95103713426437,254.598195937347,317.3138486277823,387.7622578010631,465.38175773741835,549.4257636889475,639.0098525454935,733.1602855956506,830.8602205596262,931.0908994975318,1032.86613747519,1135.2593598387903,1237.4231785618165,1338.6020370602164,1438.138795763378,1535.4763047611984,1630.1550516230832,1721.8079202581603,1810.1529852449366,1894.9851239901227,1976.167077876882,2053.62044797505,2127.3169799132525,2197.2703806946556,2263.528818912202,2326.168188220551,2385.286160055152,2440.9970128705236,2493.4271988677287,2542.711592689631,2588.990357556173,2632.406360812272,2673.103071248621,2711.2228735484514,2746.9057398264586,2780.288203726386,2811.502588402863,2840.676445564797,2867.932168360551,2893.386746091378,2917.1516334695843,2939.3327113600294,2960.030319659355,2979.3393461991914,2997.349358342901,3014.1447663220783,3029.8050093734146,3044.404757432587,3058.0141225613793,3070.698875465776,3082.5206634411547,3093.5372268868337,3103.8026121931684,3113.367379343648,3122.2788030121287,3130.581066288698,3138.31544645117,3145.5204924252257,3152.2321937548963,3158.484141045125,3164.3076779465923,3169.732044835799,3174.7845144054436,3179.4905194254325,3183.8737729667346,3187.9563814014346,3191.7589505049846,3195.300684992592,3198.5994818224044,3201.6720175948362,3204.5338303709896,3207.19939622446,3209.68220083048,3211.99480638485,3214.148914132863,3216.155422775704,3218.0244830089277,3219.7655484346797,3221.3874230765978,3222.8983057137975,3224.3058312382022,3225.617109227713,3226.8387599164084,3227.9769477321224,3229.037412561411,3230.0254988920638,3230.9461829739726,3231.8040981303097,3232.60355834259,3232.6780605308595,3232.7480010311556,3232.8136625932157,3232.8753383490675,3232.933347772487,3232.988043965449,3233.039815593558,3233.089085801924,3233.136309706471,3233.181971520385,3233.2265819959357,3233.2706766008123,3233.3148146749454,3233.359579704745,3233.405580788426,3233.4534553347885,3233.503873028346,3233.5575037813264,3233.6149997209727,3233.6769855444845,3233.7440538134106,3233.816763115042,3233.8956378399894,3233.9811688235272,3234.073814400848,3234.1740016102167,3234.282127389799,3234.3985596819907,3234.5236384005693,3234.6576762412997,3234.800959332148,3234.9537477287486,3235.1162757666193,3235.2887522852,3235.4713607409535,3235.664259228024,3235.867580425616,3236.0814314914614,3236.305893920667,3236.5410233888356,3236.7868495977727,3237.0433761412555,3237.31058040732,3237.588413532319,3237.8768004206145,3238.1756398422326,3238.4848046191373,3238.8041419089895,3239.1334735933983,3239.4725967757395,3239.821284391674,3240.1792859335656,3240.546328288097,3240.922116684567,3241.306335749624,3241.698650662612,3242.0987084042526,3242.5061390901305,3242.9205573793647,3243.341563947963,3243.7687470156798,3244.201683914713,3244.6399426883127
R,0.0,1.0946351188496752,2.1790020654551356,3.383030434297585,4.762715982451567,6.446220104324975,8.664184279676778,11.822224165047178,16.62428748527653,24.2837420968447,36.88044107225758,57.954734472499865,93.46862182583361,153.2897081123295,253.3073100244668,418.06657926820935,683.3308377025804,1097.4422572688159,1720.3025018043659,2619.583922933468,3864.8852126586708,5521.163266083826,7642.731436172556,10268.71372027279,13420.37648221475,17100.367537686096,21293.620543686106,25969.528873751602,31084.93794876629,36587.522928707636,42419.184072795644,48519.181955534514,54826.83048371298,61283.653875390926,67834.98623089456,74431.04547073046,81027.54727958147,87585.94174667493,94073.35936101357,100462.34794143462,106730.47163453094,112859.83025483176,118836.54409159858,124650.23720433438,130293.54187897306,135761.63856285848,141051.8391858755,146163.21708827518,151096.28352217545,155852.70857246153,160435.08307756882,164846.7174861646,169091.4733723586,173173.62340327224,177097.73579961856,180868.57967417332,184491.04802052968,187970.09551942928,191310.6887097046,194517.7664223954,197596.20869339406,200550.81264985443,203386.2741091345,206107.1738384547,208717.96760181268,211222.9792714497,213626.396407786,215932.26781754772,218144.502687843,220266.87096693256,222303.00472277412,224256.40026016976,226130.42081828357,227928.29970392195,229653.143743549,231307.93695959935,232895.54439513295,234418.7160259828,235880.0907118795,237282.20014809782,238627.47278736855,239918.2377084713,241156.72841334957,242345.08653899236,243485.36547389548,244579.5338718009,245629.47905774004,246637.01032327756,247603.86210935022,248531.69707628913,249422.10906155774,250276.6259264803,251096.71229381126,251883.772178437,252639.15151383402,253364.1405771483,254059.97631593255,254727.8445796883,255368.8822594254,255984.17933847793,256574.78085781282,257141.68879903978,257685.86388828635,258208.22732404084,258709.6624319955,259191.0162498418,259653.10104488514,260096.69576725626,260522.54744140443,260931.37249846448,261323.8580519949,261700.66311949203,262062.41979199162,262409.7343539791,262743.1883557402,263063.3396401969,263370.754055936,263666.44641459594,263951.7227964236,264228.05039450864,264496.9735067351,264760.06303481926,265018.8898846186,265275.0151372705,265529.99183259095,265785.37474355445,266042.7356960597,266303.68287098006,266569.88317814114,266843.08726785216,267125.1570888559,267417.4244343252,267720.8931712199,268036.3614189297,268364.4951320533,268705.8721323416,269061.00813818147,269430.37180498487,269814.3930435592,270213.4672191007,270627.9568240689,271058.1916057853,271504.4677579069,271967.0465592769,272446.15270658856,272941.9725039426,273454.65202150575,273984.29530418786,274530.9626916709,275094.6692984562,275675.38369391806,276273.0268158943,276887.47114603507,277518.54017034284,278166.0081437122,278829.60017263406,279508.9926254918,280203.81387504487,280913.6453728099,281638.02305018314,282376.43903638504,283128.3436787445,283893.14784656814,284670.22549594776,285458.9164694278,286258.52950154664,287068.34539893415,287887.62036192836,288715.589413578,289551.46990143135,290394.4650376525,291243.7674437245,292098.56266724947,292958.03264008206,293821.3590491677,294687.72659393627,295556.32610684447,296426.3575165966
