COUNTY,POP,AREA,DENS
AZ-Maricopa,200000,9200,487.545
CA-Los Angeles,200000,4752.32,2112.464438
FL-Broward,200000,1203.105,1623.115189
FL-Miami-Dade,200000,1898.753,1430.907548
FL-Palm Beach,200000,,
GA-Fulton,200000,534,1992.391386
IL-Cook,200000,1634.89,3150.201543
LA-Jefferson,200000,296,1461.125
MA-Essex,200000,828.69,952.1461584
MA-Middlesex,200000,847.63,1901.418072
MA-Suffolk,200000,120.07,6695.319397
MA-Worcester,200000,1579.11,526.0064213
MD-Prince George's,200000,483,1882.664596
MN-Hennepin,200000,554,2284.915162
NC-Mecklenburg,200000,524,2119
NJ-Bergen,200000,246.82,3776.849526
NJ-Essex,200000,129.59,6165.406281
NJ-Hudson,200000,62.26,10799.72695
NJ-Middlesex,200000,322.65,2557.142414
NJ-Passaic,200000,197.07,2546.435277
NJ-Union,200000,105.46,5275.37455
NV-Clark,200000,7891,287.2531998
NY-Nassau,200000,453.32,2993.302744
NY-New York,200000,302.64,27546.97661
NY-Orange,200000,838.58,459.0378974
NY-Rockland,200000,199.36,1634.174358
NY-Suffolk,200000,2373.39,622.148488
NY-Westchester,200000,500.21,1934.199636
PA-Philadelphia,200000,134,11821.37313
TX-Dallas,200000,873,3018.918671
TX-Harris--Houston,200000,671.7,3454.32187
TX-Harris,200000,671.7,3454.32187
CA-Riverside,200000,7206,342.8456842
OH-Franklin,200000,532,2475.105263
VA-Fairfax,200000,391,2934.86445
SC-Charleston,200000,916,449.1331878
MI-Oakland,200000,868,1448.829493
TN-Shelby,200000,763,1228.264744
WI-Milwaukee,200000,241,3924.174274
UT-Salt Lake,200000,742,1563.931267
