series,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-04,2020-07-05,2020-07-06,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-11,2020-07-12,2020-07-13,2020-07-14,2020-07-15,2020-07-16,2020-07-17,2020-07-18,2020-07-19,2020-07-20,2020-07-21,2020-07-22,2020-07-23,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-07-31,2020-08-01,2020-08-02,2020-08-03,2020-08-04,2020-08-05,2020-08-06,2020-08-07,2020-08-08,2020-08-09,2020-08-10,2020-08-11,2020-08-12,2020-08-13,2020-08-14,2020-08-15,2020-08-16,2020-08-17,2020-08-18,2020-08-19,2020-08-20,2020-08-21,2020-08-22,2020-08-23,2020-08-24,2020-08-25,2020-08-26,2020-08-27,2020-08-28,2020-08-29,2020-08-30,2020-08-31
S,68778.82307519364,68761.65087260676,68749.21525898227,68734.12811436219,68713.67328018637,68685.52492567255,68646.83871120823,68593.95574457619,68522.24754072813,68426.0595110085,68298.80386324806,68133.26506348865,67922.14378757143,67658.78438872317,67337.9393333648,66956.38078056993,66513.21331600094,66009.84924252334,65449.71191301087,64837.78342678639,64180.10819926816,63483.33007712048,62754.30362217458,61999.792484719015,61226.25134542854,60439.680092702874,59645.536435152586,58848.693521799796,58053.43078620094,57263.448274423274,56481.89672497839,55711.41745125398,54954.1875724025,54211.96734868084,53486.14733104263,52777.79377083945,52087.69129272699,51416.382247742695,50764.202464540394,50131.313330328616,49517.7302798083,48923.34786683748,48347.96165266318,47791.28717647029,47252.97628648894,46732.631108898975,46229.8159217273,45744.06718515695,45274.90196057333,44821.8249299987,44384.33420652943,43961.92610582004,43554.099029094046,43160.356589930685,42780.21010035412,42413.180516602195,42058.799931367495,41716.61268722457,41386.17617529491,41067.061373846715,40758.85317336469,40461.15052753731,40173.56646348133,39895.727979245625,39627.27585210856,39367.86437730998,39117.16105355815,38874.846228846494,38640.61271773784,38414.16539926571,38195.22080291058,37983.50668868799,37778.76162619564,37580.73457647355,37389.184479704614,37203.879851098194,37024.59838673319,36851.12658067186,36683.259354274705,36520.799698336625,36363.55832841351,36211.353353507075,36064.009958115115,35921.36009752782,35783.24220615267,35649.50091857511,35519.98680300616,35394.55610672744,37243.454515245685,39086.25032622669,40921.87297098296,42750.5568580183,44572.395958656154,46387.368927901145,48195.35929010499,49996.171132409836,51789.540889626296,53575.14583787662,55352.60988536342,57121.50718698509,58881.36403468983,60631.65939948109,60401.4404286419,60172.40354810483,59944.018326052435,59716.05152508654,59488.448417328356,59261.25881150581,59034.59110923263,58808.58394436072,58583.388848425515,58359.1598202353,58136.04720640574,57914.19426119456,57693.73535955171,57474.79521897321,57257.48872640733,57041.92111820757,56828.18835676133,56616.37760762706,56406.567758834586,56198.829947688966,55993.2280751751,55789.81929718578,55588.65448737353,55389.7786697763,55193.23142132316,54999.04724541697,54807.25591834884,54617.882810534844,54430.94918461033,54246.47247235333,54064.46653228714,53884.941889664224,53707.905960377684,53533.36326019315,53361.31560054985,53191.76227204629,53024.70021660622,52860.124189212795,52698.02691000355,52538.39920743478,52381.2301531497,52226.50718912026,52074.21624757538,51924.34186417899,51776.86728487777,51631.7745668005,51489.04467355776,51348.657565261485,51210.59228355843,51074.82703194886,50941.339251642115,50810.10569318289,50681.102484066454,50554.305192547115,50429.688887831675,50307.228196838245,50186.89735769069,50068.670270109644,49952.52054285261,49838.42153834768,49726.34641465851,49616.26816491126,49508.159654308096,49401.993654846134,49297.742877855,49195.38000446132,49094.87771408338
E,0.0,17.172202586882122,26.027810610116585,35.68876093151556,48.70331693741667,66.69816047595464,91.47935682223016,125.29100117246944,170.87893980033778,231.44267738117017,310.44789965297707,411.26551911927976,536.6474814801434,688.1283382556703,865.5146094031452,1066.6334583246191,1287.4326078234994,1522.3968692253547,1765.1497926557254,2009.085523565987,2247.913058636189,2476.0534914522514,2688.8802729109357,2882.8222935382705,3055.361906899141,3204.9611296701696,3330.944792137062,3433.363041385922,3512.8492854652004,3570.484269038458,3607.6727341511505,3626.0359918660242,3627.3215417618685,3613.329429217559,3585.8541412402637,3546.6403555557117,3497.350651780918,3439.543273896352,3374.658130569505,3304.0093843822447,3228.783178032877,3150.03925184531,3068.7154074979117,2985.633958851501,2901.5094773709984,2816.957285009348,2732.502271529424,2648.5877172072665,2565.583887469383,2483.7962353593894,2403.4731029780382,2324.8128563049554,2247.970421048946,2173.0632121492563,2100.176467811074,2029.3680118388377,1960.6724766613731,1894.1050247680794,1829.664609074374,1767.3368136417755,1707.0963157038266,1648.909008499246,1592.7338223064758,1538.5242785553378,1486.229809149114,1435.79687030388,1387.1698774032511,1340.2919846478553,1295.1057306984646,1251.5535691004513,1209.578300052145,1169.123418047629,1130.1333880850516,1092.5538614789614,1056.3318408402638,1021.4158024787467,987.755783327993,955.3034384777189,924.0120745108998,893.8366630696346,864.7338384023433,836.6618820641163,809.5806974412926,783.4517763409451,758.2381595171466,733.904392690798,710.4164793513835,687.7418314010359,665.8492185082137,654.6233047223581,652.910899585529,658.4942488886135,669.7583858722187,685.5403431749842,705.0147357860124,727.607689518141,752.9326219617536,780.7427028538289,810.8959282308558,843.3296519634359,878.0421511360743,915.079382965908,954.5255452480285,984.5660081013934,1007.692073328999,1025.5784697221313,1039.372274477102,1049.87688921649,1057.6696320890683,1063.177231573355,1066.724555482715,1068.5662769600947,1068.9076279027904,1067.9181464797216,1065.7409053950657,1062.4988074694106,1058.298963686072,1053.2358054696433,1047.393351450883,1040.8469011554625,1033.6643334345501,1025.907126699378,1017.6311788597641,1008.8874795010587,999.7226703040069,990.1795188562614,980.2973238051164,970.1122644684065,959.6577047278365,948.964458745314,938.0610244260304,926.9737893808265,915.7272132709875,904.3439897570483,892.8451907575243,881.2503953125258,869.577805013245,857.8443476823462,846.0657707591924,834.2567256482083,822.4308441217192,810.6008077252329,798.7784110094617,786.9746193063795,775.1996216738235,763.4628795525872,751.7731716099513,740.1386351827534,728.5668046802109,717.0646472607555,705.6385960572184,694.2945811900483,683.0380587781738,671.8740381310445,660.8071072827944,649.8414570098943,638.9809034567254,628.228909478849,617.5886048010723,607.0628050764512,596.6540299228993,586.3645200058767,576.1962532285521,566.150960084701,556.2301382242924,546.4350662771176,536.7668169758159,527.2262696161794,517.8141218895842
I,10.0,7.30199512685347,7.858910372073759,9.5687277592379,12.238904888310884,16.103840299101105,21.57406810625343,29.215133929336012,39.7702315577276,54.18610919925948,73.6249090721053,99.4452242051847,133.1351494390647,176.1862569349231,229.91351081869027,295.2486254550721,372.5521917143029,461.4911949220532,561.0108733932564,669.4027061512396,784.4470391695735,903.5973216468835,1024.1730924326353,1143.5362544435407,1259.234959364851,1369.1083813214716,1471.352362440377,1564.5501520726348,1647.6746190423812,1720.068962624269,1781.4126255901747,1831.678253792386,1871.0844593159914,1900.048028099338,1919.138184975207,1929.0346476336244,1930.4904858476202,1924.3002497949499,1911.273424982749,1892.21298890644,1867.8986625909392,1839.0743462706107,1806.4391829554868,1770.6416899173175,1732.2764227832577,1691.882679445975,1649.9448034404681,1606.893702993776,1563.1092585503366,1518.9233455005015,1474.623248419729,1430.455287459481,1386.6285162697643,1343.3183840116449,1300.6702819202264,1258.8029179399166,1217.8114816886066,1177.7705769575546,1138.7369106539961,1100.751736048911,1063.8430548650902,1028.0275875432949,993.3125243178292,959.6970718277018,927.1738111485998,895.7298835736751,865.3480203785267,836.0074323248159,807.6845739056721,780.3537964077432,753.9879028320659,728.5586166344301,704.0369751571784,680.3936575586958,657.5992560254994,635.6244980890068,614.4404269734309,594.0185460772686,574.3309329398576,555.3503273654669,537.0501977677679,519.4047892535879,502.38915648220507,485.97918391032215,470.15159565836916,454.8839569060664,440.1546684395061,425.94295572391735,412.2288536615689,419.53884106025544,423.5889595547319,426.4962225185309,429.58562847699494,433.653076704397,439.1482624791319,446.3005054988667,455.20423510328044,465.8762219255964,478.2932251110989,492.4162190933753,508.2055436027771,525.6300085080306,544.6720471538431,565.330347080393,585.8652877836964,605.2865064818695,623.067927495482,638.9679903836295,652.916493936983,664.9436343889274,675.1357617733104,683.6080388954672,690.4877740875454,695.9044740886854,699.984107927706,702.845990519377,704.6012781792826,705.3524393222762,705.1932995774134,704.209410548043,702.4785866962959,700.0715152066064,697.0523818375038,693.4794797700795,689.4057834491377,684.8794786714924,679.9444458003259,674.6406963124402,669.0047647699695,663.0700592937687,656.8671740484679,650.4241673488418,643.7668089025315,636.918799502413,629.9019662271963,622.7364359342589,615.4407895540684,608.0321994321638,600.5265517186008,592.9385555788255,585.2818407949047,577.5690451415378,569.8118927562554,562.02126457629,554.2072617842563,546.3792630894425,538.5459765697012,530.715486709199,522.8952971883463,515.0923699128664,507.3131607080969,499.56365205126315,491.8493831677479,484.17547777651237,476.5466697341119,468.9673267955631,461.44147268311707,453.972807630278,446.5647275477536,439.22034194004675,431.94249068576414,424.73375978112654,417.59649613435965,410.53282148839355,403.54464554039896,396.63367831896625,389.801441873033,383.0492813208494,376.3783753022237
A,0.0,0.0,1.053008512439956,2.6010556412618113,4.670963511893655,7.44459265789604,11.195264122138385,16.294590937290447,23.23485859396788,32.65429291115317,45.358227229485344,62.32780867894647,84.70617374181215,113.75311005248798,150.76508864985567,196.96762828767268,253.39715397007586,320.7943668036693,399.52801541231486,489.55903505937397,590.4450669411036,701.3781455674437,821.2450278163476,948.6995053247208,1082.237742230643,1220.270058115758,1361.1849139165884,1503.4028163397475,1645.419334151801,1785.8374430190897,1923.3900612459574,2056.953995196994,2185.556661578537,2308.376961165383,2424.7415968963664,2534.1179967980397,2636.104845964205,2730.421070082212,2816.893957429323,2895.4469637536517,2966.087618527574,3028.8958429554614,3084.012899586615,3131.6311192790376,3171.9844919354637,3205.340161029503,3231.990826565531,3252.2480349642365,3266.4363157812813,3274.8881126786573,3277.939448401762,3275.9262595859163,3269.1813361188324,3258.03180077654,3242.79706732761,3223.787218784725,3201.3017515978727,3175.6286360403387,3147.043647618995,3115.809928883567,3082.177745401348,3046.3844038263364,3008.6543038757054,2969.1990996041895,2928.2179486271725,2885.8978308867067,2842.4139211906577,2797.930002098788,2752.598905799651,2706.5629754396755,2659.954537952611,2612.896381815559,2565.502234348419,2517.8772341971726,2470.1183955169836,2422.3150611163396,2374.5493424544748,2326.8965449157454,2279.4255772296056,2232.1993442751004,2185.2751228147617,2138.70491995364,2092.5358143230214,2046.8102801521811,2001.5664945214874,1956.8386281915823,1912.6571204808388,1869.048938720778,1826.0378228600084,1783.6445158144331,1742.4949479292195,1703.1158078904646,1665.8737861545487,1631.0198302743638,1598.7221368412174,1569.0906236717556,1542.1950086986826,1518.0781269518845,1496.7657254493602,1478.273670004683,1462.613261837158,1449.7951814514329,1439.832440698062,1432.742621452437,1427.8180249474285,1424.5359744468876,1422.500309990883,1421.4032663909973,1421.0003701813628,1421.0936914762365,1421.5204884610298,1422.145357510489,1422.854682848713,1423.5526117825075,1424.1580563725797,1424.6023976386086,1424.8276804458596,1424.7851591257859,1424.434100228012,1423.7407788373318,1422.677624492467,1421.2224856508942,1419.3579902377599,1417.0709856174885,1414.352045307501,1411.195032539198,1407.5967127644683,1403.5564086667844,1399.0756923338452,1394.158110094662,1388.8089361913403,1383.0349519935983,1376.844247905532,1370.246045482158,1363.2505375839621,1355.868744662589,1348.1123854984432,1339.9937609077506,1331.5256491075263,1322.7212115758225,1313.593908374776,1304.1574220179568,1294.4255890635095,1284.4123387024254,1274.131637688577,1263.5974410252127,1252.8236478826414,1241.8240622748456,1230.612358069606,1219.202047948208,1207.606455967563,1195.8386934102252,1183.911637636815,1171.8379136812255,1159.6298783520783,1147.2996066245382,1134.8588801251105,1122.3191775286678,1109.6916667019218,1096.9871984410688,1084.2163016635552,1071.3891799249986,1058.5157091423728,1045.6054364137497,1032.6675798332813,1019.7110292077837,1006.744347588333,993.7757735367693,980.8132240529742
IH,2.0,2.4951000480461993,2.7516489468414727,3.021043296426213,3.3824530261613224,3.893576531721437,4.622619699644196,5.659524245989374,7.124582442578104,9.177757908711984,12.028869054865106,15.947565800728981,21.270971886579336,28.40587878095499,37.82192044022185,50.032870459648265,65.56541298045255,84.91796818553809,108.51514574123789,136.6648547592249,169.5245106321876,207.08062564873893,249.14332997144444,295.35491902141257,345.2098377502637,398.0826806817622,453.2606645349748,509.9773885137147,567.4453151458497,624.8851102791579,681.5506600806448,736.7491707149754,789.8562246199688,840.3260121316379,887.697189154803,931.5949482364758,971.7299516700159,1007.8947803943023,1039.9585185019773,1067.8600343031976,1091.6004462860215,1111.2351843727035,1126.8659795850303,1138.6330426100003,1146.70762624375,1151.2851095456035,1152.5786931536704,1150.8137554017378,1146.2228870521285,1139.0415978133337,1129.5046694297139,1117.8431170746062,1104.2817121412843,1089.0370144695476,1072.3158598179275,1054.3142483373126,1035.2165813627914,1015.195196550846,994.4101548679207,973.009236879018,951.1281099527105,928.8906322096215,906.4092631601361,883.7855549078552,861.1107014734857,838.4661271797917,815.9240981115479,793.5483434195049,771.394675679353,749.511601658474,727.9409167029833,706.718277556518,685.8737497834845,665.4323271166269,645.4144210051703,625.8363194278608,606.7106146761328,588.0466003260143,569.8506380211522,552.1264949997367,534.8756535296083,518.0975935813041,501.7900501795108,485.94924693918625,470.5701073219876,455.6464451488976,441.1711358822964,427.13627015043767,413.53329093376965,384.0263007097613,357.3577455101848,333.203549520055,311.3114647596806,291.4787080785835,273.5368866014372,257.3419493386609,242.76756726290304,229.70082374881017,218.03944061071553,207.69000870730207,198.5668635728887,190.59136604331832,183.69143025846734,177.80119759579608,172.8607928669973,168.78108155522457,165.46129498866918,162.79935917155225,160.69769284312466,159.0662178577853,157.82367846342157,156.89795708822808,156.22581558263897,155.75232739348442,155.43016300719918,155.21882610330934,155.08389720560686,154.9963163208716,154.9317204722535,154.86984258355028,154.7939725760665,154.69047835690213,154.5483826902168,154.3589911712483,154.11556630054642,153.81304275300678,153.4477792093484,153.01734247808682,152.52032003000028,151.95615746270374,151.3250177921366,150.62765982099722,149.8653331571425,149.03968774659398,148.15269604677877,147.20658619771933,146.20378475431605,145.1468677240656,144.03851881396864,142.88149393033052,141.6785910978303,140.43262507161788,139.14640601010188,137.8227216581314,136.46432256189686,135.07390989935925,133.6541255644978,132.2075441911433,130.73666684351787,129.24391613660626,127.7316325808195,126.2020719726705,124.65740367689091,123.09970966602955,121.53098420148889,119.95313405552368,118.36797918725104,116.77725379746882,115.18260769728151,113.58560793439246,111.98774062861261,110.3904129748147,108.7949553773585,107.2026236850462,105.61460150003502,104.03200253792765,102.45587301955274,100.88719407780619,99.3268841654053
IN,2.0,3.7145487658765766,4.644786526531716,5.553638577827304,6.674737636716754,8.169862566453501,10.224581950167266,13.080085803382289,17.05624927174162,22.575931881219446,30.190989912581127,40.606944062025136,54.70033775481913,73.52022818309146,98.26425963612651,130.22213470818616,170.68582526788137,220.83502387569607,281.6144478086101,353.6230266502843,437.0325031946403,531.5461773340754,636.4003855066521,750.404366273431,872.0096909399609,999.3985615897327,1130.5804614605454,1263.4881399487497,1396.066045938937,1526.3465818818745,1652.5116166576033,1772.938401586535,1886.230324966169,1991.2338297780577,2087.0433583286967,2172.9964441717275,2248.661115331137,2313.8176672523473,2368.4366628844555,2412.65476369924,2446.7497215746757,2471.1155902855467,2486.2389620853482,2492.6768086499446,2491.0363109834266,2481.9569009318384,2466.094606614963,2444.108692841377,2416.650512088453,2384.3544282381945,2347.8306402741737,2307.659713068594,2264.3886140443224,2218.5280550912853,2170.550946261991,2120.8917794769113,2069.9467751179404,2018.0746406920534,1965.5978077141988,1912.8040298438411,1859.9482415760322,1807.2545920672653,1754.9185827355118,1703.109249985087,1651.9713457229968,1601.6274782661358,1552.1801848423434,1503.7139142454635,1456.296904415461,1409.9829448888381,1364.813018314638,1320.8168186682371,1278.014146525212,1236.41618388024,1196.026652602585,1156.8428617927275,1118.8566501177254,1082.0552297207596,1046.4219385794656,1011.9369082767703,978.5776540885408,946.3195941195052,915.1365039619277,885.000913034705,855.8844484037129,827.758131503444,800.5926327879787,774.3584889461553,749.026286929124,724.5668186640358,705.0603405798211,689.1479603157718,676.0881369365894,665.5101660996106,657.2554323230809,651.2778976734335,647.5839589491117,646.1979858294895,647.1442239430596,650.4388102750836,656.0877735363617,664.0883499322954,674.4319321063207,687.1076278610922,702.1058371028874,719.0704058164874,737.4979397318878,756.8516767010094,776.6231521963925,796.3624323621474,815.6898396762797,834.2971563321761,851.9431876609283,868.4466253180098,883.6779396520727,897.5512820169498,910.0169195504257,921.0544488068496,930.6668721179124,938.8755284314728,945.7158214015587,951.233664566257,955.4825558624859,958.521194852812,960.411561804731,961.217385702776,961.0029369322004,959.8320889205,957.767601016178,954.8705821134225,951.2001009259621,946.8129143818353,941.7632904044585,936.1029054359204,929.8808005248001,923.1433827214987,915.9344609729886,908.2953077533462,900.2647393664253,891.8792092651713,883.1729098940533,874.1778795162179,864.9241112688745,855.4396623277229,845.7507615781943,835.8819146083852,825.8560051730668,815.694392544561,805.4170043767002,795.0424248727095,784.5879781750857,774.0698069924651,763.502946550878,752.9013940095184,742.2781735181894,731.6453971181879,721.0143217032461,710.3954022644422,699.7983416445023,689.2321370240788,678.7051233565643,668.2250139597063,657.7989384624616,647.4334782947398,637.1346998963913,626.9081858103301,616.7590638133057,606.6920342267546,596.7113955394858
D,0.01,0.06603651644225828,0.13594487387596843,0.21304128460247085,0.2976856557789517,0.3924560980867793,0.5015473307562789,0.6310650831589883,0.7896350948918598,0.9892534854857361,1.2463982764630386,1.5834262357503988,2.0302492523536713,2.6262248352862296,3.4221080819691196,4.481812415282258,5.883646299364988,7.72067497062628,10.099928530862314,13.14033390514378,16.969445095540856,21.71922660924404,27.521265051263384,34.5018272044753,42.77715759249792,52.44933596705891,63.60291930775982,76.30249364818134,90.5911718064957,106.49000117262212,123.99819355096233,143.09405593588284,163.73648444517778,185.86688010414625,209.41135130198217,234.28308036989196,260.38474818708096,287.6109288941768,315.85038511099265,344.98821142164394,374.90778960677477,405.49253278511634,436.6274071252748,468.2002291218938,500.1027437288507,532.2314941050862,564.4884975904758,596.781745035427,629.0255419987002,661.1407108270948,693.0546724392364,724.7014259292891,756.0214430341973,786.9614931938424,817.4744134776178,847.5188361326086,877.0588849887391,906.0638504801564,934.5078516419679,962.3694921387704,989.6315161891905,1016.2804691752201,1042.3063667676572,1067.7023755569012,1092.4645074464133,1116.5913294372751,1140.0836898982686,1162.9444619679998,1185.1783043648768,1206.791439578465,1227.7914491734643,1248.1870857473739,1267.988100937544,1287.2050887660719,1305.8493435359123,1323.9327314432758,1341.4675750451665,1358.4665497126625,1374.942591206654,1390.9088135302059,1406.3784362378356,1421.3647204146234,1435.88091257533,1449.9401957740529,1463.5556472571582,1476.7402020352501,1489.5066217929716,1501.8674685978306,1513.8350829105154,1521.2027274474567,1528.0446657834907,1534.4114684065555,1540.34793196374,1545.894358969519,1551.0874390873512,1555.9608618380814,1560.5457502829502,1564.8709767638757,1568.9634018632007,1572.8480639416173,1576.548337151966,1580.0860694209132,1583.4817076140232,1586.7544142915697,1589.9221786550393,1593.0019231499555,1596.0089821720996,1598.9568947895962,1601.8573814868325,1604.720424208499,1607.5544000375442,1610.3662383778271,1613.1615837629306,1615.9449540548546,1618.7198885261407,1621.489083211217,1624.254512648804,1627.0175381489623,1629.7790032793969,1632.5393175490383,1635.2985293819506,1638.0563894899633,1640.8124057110747,1643.5658903092544,1646.3160006461094,1649.06177404575,1651.802157586796,1654.53603347293,1657.2622405572988,1659.9795925269652,1662.6868931915783,1665.3829492651323,1668.0665809806987,1670.7366308347719,1673.3919707198247,1676.0315076702777,1678.654188417824,1681.2590029264527,1683.8449870551467,1686.4112244766916,1688.956847964002,1691.4810401405168,1693.9830337782744,1696.4621117160154,1698.917606459856,1701.3488995205435,1703.7554205338968,1706.1366462045833,1708.4920991077893,1710.8213463784807,1713.1239983137255,1715.3997069098912,1717.648164353355,1719.8691014806066,1722.0622862212401,1724.2275220352647,1726.3646463543673,1728.4735290352237,1730.554070831598,1732.6062018908297,1734.6298802792935,1736.6250905405611,1738.591842289249,1740.530168842893,1742.4401258936432,1744.321790221093,1746.1752584471574,1748.0006458335647,1749.7980851222283
R,0.0,0.43231954278149604,1.1457063694916607,2.0586933405725345,3.1917333509888106,4.605660891870773,6.396925954212524,8.70592944581249,11.731037704254588,15.747541418125987,21.13191874708123,28.391523603052867,38.19892406741097,51.428649428033005,69.1922447988071,92.86576497320011,124.10292113709788,164.827734687342,217.20295864074632,283.574168315984,366.3932522562326,468.12800981450476,591.166079329765,737.7214246687579,909.7504349877256,1108.8828351448008,1336.3705262437365,1593.0555214848864,1879.3565174420273,2195.272432754883,2540.400458938749,2913.9657548468513,3314.8598061034204,3741.684586016675,4192.799922253686,4666.371831588714,5160.419983685673,5672.862857136604,6201.5595311742445,6744.34739839861,7299.075378766484,7863.632459841416,8435.9715836948,9014.129050293663,9596.239715658958,10180.548336227313,10765.417454571814,11349.332241592874,11930.902711680032,12508.863714777774,13082.073086721568,13649.508309950765,14210.262003442256,14763.53652557085,15308.63793822309,15844.969546081147,16372.025192408835,16889.38246248005,17396.695918327292,17893.690463911058,18380.15491814077,18855.93585433536,19320.931748549014,19775.08746551096,20218.389099517306,20650.859178236205,21072.552229810906,21483.55070764273,21883.96126259234,22273.9113488543,22653.546147255165,23023.025788035917,23382.522854161118,23732.22014572233,24072.30868596262,24402.985949747494,24724.45429586553,25036.919585291616,25340.5899684313,25635.674825340102,25922.383843939282,26200.926222299797,26471.509982115247,26734.341381514438,26989.624416361123,27237.560400142505,27478.347613452515,27712.181014926056,27939.25200627432,28159.74824480777,28372.654551656386,28578.942968153577,28779.3917930215,28974.67167676838,29165.396906877315,29352.154432281317,29535.51906247467,29716.0604205391,29894.34526804705,30070.937489777727,30246.39713735081,30421.27934720443,30596.133573286774,30771.50334051991,30947.926584269935,31125.90321874832,31305.85195882294,31488.09421684833,31672.85327304102,31860.261528779738,32050.371532687594,32243.168259607824,32438.581226756123,32636.495704695582,32836.76268457493,33039.20749907533,33243.63712688403,33449.84627960546,33657.62240112021,33866.74971827545,34077.012478189936,34288.19749734844,34500.0961346335,34712.505786599686,34925.23098982184,35138.08420266262,35350.88632758599,35563.46702527128,35775.66486322343,35987.32733423572,36198.310773821555,36408.48020046284,36617.70909809891,36825.87915658426,37032.87998276962,37238.60879231536,37442.97009024664,37645.875346534966,37847.2426715803,38046.99649531954,38245.06725275655,38441.39107795953,38635.90950797121,38828.56919760016,39019.3216456854,39208.12293313286,39394.93347279585,39579.717771099786,39762.44420118344,39943.08478723626,40121.61499964644,40298.01356053195,40472.262259201394,40644.34577707954,40814.25152163102,40981.96946882129,41147.492013665884,41310.8138284342,41471.93172809255,41630.84454259086,41787.55299561807,41942.05958947261,42094.36849571451,42244.48545128659,42392.41765981123,42538.173697788014,42681.763425435165,42823.197901934116,42962.48930485208
G,10.0,22.121239679172227,30.89909170702785,41.548564020727035,55.98689517763274,75.85580540682639,103.1630116565401,140.49119423821148,191.10743414148732,259.00310195695914,348.82828304414426,465.6761630953093,614.699072289269,800.5949921080278,1027.0679676159518,1296.3964155343142,1609.212376612908,1964.5189570959135,2359.8997354160297,2791.838026995825,3256.0672965650238,3747.897891913769,4262.491424580738,4795.073677290132,5341.088523294939,5896.300857344491,6456.858279385089,7019.321008934843,7580.668347887832,8138.28856691124,8689.957673103048,9233.811258419022,9768.312572816565,10292.219111942284,10804.549335931979,11304.550616337128,11791.669114856466,12265.522005415,12725.872238654416,13172.605897153471,13605.712086112357,14025.265236167066,14431.409653274397,14824.346128084342,15204.320408399255,15571.613339027006,15926.532480424252,16269.4050286623,16600.571872725446,16920.382639744814,17229.191593619867,17527.35426699956,17815.224720404774,18093.15333514211,18361.485058463,18620.558030115593,18870.702529025504,19112.24018736761,19345.483426817205,19570.73507837179,19788.288152896013,19998.4257345452,20201.420973548255,20397.537158555966,20587.027851957035,20770.137074297745,20947.099526271286,21118.140838722975,21283.477842795535,21443.31885375608,21597.863963240605,21747.30533565465,21891.8275053088,22031.60767156857,22166.81598988171,22297.615857029457,22424.164189347714,22546.611692992617,22665.103125593818,22779.777548857706,22890.768571859935,22998.20458490887,23102.208983974913,23202.90038576981,23300.392833629645,23394.795994408047,23486.21534662594,23574.752360152746,23660.504667713692,23750.564579208392,23845.687770537384,23945.708781175545,24050.56128014824,24160.260334119368,24274.88815905642,24394.583042793718,24519.531026511217,24649.95990937752,24786.135161054684,24928.357370271297,25076.960910489637,25232.313557323523,25394.81684192639,25556.48573153526,25717.69463887675,25878.608197834677,26039.26503884871,26199.630003730697,26359.626575683516,26519.156898061337,26678.114010207802,26836.389209907444,26993.87637289611,27150.47438114982,27306.08838422834,27460.630348540537,27614.019179525058,27766.18059462805,27917.046857454472,28066.556440974222,28214.653660966676,28361.288304168836,28506.415265175627,28649.9941996997,28791.98919786097,28932.368478811735,29071.10410662236,29208.17172658274,29343.550320680806,29477.221980853083,29609.171698570637,29739.387169368827,29867.85861101491,29994.57859411203,30119.541884048198,30242.74529330699,30364.187543258675,30483.86913464422,30601.79222604958,30717.960519743345,30832.37915431838,30945.054603637258,31055.99458163365,31165.207952567525,31272.704646372105,31378.495578765574,31482.592575831095,31585.00830279559,31685.75619676113,31784.85040316334,31882.305715749368,31978.137519883792,32072.361739004915,32164.99478406636,32256.05350580991,32345.5551497254,32433.517313562344,32519.957907265933,32604.89511521721,32688.34736066387,32770.33327223403,32850.871652430855,32929.981448011014,33007.681722154615,33083.99162833871,33158.93038583044,33232.51725671995,33304.77152441659,33375.71247353557
