series,2021-02-01,2021-02-02,2021-02-03,2021-02-04,2021-02-05,2021-02-06,2021-02-07,2021-02-08,2021-02-09,2021-02-10,2021-02-11,2021-02-12,2021-02-13,2021-02-14,2021-02-15,2021-02-16,2021-02-17,2021-02-18,2021-02-19,2021-02-20,2021-02-21,2021-02-22,2021-02-23,2021-02-24,2021-02-25,2021-02-26,2021-02-27,2021-02-28,2021-03-01,2021-03-02,2021-03-03,2021-03-04,2021-03-05,2021-03-06,2021-03-07,2021-03-08,2021-03-09,2021-03-10,2021-03-11,2021-03-12,2021-03-13,2021-03-14,2021-03-15,2021-03-16,2021-03-17,2021-03-18,2021-03-19,2021-03-20,2021-03-21,2021-03-22,2021-03-23,2021-03-24,2021-03-25,2021-03-26,2021-03-27,2021-03-28,2021-03-29,2021-03-30,2021-03-31,2021-04-01,2021-04-02,2021-04-03,2021-04-04,2021-04-05,2021-04-06,2021-04-07,2021-04-08,2021-04-09,2021-04-10,2021-04-11,2021-04-12,2021-04-13,2021-04-14,2021-04-15,2021-04-16,2021-04-17,2021-04-18,2021-04-19,2021-04-20,2021-04-21,2021-04-22,2021-04-23,2021-04-24,2021-04-25,2021-04-26,2021-04-27,2021-04-28,2021-04-29,2021-04-30,2021-05-01,2021-05-02,2021-05-03,2021-05-04,2021-05-05,2021-05-06,2021-05-07,2021-05-08,2021-05-09,2021-05-10,2021-05-11,2021-05-12,2021-05-13,2021-05-14,2021-05-15,2021-05-16,2021-05-17,2021-05-18,2021-05-19,2021-05-20,2021-05-21,2021-05-22,2021-05-23,2021-05-24,2021-05-25,2021-05-26,2021-05-27,2021-05-28,2021-05-29,2021-05-30,2021-05-31,2021-06-01,2021-06-02,2021-06-03,2021-06-04,2021-06-05,2021-06-06,2021-06-07,2021-06-08,2021-06-09,2021-06-10,2021-06-11,2021-06-12,2021-06-13,2021-06-14,2021-06-15,2021-06-16,2021-06-17,2021-06-18,2021-06-19,2021-06-20,2021-06-21,2021-06-22,2021-06-23,2021-06-24,2021-06-25,2021-06-26,2021-06-27,2021-06-28,2021-06-29,2021-06-30,2021-07-01,2021-07-02,2021-07-03,2021-07-04,2021-07-05,2021-07-06,2021-07-07,2021-07-08,2021-07-09,2021-07-10,2021-07-11,2021-07-12,2021-07-13,2021-07-14,2021-07-15,2021-07-16,2021-07-17,2021-07-18,2021-07-19,2021-07-20,2021-07-21,2021-07-22,2021-07-23,2021-07-24,2021-07-25,2021-07-26,2021-07-27,2021-07-28,2021-07-29,2021-07-30,2021-07-31,2021-08-01,2021-08-02,2021-08-03,2021-08-04,2021-08-05
S,15316290.1969387,15315226.05682776,15314338.219672406,15313551.995438155,15312821.294231443,15312117.568740087,15311423.04184356,15310726.552208833,15310021.003181186,15309301.795057753,15308565.861117614,15307811.074582882,15307035.883581942,15306239.086317036,15305419.692480424,15304576.83774974,15303709.730965884,15302817.621447653,15301899.778724073,15300955.479933627,15299984.001965247,15298984.61653917,15297956.587117068,15296899.166956427,15295811.597886294,15294693.109543145,15293542.918905213,15292360.230025258,15291144.23389975,15289894.108436078,15288609.018494012,15287288.115986774,15285930.540032798,15284535.417152833,15283101.8615093,15281628.975186296,15280115.848509496,15278561.560405869,15276965.17880345,15275325.761071676,15273642.354502961,15271913.996836232,15270139.716823237,16284992.03348228,17299667.03502758,18314156.742526338,19328448.576953255,20342525.830036703,21356367.890737195,22369950.26375876,23383244.411437333,24396217.442470178,25408831.662543528,26421043.994058445,27432805.265232973,28444059.36289603,29454742.238147557,29586560.964352135,29579419.23037404,29571746.36660208,29563490.61129645,29554603.74617547,29545038.550121475,29534747.40207857,29523681.534261145,29511790.659509707,29499022.82047756,29485324.37717369,29470640.08758075,29454913.2571479,29438085.94445154,29420099.21640851,29400893.449444972,29380408.674270447,29358584.962110344,29335362.849829853,29310683.80058458,29284490.69561671,29256728.351689972,29227344.057510428,29196288.12138886,29163514.421433996,29128980.94878809,29092650.333883706,29054490.34545987,29014474.352160636,28972581.73696687,28928798.255483087,28883116.33019587,28835535.27420221,28786061.43952125,28734708.286885418,28681496.37578175,28626453.275402952,28569613.398993064,28511017.76576357,28450713.696051873,28388754.446647268,28325198.79418806,28260110.57522019,28193558.191901278,28125614.092446256,28056354.23526525,27985857.545372766,27914205.371087424,27841480.948334217,27767768.879047338,27693154.62929101,27617724.051804304,27541562.936765574,27464756.593689602,27387389.466536976,27309544.7833468,27231304.24101126,27152747.725200713,27073953.064923123,26994995.820761573,26915949.105475016,26836883.435365535,26757866.610603746,26678963.622555688,26600236.586061947,26521744.69457531,26443544.196059566,26365688.387582228,26288227.626591288,26211209.356944952,26134678.147858217,26058675.744036697,25983241.12538218,25908410.57477294,25834217.75254153,25760693.776392143,25687867.30561599,25615764.628575902,25544409.752538785,25473824.495036468,25404028.576030917,25335039.710248794,25266873.699132614,25199544.521931376,25133064.425522693,25067444.01262118,25002692.328084696,24938816.943081025,24875824.036923222,24813718.4764226,24752503.89264422,24692182.754981488,24632756.442494303,24574225.312479325,24516588.766261954,24459845.312217563,24403992.62604495,24349027.60832795,24294946.439432032,24241744.631791715,24189417.079651974,24137958.10633267,24087361.509089585,24037620.601649128,23988728.254496224,23940676.932996478,23893458.733434565,23847065.417051107,23801488.442159917,23756718.994426765,23712748.015389714,23669566.229299586,23627164.168357432,23585532.196423974,23544660.531273898,23504539.26546566,23465158.385895208,23426507.79209966,23388577.313374493,23351356.724765565,23314835.76199466,23279004.13537499,23243851.542770695,23209367.681651965,23175542.260295205,23142365.008175395,23109825.685595606,23077914.09259651,23046620.077186733
E,0.0,1064.140110939589,1737.963666108244,2174.65886997053,2468.005475392109,2675.3802215452924,2831.85038363328,2958.8149252292055,3069.3044979053243,3171.2321533718455,3269.3865349829775,3366.653279269683,3464.762774245717,3564.747328606326,3667.220149176765,3772.5451328580402,3880.939828479613,3992.5375548359543,4107.424608198376,4225.662319981869,4347.299936542464,4472.381968790552,4600.952234428842,4733.05594299136,4868.740640168789,5008.056502119729,5151.056272107767,5297.795011458378,5448.329764174105,5602.719190983736,5761.023202736373,5923.30260791012,6089.618780327279,6260.033348355726,6434.6079043519,6613.403731909221,6796.481548043106,6983.901257427387,7175.721715995399,7372.000501515693,7572.7936890812725,7778.155629777625,7988.138731100353,8202.793237971,8551.5928066919,9015.537904218581,9584.050164347425,10252.807925992056,11022.261442988896,11896.654673247212,12883.420422925934,13992.850294591984,15237.96911527096,16634.56552055244,18201.34701152073,19960.200135797066,21936.54547625188,24159.7837112824,26442.644089376154,28797.51880913088,31261.686509536186,33861.38511081622,36616.57855300953,39543.615684170494,42656.704097916445,45968.71341407969,49491.59517744978,53236.57995274428,57214.241705881665,61434.480362456125,65906.45170600463,70638.46182229533,75637.83681665223,80910.77512783503,86462.18808516127,92295.53364051135,98412.6480123944,104813.58004328425,111496.43323119803,118457.22054513718,125689.73719761595,133185.45647355999,140933.45346715493,148920.3611350857,157130.3624286925,165545.22142609386,174144.35536993828,182904.94836233126,191802.10622249547,200809.0507304634,209897.35022221284,219037.18232948479,228197.6236287058,237346.96012769785,246453.01191453642,255483.46494445438,264406.20285739447,273189.63189484307,281802.9924001634,290216.6510103052,298402.36843822984,306333.5386588954,313985.3962993338,321335.1900483537,328362.3209005287,335048.44499488286,341377.5416706671,347335.94811816025,352912.3626367256,358097.8190180012,362885.63494829123,367271.3375757143,371252.5695235421,374828.97866370104,378002.09490787535,380775.197143304,383153.1732515923,385142.3759164708,386750.47666415724,387986.3203001062,388859.7816190943,389381.6259807045,389563.37506652344,389417.1788742989,388955.6947619719,388191.9741336185,387139.35716147756,385811.3757640182,384221.6649092494,382383.88218442106,380311.63546669425,378018.4184427212,375517.5536566301,372822.1427138065,369945.0232302081,366898.73209189635,363695.4745752248,360347.0988730174,356865.0755745492,353260.4816557961,349543.9885499879,345725.85388586,341815.9165011809,337823.59436129255,333757.8850358258,329627.3684108452,325440.21133793745,321204.17394579237,316926.6173633098,312614.5126259504,308274.45055875875,303912.65245007625,299534.9813493508,295146.95384058426,290753.75215981435,286360.2365406128,281970.9576859094,277590.1692775697,273221.84044710256,268869.6681417103,264537.0893296842,260227.29299795328,255943.23190248033,251687.63403923798,247463.01380974796,243271.6828606996,239115.76058203605,234997.18425216925,230917.7188227135,226878.9663383636,222882.37499033636,218929.24780418974,215020.75096487248,211157.9217835785,207341.6763124193,203572.81661411692,199852.03769488726,196179.93410945835,192557.00624777115,188983.66631336507,185460.24400377696,181986.9919034951,178564.0906001277,175191.6535344805,171869.73159520215,168598.317468563
I,3666.199410901074,2638.597118874565,2006.3885289945363,1619.3675007043817,1384.8851905174236,1245.7232656431738,1166.4901819640731,1125.2524264181884,1108.383292731992,1107.3902404787766,1116.959496250331,1133.749837847748,1155.6477027665055,1181.3065278680012,1209.8613339125313,1240.7514568050071,1273.6100967719972,1308.1952142077134,1344.3460621680454,1381.955656452797,1420.9531875756581,1461.2926620025823,1502.945468684899,1545.8954369660244,1590.1354900813662,1635.6653319291775,1682.4898119129216,1730.617741710439,1780.0610185647965,1830.8339604701584,1882.9527907764877,1936.435230266242,1991.3001680037344,2047.5673909166326,2105.2573578153497,2164.391007437068,2224.989592774073,2287.0745358261697,2350.6672982684195,2415.789264518126,2482.4616344293727,2550.7053234123523,2620.540868217101,2691.9883369704917,2765.067242334685,2852.854838930546,2962.8459930666627,3099.3675267797826,3265.0974604301746,3462.008617915417,3691.9490516084043,3956.99875270113,4259.693078393609,4603.170884927935,4991.284226057965,5428.692948466467,5920.959023847907,6474.6502570625,7097.45993097632,7776.030337157943,8501.998118830172,9273.105310593766,10090.374102376565,10956.554430167218,11875.274960761948,12850.58075021083,13886.68153918349,14987.812964425902,16158.156557227598,17401.788661321552,18722.64190887314,20124.470421502134,21610.81411512482,23184.95986498676,24849.898655029974,26608.278650954057,28462.354650904184,30413.934718442157,32464.325061335527,34614.27442213677,36863.9194072178,39212.73230299504,41659.473008474764,44202.146746116996,46837.96919196189,49563.34058563988,52373.830238177645,55264.17265035528,58228.27619027294,61259.24496299836,64349.41414851869,67490.39870062316,70673.15490499887,73888.0539072065,77124.96595791094,80373.35380030419,83622.3733574386,86860.97967646444,90078.03596006308,93262.42346610872,96403.15008406344,99489.45549623671,102510.91099591032,105457.5122519207,108319.76356830134,111088.75247480653,113756.21378627374,116314.5825732003,118757.03578123364,121077.52251381855,123270.78324229273,125332.35842564028,127258.58720432338,129046.59697746106,130694.28478015572,132200.29144945546,133563.9696058832,134785.34648608573,135865.0826449134,136804.42750637076,137605.17268666395,138269.6039431737,138800.4525244928,139200.84661221193,139474.26345801383,139624.4827324829,139655.54151702565,139571.6912891518,139377.3571753864,139077.09967618992,138675.57900403976,138177.5221195739,137587.69250146774,136910.86264338,136151.78923557754,135315.19095933688,134405.72879845242,133427.98875363916,132386.4668317559,131285.55617205042,130129.53616550134,128922.56342029074,127668.66442600552,126371.72977088748,125035.50976992719,123663.61136646125,122259.49617586503,120826.47954664881,119367.73052152563,117886.27258861231,116384.98512067954,114866.60540813855,113333.73119912142,111788.82366748984,110234.21073681678,108672.09069527678,107104.5360429112,105533.49751888156,103960.80826207103,102388.18806373616,100817.24767584843,99249.49314330715,97686.33013236221,96129.06823137251,94578.92520346216,93037.03117374005,91504.43273654056,89982.09697064373,88470.91535266466,86971.70756078369,85485.2251627419,84012.15518356963,82553.12354986851,81108.69840864642,79679.39331972683,78265.67032163545,76867.94287162049,75486.57866110349,74121.90230839663,72774.19793097093,71443.7115999287,70130.65367963229,68835.2010556767,67557.4992545765,66297.66445867093,65055.7854198452
A,3641.658716482743,3464.5730614418926,3402.7461406320235,3411.4558999091805,3463.5074440925637,3542.426852777484,3638.2915561774444,3745.1759171507483,3859.58703971149,3979.5078033030104,4103.812216499989,4231.908957151345,4363.524654462085,4498.572649449908,4637.07395449685,4779.110015405608,4924.794786973447,5074.2584852406535,5227.638355261384,5385.073616730634,5546.702865999576,5712.6628952303,5883.088305546053,6058.111544103676,6237.863148324606,6422.4720728891625,6612.0660303255345,6806.771808686501,7006.7155488193,7212.022974540438,7422.819574942243,7639.230741093258,7861.381860764731,8089.398375249397,8323.40580226925,8563.529728649915,8809.895776016258,9062.629542318082,9321.856521569027,9587.70200379663,9860.290956864837,10139.747891542884,10426.19671095382,10719.760545337616,11020.561572902896,11341.691799660737,11693.702475531914,12085.571609675333,12525.407516723335,13020.96934640249,13580.064265291156,14210.864706250197,14922.17711313933,15723.685032341251,16626.183448412823,17641.81726423061,18784.334259566174,20069.3613256033,21514.711970675977,23118.565314485266,24880.430960448597,26803.578400804476,28893.74768774781,31158.400521288175,33606.274227134054,36247.105130706695,39091.445887137874,42150.5337760881,45436.18515382599,48960.70149011603,52736.77822634203,56777.411040102554,61095.79608922031,65705.22204981206,70618.95260329297,75850.09865850744,81411.48012413486,87315.47753026511,93573.8742646779,100197.69064931966,107197.0115349614,114580.80952888202,122356.766378628,130531.09539843298,139108.3681263232,148091.34862198695,157480.83894240682,167275.53935124245,177471.92672035046,188064.15436410232,199043.97621151552,210400.69777582344,222121.15583990532,234189.72815800217,246588.3738024444,259296.70408451522,272292.08327806863,285549.757699733,299043.0110751978,312743.34356875665,326620.6713903189,340643.5435329686,354779.3719421356,368994.6712766625,383255.30438984325,397526.729727999,411774.2470050474,425963.2377509787,440059.3976356835,454028.95782191685,467838.89298706583,481457.11405820743,494852.64411528077,507995.7763212003,520858.21312535263,533413.1863500221,545635.5581016729,557501.9027463156,568990.5704477398,580081.7329880423,590757.4127717477,601001.4960590982,610799.7315828006,620139.7157783076,629010.8659036518,637404.3823442694,645313.2013945923,652731.9397848708,659656.8321820555,666085.6628407424,672017.6925171056,677453.5816880389,682395.3110417906,686846.1001272645,690810.3249686753,694293.4353719056,697301.8725699607,699842.9877783846,701924.9621581717,703556.7286141978,704747.895791931,705508.6745744481,705849.8073257495,705782.5000750701,705318.3577903119,704469.3228467606,703247.6167597381,701665.6852165939,699736.1464142104,697471.7426827427,694885.295354376,691989.6628171848,688797.7016784507,685322.2309487793,681575.9991477916,677571.6542237974,673321.7161734644,668838.5522428515,664134.3545880599,659221.1202720045,654110.633473214,648814.4497829948,643343.8824685748,637709.9905818572,631923.5687960326,625995.1388554175,619934.9425274073,613752.9359492718,607458.7852666003,601061.8634644595,594571.2482966987,587995.721223279,581343.7672699657,574623.5757291744,567843.04162517,561009.7678711538,554131.0680500208,547213.9697547042,540265.2184280368,533291.2816459385,526298.3537914719,519292.36107089475,512278.9668262721,505263.577102487,498251.3464296119,491247.1837845689
IH,0.0,318.78280655867036,539.6339363988898,699.5693472592459,821.5480435433553,919.8551201574306,1003.415961509049,1077.8383729956574,1146.6720713863056,1212.1863686619517,1275.8510581887044,1338.6343327224463,1401.1878015195996,1463.9617581818575,1527.2772909017337,1591.371634522177,1656.4268881397372,1722.5883558956073,1789.9763854065536,1858.6941079949474,1928.8325768201016,2000.4742374096193,2073.695317119133,2148.5675039281577,2225.1591503284867,2303.536153826622,2383.7626126087084,2465.901321378845,2550.014150968234,2636.162341496007,2724.4067298330633,2814.8079261293483,2907.426450120369,3002.3228351448834,3099.5577058496583,3199.191834153438,3301.286177013765,3405.9018987718878,3513.100380266721,3622.9432164578398,3735.492203944904,3850.8093194925787,3968.95669044863,4089.9965577659123,4213.991232197137,4341.0030441175895,4472.229737764822,4609.488513598605,4754.923888880765,4910.8555218802285,5079.712179971751,5264.017953945343,5466.409859968384,5689.674395212836,5936.795990060486,6211.013694743888,6515.884565562084,6855.353547460489,7233.83049339768,7656.275514143002,8126.353746015445,8646.904472084465,9220.494224338858,9849.70934010442,10537.305659710022,11286.280371728348,12099.901723113235,12981.716043532055,13935.54251272428,14965.461112411076,16075.796460785805,17271.0987323512,18556.122065447074,19935.80044716065,21415.220870501376,22999.593488085247,24694.218488722694,26504.449470138115,28435.65315711898,30493.165410924667,32682.243587321795,35008.015423120036,37475.42476090651,40089.17455499763,42853.667734217415,45772.94662430256,48850.631749518114,52089.86093429922,55493.22970640298,59062.73405858775,62799.71665241806,66704.81754264719,70777.93046226764,75018.1656367014,79423.81999220679,83992.35549137856,88720.38617193764,93603.67428931018,98637.1357750726,103814.85502897194,109130.10886881017,114575.39927665639,120142.49440768902,125822.47717469107,131605.80059098784,137482.34895040936,143441.50384643133,149472.21398454846,155563.0677215982,161702.36727164354,167878.2035478015,174078.5306601224,180291.23915792746,186504.22718731908,192705.46882726546,198883.07896720342,205025.3741922,211120.929245378,217158.62873893508,223127.71388247528,229017.82408876182,234819.03340104,240521.88176182527,246117.40120991485,251597.13715010372,256953.1648886764,262178.1016674537,267265.1144604176,272207.9238202879,277000.80407853716,281638.58021193306,286116.621692546,290430.83363700984,294577.64556542767,298553.9980713804,302357.32769269706,305985.55025859684,309437.0429730782,312710.6254775029,315805.540117649,318721.431622463,321458.3263836462,324016.6115073451,326397.01379178505,328600.57876788237,330628.6499238145,332482.84821933106,334165.05198131426,335677.377258794,337022.15870330465,338201.93102914945,339219.4110977902,340077.4806611924,340779.169790483,341327.6410086848,341726.1741395308,341978.1518783811,342087.0460860126,342056.40480147663,341889.8399662656,341591.01584864984,341163.63815418066,340611.44380596903,339938.1913763835,339147.65215022914,338243.6017982301,337229.81263869884,336110.04646460875,334888.04791284975,333567.53835222183,332152.21026666876,330645.72211036034,329051.6936114661,327373.70150181063,325615.2756500403,323779.8955764482,321870.9873281841,319891.92069420574,317846.0067399954,315736.4956427649,313566.5748085871,311339.36725362414,309057.9302323588,306725.2540964718,304344.2613687425,301917.806017074
IN,708.8194854678388,1327.1226329873584,1667.7927466616313,1842.728640001018,1920.4989224126955,1943.0033444770615,1935.7285156232895,1914.0638347636273,1887.1928681981954,1860.4918652991603,1837.0085880753093,1818.3742390760726,1805.365727376687,1798.252116513317,1797.0077673460023,1801.4430805977975,1811.2842705838286,1826.22159736865,1845.9380791400038,1870.1261340428143,1898.4967742409237,1930.784225443087,1966.7477604228113,2006.1718612181064,2048.8654051187195,2094.660307593778,2143.409891280232,2194.987147111871,2249.2829887376643,2306.2045603489946,2365.6736320630384,2427.6251005698596,2492.0056023795564,2558.7722405202544,2627.8914215544714,2699.3377974177674,2773.093305272145,2849.1462979394914,2927.4907572967554,3008.125583115676,3091.053950110056,3176.282726341846,3263.821946586004,3353.684334731057,3445.8848697758003,3540.4403904584174,3639.893929101265,3747.912822756828,3868.53263270385,4005.7913444288747,4163.592716045395,4345.699295939197,4555.795298097763,4797.584645451038,5074.905132964216,5391.849221086286,5752.887692847339,6162.995758003519,6627.783104501963,7153.630474376106,7743.521221530151,8398.440761802009,9118.812120433082,9905.201931510332,10758.636139868438,11680.711240022594,12673.601921201982,13740.019071778404,14883.146313290566,16106.569171661704,17414.203417097327,18810.22510679165,20299.00283318818,21885.031722878302,23572.868355533486,25367.065708997732,27272.10733909049,29292.340191501462,31431.905675684648,33694.66888354265,36084.14609542177,38603.430973568546,41255.12009153013,44041.23868014394,46963.16767963278,50021.57336544859,53216.340955359025,56546.51369967151,60010.23899917023,63604.72308151188,67326.19569370808,71169.88613558808,75130.0117691866,79199.77989706775,83371.4036166151,87636.1319376192,91984.29410928032,96405.35775344004,100888.00005734924,105420.1909551436,109989.28693492954,114582.13385874982,119185.17698420369,123784.57623503303,128366.32468665564,132916.36821175955,137420.72426840026,141865.5979040188,146237.4931870126,150523.31845515297,154710.4839785847,158786.99086530926,162741.51027996195,166563.45229380752,170243.02392744448,173771.2761809588,177140.1400635931,180342.45183200168,183371.96781967746,186223.3693881586,188892.25865222892,191375.14572653323,193669.4283106621,195773.36447528662,197686.0395353085,199407.32789954467,200937.85077271567,202278.93055707612,203432.54276053852,204401.26616813242,205188.2319765075,205797.0725291256,206231.8702247751,206497.10710581098,206597.61556656926,206538.53055796193,206325.24360234215,205963.3588741228,205458.6515469247,204817.02855763014,204044.49189187228,203147.10445431605,202130.9585505818,201002.14697573485,199766.73667674736,198430.74493300688,197000.11797953487,195480.7119817923,193878.27625847812,192198.43863925157,190446.69283751157,188628.3877139369,186748.71830412967,184812.71848312617,182825.25514048294,180791.0237418603,178714.54515629166,176600.16363243762,174452.04581189796,172274.18067293044,170070.38030356047,167844.28140893503,165599.3474637734,163338.8714268026,161065.97894006377,158783.63194187096,156494.63262794795,154201.62770081713,151907.11285283984,149613.4374333828,147322.80925539634,145037.29950122564,142758.8476917303,140489.26668676094,138230.2476887347,135983.36522447097,133750.0820836015,131531.7541947658,129329.63542345204,127144.88227776087,124978.55851056211,122831.63960850099,120705.01716009923,118599.50309680325,116515.83380226808,114454.67408644517
D,12356.0,12356.0,12356.699533631643,12357.883700655462,12359.418828259608,12361.221624629568,12363.240145012573,12365.442030425344,12367.80722759368,12370.323472704451,12372.98348169883,12375.783195817061,12378.72068089137,12381.795432638472,12385.007934894613,12388.359376088589,12391.851465234831,12395.486310944114,12399.266340681086,12403.194245999937,12407.272944765147,12411.505554647285,12415.89537423452,12420.445869387528,12425.160663278328,12430.04352907093,12435.098384534136,12440.329288093135,12445.740435969148,12451.336160152101,12457.120927016591,12463.099336437,12469.276121289991,12475.65614725609,12482.244412849548,12489.0460496187,12496.066322469142,12503.31063006977,12510.784505307869,12518.493615764193,12526.443764182823,12534.640888913646,12543.09106430771,12551.80050104766,12560.775546397035,12570.02268435343,12579.548535691556,12589.362349503464,12599.477362526744,12609.911517405066,12620.687847015763,12631.834713897704,12643.386019427993,12655.381451624222,12667.866813164013,12680.894455727577,12694.523838732819,12708.82222716451,12723.865542753036,12739.739384163651,12756.540234476415,12774.372619507905,12793.34729556755,12813.58065093553,12835.1947493234,12858.317701829694,12883.084196551967,12909.636093394452,12938.123034289838,12968.703041938588,13001.543092110065,13036.819650470223,13074.71916754,13115.438526271417,13159.18543670576,13206.178771728179,13256.64883732782,13310.83757017231,13368.998654807709,13431.397552464397,13498.311433330482,13570.029004280164,13646.850224439271,13729.085901649707,13817.057163866772,13911.094800786383,14011.53847254146,14118.735784105222,14233.04122605976,14354.81498458593,14484.421625850062,14622.228662340876,14768.6050110765,14923.91935588386,15088.53842807792,15262.825221766574,15447.13716161518,15641.824242169143,15847.227158711836,16063.675450100449,16291.485674061314,16530.95963504059,16782.382683912896,17046.022107679317,17322.125625778706,17610.920007842957,17912.609825704938,18227.376350278126,18555.376601631782,18896.742558245664,19251.580529101324,19619.970690005553,20001.966783391163,20397.595978839996,20806.858889753217,21229.729739977603,21666.156672798545,22116.062193538815,22579.343736057883,23055.87434272535,23545.50344693454,24048.057746915318,24563.342159482632,25091.140842400975,25631.21827423527,26183.320380875808,26747.1756983485,27322.496562032495,27908.980312986656,28506.310512716896,29114.158158382448,29732.182891126093,30360.03419090891,30997.35255192308,31643.770633337306,32298.9143807911,32962.404114689576,33633.855581955475,34312.88096846506,34999.089869928066,35692.09021946577,36391.48917059639,37096.89393475183,37807.91257282563,38524.15474058971,39245.23238811799,39970.76041362072,40700.357272325135,41433.64554123918,42170.2524408065,42909.810314605464,43651.9570683648,44396.3365696654,45142.599009774305,45890.40122911471,46639.407007917,47389.28732362221,48139.720576622414,48890.392785924414,49640.9977563145,50391.237218585324,51140.82094436121,51889.4668370277,52636.90100023504,53382.857785405075,54127.07981962728,54869.31801528319,55609.3315626899,56346.88790700334,57081.762710571216,57813.73980187368,58542.61111213876,59268.17660066776,59990.24416985533,60708.62957083876,61423.156300661896,62133.65549179125,62839.965794775104,63541.93325479112,64239.411182784155,64932.260021853705,65620.34720950956,66303.54703637527,66981.7405018814,67654.81516745474,68322.66500767528
R,0.0,267.6019929891696,613.4303267181391,1005.2151548967163,1423.7164158907444,1857.6953822348637,2300.8159640716813,2749.734835735469,3202.9243728398174,3659.947589979369,4121.012058240814,4586.696126783961,5057.781628346544,5535.1524212567465,6019.733640398371,6512.456105533958,7014.236249482917,7525.965585404612,8048.50599662203,8582.688536719592,9129.314300358963,9689.156468856805,10262.962974045366,10851.459436528967,11455.35216795556,12075.331110974952,12712.072643565507,13366.242207850399,14038.496744564722,14729.486927478441,15439.859200168416,16170.25762236867,16921.325535864256,17693.707061272402,18488.04843755707,19304.99921606519,20145.21332046269,21009.349983325184,21898.07456939373,22812.05929470348,23751.98384997306,24718.53593583365,25712.41171669612,26734.31619931461,27784.963541411402,28865.077295085066,29976.021338276387,31120.02698589782,32300.27537333193,33520.910278612086,34787.02578233125,36104.654158889025,37480.767962437225,38923.303645578664,40441.21042285125,42044.52630579375,43744.482561380966,45553.63782918173,47486.04350217301,49557.4425723519,51784.42692060479,54184.03615681104,56773.664902943405,59571.10437114499,62594.644912032316,65863.20088960785,69396.43808569555,73214.89393224443,77340.08614990585,81794.60802009072,86602.20974514223,91787.86582587336,97377.82847575104,103399.66699850552,109882.29289132671,116855.97025926031,124352.31097074121,132404.25386738096,141046.0272731008,150313.09403394134,160242.07836316645,170870.6738674937,182237.53228866906,194382.1327077614,207344.63122332952,221165.6914230018,235886.29631308388,251547.54274280343,268190.41974727466,285855.5726234383,304583.05493242416,324412.0709759728,345380.7116100083,367525.68652238423,390882.0563030411,415482.96776428894,441359.3960202903,468539.8968046722,497050.37239328393,526913.8543083239,558150.3057162097,590776.4461030981,624805.6004294655,660247.5745407976,697108.5581583846,735391.0563059864,775093.8495580418,816211.9830357108,858736.7836397169,902655.904603553,947953.3960851681,994609.8001959326,1042602.2685966832,1091904.7005743224,1142487.8993493516,1194319.7442538664,1247365.3763585982,1301587.395113103,1356946.0635908917,1413399.519996283,1470903.9931867893,1529414.0200884955,1588882.66302681,1649261.7251559196,1710501.962342395,1772553.290037154,1835364.983851345,1898885.8727321243,1963064.5238107094,2027849.4181649892,2093189.1169003076,2159032.4171032473,2225328.4973631846,2292027.0526843066,2359078.4187262612,2426433.6854145387,2494044.800052179,2561864.6601427984,2629847.1962017487,2697947.444888047,2766121.612835315,2834327.1315960637,2902522.704141121,2970668.343375622,3038725.4031456057,3106656.602215688,3174426.041699288,3241999.216419228,3309343.0206688694,3376425.748832945,3443217.0913135097,3509688.1261904696,3575811.3070284417,3641560.4472227287,3706910.701257262,3771838.543226893,3836321.742955627,3900339.3400215707,3963871.6159787164,4026900.065045375,4089407.363509253,4151377.3380799657,4212794.933401257,4273646.178917469,4333918.155271875,4393598.96039842,4452677.675453242,4511144.330718005,4568989.871593662,4626206.124790704,4682785.764810227,4738722.280799255,4794009.943853686,4848643.774832879,4902619.512741326,4955933.583724935,5008583.070722243,5060565.683804242,5111879.731230481,5162524.091243633,5212498.184619768,5261801.947987051,5310435.807921605,5358400.655825604,5405697.823589451,5452329.060037005
