state,beta,gammaE,alpha,gamma,gamma2,gamma3,a1,a2,a3,eta,h,Hiding_init,c1,I_initial,metric1,metric2,r1,r2,reopen
kl,0.9766148326500776,0.2130889243106127,0.8782385374162868,0.04,0.040014141655537454,0.19998950517517972,0.1094940877436432,0.001,0.15910551364818026,0.9022857532600712,0.0434762450678953,0.7093570686866351,0.8900000000000001,0.015085269008655509,0.003686391262847732,0.01767252351564878,0.9998828551104454,0.9942190723902916,2021-03-21
dl,59.22606480203461,0.2,0.1,0.19999990825856345,0.2,0.19999980015874932,0.1254531009338427,0.004566899232844542,0.03404638384657591,0.06361765403586647,0.03333333333333333,0.7409539082659665,0.8600000000000001,8.595674891923468e-06,0.005835530210080374,0.010428056249332402,0.999695109870216,0.9988580337858656,2021-03-27
tg,17.974026929395325,0.2999409787130466,0.8256011763481108,0.19665050783524,0.2,0.04,0.5,0.006373115248526609,0.09562437825455863,0.0630173508633517,0.03519252598200734,0.8114077071777772,0.9400000000000002,0.001477118981814758,0.0034307093464602764,0.01022954131676319,0.9998132915513656,0.9985187983477626,2021-03-23
rj,78.09463301822329,0.2,0.20051118656377104,0.10555707539802196,0.15181710256109152,0.18959219338171449,0.2129949251022264,0.0051385239869190975,0.06622074090603508,0.01678652468011831,0.03333333333333333,0.6187215354752329,0.8200000000000001,7.552940220157984e-05,0.006620587722832796,0.0098458116625521,0.9997167931629668,0.9995623416437752,2021-03-27
hr,6.934137643713482,0.21169811598393626,0.8523760313268868,0.15578531451465172,0.1096280061615947,0.16929746106039734,0.15024589968327728,0.003096443654673738,0.10511535142345274,0.17864797167810126,0.03333333333333333,0.6740505334854918,0.8300000000000001,0.0001998009045169081,0.0059145172803426104,0.01162983294042521,0.9997439739638742,0.9991133276986576,2021-03-28
jk,4.6282801024952684,0.20205221365123466,0.8038500902438764,0.057917124484226236,0.10808357445663597,0.1900622399528996,0.424057705617436,0.017685707442460397,0.06925482989386017,0.16588904944780575,0.03333333333333333,0.5999617640647078,0.8700000000000001,0.0004924507125934964,0.005439673741625825,0.012130795124811031,0.9997103549347452,0.9974507455783128,2021-03-25
ka,1.5457447289786737,0.24874311343791056,0.8842534227481809,0.04091629528199285,0.1996743265012862,0.08742104996809794,0.10137101294600867,0.008390755727556985,0.012111906765616244,0.3745538467076943,0.03359747297998926,0.6067599509152731,0.8300000000000001,0.00027626748229921095,0.0029353473971230485,0.006211171493637606,0.9999593451714835,0.9995403196366348,2021-03-28
la,0.4239892653287533,0.20111286133020764,0.5183164394683688,0.040000876586998864,0.04,0.04000110366034825,0.03930624365774763,0.0012330202222070876,0.03233269667854974,0.5915361995433233,0.07142857142857142,0.1,0.81,0.00016371244044007034,0.012056411817763277,0.010385089904047526,0.9969612190153472,0.9917911918893321,2021-03-21
mh,3.766590501133697,0.2636387481608469,0.2565452225201245,0.04952183827183218,0.04978415705296113,0.1336826904010262,0.029963526602254018,0.0013115539702565427,0.1085405540466838,0.09388218303638554,0.05588052654202698,0.33643589481518105,0.81,0.0016584301002139118,0.004926942378803075,0.008263025693214642,0.999835111461554,0.9990637316248568,2021-03-16
pb,4.622563801746625,0.2007536489960645,0.8010406267153808,0.08973027998643894,0.1101147660331445,0.19931981828874365,0.3922162466504701,0.022152086487453586,0.09306228494202937,0.1747660994074285,0.03333333333333333,0.4618017247466642,0.8600000000000001,0.0005922149994264613,0.008679512713786348,0.015574252570249646,0.9995582209461308,0.9974687591855084,2021-03-27
